,Ht,Wt,40yd,Vertical,Bench,BroadJump,3Cone,Shuttle,Combine_Year,Fantasy_PPR
0,5.833333333333333,226.0,4.39,36.0,17.0,123.0,7.01,4.24,2020.0,373.1
4,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,343.8
10,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,287.9
13,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,300.7
15,6.083333333333333,233.0,4.65,29.0,20.0,113.0,7.0,4.24,2017.0,257.7
21,6.0,225.0,4.47,32.5,19.0,118.0,7.0,4.24,2016.0,252.1
23,5.916666666666667,227.0,4.52,38.5,29.0,128.0,7.09,4.25,2018.0,215.3
27,5.833333333333333,216.0,4.57,37.0,16.0,121.0,7.0,4.24,2019.0,210.1
31,5.833333333333333,214.0,4.56,39.5,15.0,131.0,7.0,4.24,2017.0,234.7
32,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,229.1
33,6.0,240.0,4.51,28.5,19.0,120.0,7.0,4.24,2017.0,255.6
35,5.916666666666667,215.0,4.54,34.5,19.0,120.0,7.0,4.24,2013.0,234.6
41,5.75,208.0,4.56,37.5,16.0,127.0,6.82,4.2,2017.0,229.0
43,6.25,247.0,4.54,37.0,22.0,130.0,7.2,4.38,2016.0,193.3
45,5.833333333333333,210.0,4.49,30.5,22.0,116.0,7.27,4.53,2017.0,206.3
46,5.833333333333333,220.0,4.54,34.5,19.0,120.0,7.0,4.24,2019.0,226.0
53,6.083333333333333,215.0,4.52,35.0,19.0,126.0,7.04,4.07,2015.0,195.1
59,5.75,212.0,4.55,36.0,22.0,123.0,6.97,4.09,2021.0,204.9
65,5.583333333333333,203.0,4.66,35.0,15.0,117.0,7.32,4.4,2019.0,197.8
68,5.833333333333333,222.0,4.63,28.5,15.0,121.0,7.0,4.24,2019.0,195.0
69,6.0,247.0,4.53,41.0,23.0,131.0,7.19,4.24,2020.0,185.6
71,6.0,225.0,4.72,32.0,22.0,109.0,7.0,4.21,2018.0,196.0
72,5.666666666666667,212.0,4.48,35.5,19.0,121.0,7.0,4.24,2020.0,208.9
74,5.833333333333333,201.0,4.38,37.5,17.0,128.0,6.94,4.19,2021.0,165.0
94,5.75,219.0,4.64,40.0,24.0,125.0,7.03,4.19,2020.0,173.9
95,5.666666666666667,208.0,4.49,33.5,22.0,121.0,7.0,4.24,2019.0,163.4
