,Age,Rushing_Fumbles,Rushing_Lng,Rushing_Y/A_y,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,Fantasy_PPR
0,22,4.0,83.0,5.5,78.4,76.0,7.1,373.1
4,26,4.0,28.0,4.4,74.5,40.0,6.9,343.8
10,25,2.0,32.0,4.1,87.5,52.0,6.5,287.9
13,23,2.0,37.0,3.9,78.7,25.0,5.0,300.7
15,26,2.0,35.0,3.7,94.9,45.0,9.6,257.7
21,26,1.0,47.0,4.2,72.3,21.0,4.4,252.1
23,26,2.0,70.0,5.5,80.0,40.0,7.0,215.3
27,24,2.0,64.0,4.6,85.7,21.0,6.3,210.1
31,26,2.0,30.0,3.7,70.1,31.0,6.6,234.7
32,23,6.0,27.0,4.0,80.8,73.0,5.7,229.1
33,26,1.0,47.0,4.5,82.1,23.0,5.4,255.6
35,30,2.0,39.0,4.0,75.4,64.0,7.9,234.6
41,27,2.0,57.0,4.7,80.0,26.0,6.0,229.0
43,27,1.0,76.0,4.3,90.0,16.0,7.7,193.3
45,26,3.0,66.0,4.7,69.4,24.0,4.6,206.3
46,23,2.0,28.0,4.0,84.4,29.0,5.4,226.0
53,28,3.0,70.0,4.5,73.7,30.0,5.6,195.1
59,21,2.0,49.0,4.4,81.1,42.0,6.0,204.9
65,24,5.0,46.0,4.6,80.0,19.0,4.6,197.8
68,24,1.0,41.0,3.8,82.4,16.0,5.9,195.0
69,23,2.0,36.0,4.3,91.9,50.0,8.5,185.6
71,26,2.0,21.0,3.9,82.5,38.0,7.9,196.0
72,22,2.0,57.0,4.1,79.5,63.0,5.8,208.9
74,23,2.0,39.0,4.7,95.0,14.0,6.9,165.0
94,23,4.0,58.0,4.7,67.4,26.0,4.8,173.9
95,24,2.0,29.0,4.6,72.5,25.0,4.4,163.4
97,24,2.0,30.0,3.5,77.8,24.0,3.7,173.6
98,26,1.0,39.0,4.1,63.6,24.0,3.9,146.3
99,24,2.0,58.0,5.5,84.8,32.0,7.3,162.6
102,22,1.0,55.0,4.3,65.5,23.0,5.9,154.4
107,25,2.0,62.0,6.3,75.0,27.0,6.0,121.7
109,29,2.0,32.0,4.3,81.0,15.0,4.5,146.6
110,22,1.0,26.0,3.6,67.6,33.0,4.7,137.6
112,24,2.0,41.0,3.7,71.9,54.0,4.6,148.6
117,29,2.0,31.0,4.1,88.9,41.0,6.0,144.1
123,23,2.0,21.0,4.6,77.8,41.0,6.8,114.9
124,25,1.0,54.0,5.1,81.1,36.0,5.9,143.3
125,22,2.0,17.0,4.3,82.6,29.0,5.6,117.6
128,28,4.0,18.0,3.6,75.9,20.0,4.5,138.2
129,23,1.0,48.0,3.7,82.1,24.0,5.8,125.9
130,31,2.0,46.0,4.2,76.9,18.0,5.8,103.6
131,26,1.0,20.0,3.9,92.9,15.0,5.6,119.8
137,25,1.0,18.0,4.5,90.2,32.0,8.4,127.5
138,24,1.0,38.0,5.5,76.5,25.0,4.6,117.2
139,22,2.0,18.0,4.3,66.0,19.0,5.1,123.4
142,26,2.0,33.0,4.9,81.5,23.0,6.4,110.0
146,26,1.0,23.0,4.3,81.3,19.0,5.2,98.6
