,Age,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,Fantasy_PPR
7,26,69.9,43.0,8.9,301.1
14,32,68.7,69.0,8.4,262.8
34,25,75.0,32.0,7.8,208.8
36,28,75.5,48.0,9.7,198.0
47,32,61.8,42.0,9.0,171.2
49,25,69.0,53.0,8.3,164.1
52,27,66.7,35.0,8.0,164.3
56,26,73.7,45.0,10.9,165.0
58,21,61.8,61.0,9.3,176.6
61,31,66.1,47.0,6.8,180.7
73,26,65.2,40.0,7.0,165.0
132,23,75.9,24.0,6.3,151.7
136,24,75.6,35.0,7.4,159.0
144,28,71.8,37.0,6.6,147.0
152,34,57.8,42.0,6.8,132.4
154,24,72.6,33.0,6.9,145.3
166,28,77.8,55.0,7.8,128.3
167,29,59.1,33.0,7.2,133.5
169,26,70.1,40.0,6.8,138.3
178,25,67.9,71.0,9.0,107.6
180,27,76.2,41.0,7.6,117.8
194,22,64.5,25.0,6.6,121.2
204,27,63.0,30.0,5.6,102.5
207,28,53.3,37.0,7.0,79.6
211,27,62.3,34.0,5.7,92.5
214,24,68.2,44.0,8.5,85.3
225,31,67.4,34.0,7.0,79.2
227,30,52.6,18.0,4.3,78.5
240,26,79.1,24.0,6.8,79.1
248,23,82.5,64.0,8.3,76.0
255,26,67.3,28.0,7.8,75.8
256,23,75.0,41.0,8.3,62.3
261,25,59.1,27.0,7.2,52.9
266,24,74.1,22.0,7.0,59.0
267,26,61.2,39.0,5.5,69.1
268,26,62.2,28.0,6.5,67.4
269,28,77.5,26.0,5.3,70.0
271,31,64.3,29.0,6.2,65.1
273,28,83.9,33.0,7.1,64.1
274,24,75.8,62.0,7.4,61.5
276,35,60.9,28.0,7.3,50.7
282,21,71.4,27.0,6.4,55.8
283,26,82.9,25.0,8.7,70.0
284,30,72.0,35.0,7.8,53.6
285,24,62.8,32.0,6.1,63.3
289,29,77.8,22.0,8.1,48.5
295,32,66.7,60.0,6.6,59.7
300,21,57.1,30.0,5.1,53.1
304,27,62.1,33.0,7.0,50.4
305,24,80.0,32.0,10.0,50.9
309,25,80.8,39.0,8.9,50.1
321,29,70.6,30.0,7.2,50.4
324,27,94.1,34.0,11.4,41.3
330,23,70.6,36.0,6.9,35.7
331,28,84.2,34.0,8.7,38.5
333,29,64.0,26.0,6.9,39.3
341,27,64.7,20.0,5.6,32.6
344,28,66.7,19.0,4.7,32.5
345,37,82.1,23.0,7.6,44.4
348,27,66.7,21.0,6.4,33.5
353,25,60.0,41.0,6.3,36.8
354,28,60.0,30.0,8.9,28.3
356,29,72.7,31.0,6.5,41.7
363,26,100.0,27.0,9.4,21.7
364,25,76.0,25.0,6.7,35.7
375,27,67.6,29.0,5.0,38.1
384,24,66.7,19.0,7.0,16.1
389,29,66.7,22.0,7.9,19.1
394,34,81.8,22.0,5.9,21.5
397,28,64.3,11.0,3.9,20.5
399,27,87.5,19.0,7.8,19.2
402,28,100.0,15.0,9.4,15.7
404,26,80.0,21.0,10.2,15.1
407,23,73.3,27.0,7.1,21.6
411,27,66.7,11.0,3.9,18.7
412,27,75.0,21.0,6.9,23.0
417,30,69.2,24.0,6.7,18.7
420,22,70.0,8.0,3.6,16.6
421,25,57.1,17.0,5.7,14.0
425,26,75.0,13.0,3.7,19.4
432,24,66.7,12.0,4.5,12.7
438,24,42.9,13.0,3.1,11.2
439,26,50.0,10.0,2.8,10.7
441,25,73.3,19.0,5.4,19.1
445,24,60.0,19.0,4.4,15.6
454,24,63.6,21.0,5.1,12.6
464,22,75.0,12.0,5.6,10.5
468,24,83.3,27.0,8.7,10.2
471,26,57.1,23.0,5.3,7.7
473,24,80.0,22.0,7.0,7.5
