,Age,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,Fantasy_PPR
1,28,75.9,59.0,10.2,439.5
2,25,63.6,83.0,11.6,339.0
8,21,63.3,82.0,11.4,304.6
9,22,64.7,56.0,9.7,330.4
11,29,72.8,59.0,9.2,344.3
16,28,64.9,46.0,9.1,262.5
18,27,69.8,75.0,7.8,296.5
20,28,62.8,61.0,7.5,285.5
24,27,58.9,72.0,8.9,246.6
25,24,58.1,84.0,7.5,244.3
26,29,68.2,69.0,11.0,241.4
29,25,63.3,50.0,6.9,274.4
37,26,80.5,54.0,8.1,259.1
38,22,65.8,49.0,9.2,232.8
42,29,67.5,42.0,7.2,257.8
44,24,68.2,57.0,8.4,238.6
48,22,67.3,54.0,9.9,219.1
50,24,57.1,64.0,7.1,237.5
51,25,77.2,44.0,8.7,242.4
54,23,74.3,57.0,7.3,245.8
55,28,67.2,52.0,7.7,231.8
57,24,57.9,64.0,7.5,219.7
60,22,75.6,37.0,7.7,227.3
62,26,59.2,46.0,8.1,213.5
63,24,62.3,49.0,6.9,226.3
64,27,65.4,41.0,8.3,202.5
66,31,70.5,35.0,7.6,199.8
67,25,74.8,50.0,9.5,207.6
70,26,78.6,75.0,11.4,180.5
100,23,61.5,46.0,8.8,185.6
101,24,60.0,57.0,8.3,180.9
104,25,56.2,79.0,9.0,168.2
105,27,71.3,68.0,8.8,183.8
108,23,66.7,43.0,9.8,170.3
111,24,61.0,64.0,8.0,158.5
113,23,56.2,59.0,8.2,166.6
114,31,60.8,33.0,6.9,180.2
115,23,54.8,58.0,8.3,151.8
116,29,65.6,55.0,8.9,147.2
118,33,58.7,42.0,9.2,156.8
119,26,66.7,42.0,8.6,142.5
120,25,65.9,39.0,6.9,186.3
121,28,62.4,44.0,8.6,156.4
122,26,73.8,73.0,9.9,147.8
126,25,70.2,49.0,8.2,163.0
127,21,55.8,62.0,7.0,138.2
133,26,59.2,55.0,7.9,150.2
134,29,65.2,28.0,8.1,137.2
135,22,55.6,49.0,8.7,125.9
140,34,58.3,41.0,8.7,131.7
143,28,48.2,57.0,4.7,138.5
147,29,53.7,54.0,6.5,129.1
151,28,70.0,40.0,9.5,126.8
155,27,67.6,75.0,8.1,132.4
159,23,71.1,53.0,8.3,140.9
163,29,59.8,38.0,6.6,133.0
164,33,67.7,62.0,8.8,121.1
168,32,73.2,29.0,6.2,159.3
170,24,61.0,72.0,9.7,113.1
171,22,58.6,60.0,10.3,109.7
172,26,70.8,46.0,6.6,121.1
173,23,57.6,51.0,9.7,109.1
176,23,69.4,91.0,10.4,116.0
179,26,57.6,53.0,8.3,105.2
181,24,66.7,46.0,8.4,107.6
183,28,57.8,44.0,7.4,103.4
184,31,71.8,54.0,9.6,93.6
185,24,64.6,59.0,9.3,97.2
