QB,Tier,,RB,Tier,,WR,Tier,,TE,Tier,,,OVR,Position,Tier,High,Round_12
Josh Allen,1,,Breece Hall,1,,CeeDee Lamb,1,,George Kittle,1,,,CeeDee Lamb,WR,1,1,1
Jared Goff,1,,Isiah Pacheco,1,,Justin Jefferson,1,,Mark Andrews,1,,,Tyreek Hill,WR,1,1,1
Lamar Jackson,1,,Jonathan Taylor,1,,Tyreek Hill,1,,Sam LaPorta,1,,,Breece Hall,RB,1,2,1
Pat Mahomes,2,,Rachaad White,1,,Nico Collins,1,,Trey McBride,2,,,Ja'Marr Chase,WR,1,2,1
Jordan Love,2,,Zamir White,2,,Puka Nacua,1,,Noah Fant,2,,,Amon-Ra St. Brown,WR,1,2,1
Brock Purdy,2,,Jaylen Warren,2,,Michael Pittman Jr.,1,,Dalton Schultz,2,,,Justin Jefferson,WR,1,3,1
Jalen Hurts,2,,Keaton Mitchell,3,,Ja'Marr Chase,1,,Luke Musgrave,2,,,Puka Nacua,WR,1,7,2
Kirk Cousins,2,,Tyler Allegier,3,,Amon-Ra St. Brown,1,,Isaiah Likely,3,,,Jonathan Taylor,RB,1,9,2
CJ Stroud,3,,Roschon Johnson,3,,D.J. Moore,2,,Jonnu Smith,3,,,Josh Allen,QB,1,10,2
Tua Tagliovia,3,,Chase Brown,3,,Brandon Aiyuk,2,,Tucker Kraft,3,,,Isiah Pacheco,RB,1,12,2
Dak Prescott,3,,,,,Chris Olave,2,,Michael Mayer,3,,,Rachaad White,RB,1,17,2
,,,,,,Zay Flowers,2,,Cole Kmet,3,,,Sam LaPorta,TE,1,14,3
,,,,,,George Pickens,2,,,,,,Nico Collins,WR,1,20,3
,,,,,,Josh Downs,2,,,,,,Lamar Jackson,QB,1,23,4
,,,,,,DeVonta Smith,2,,,,,,Michael Pittman Jr.,WR,1,35,4
,,,,,,Jordan Addison,2,,,,,,Mark Andrews,TE,1,34,5
,,,,,,Jaylen Waddle,2,,,,,,George Kittle,TE,1,46,6
,,,,,,A.J. Brown,2,,,,,,Jared Goff,QB,1,60,7
,,,,,,Amari Cooper,2,,,,,,A.J. Brown,WR,2,5,1
,,,,,,Jayden Reed,2,,,,,,Brandon Aiyuk,WR,2,16,2
,,,,,,Rashee Rice,3,,,,,,Jalen Hurts,QB,2,16,3
,,,,,,Calvin Ridley,3,,,,,,Chris Olave,WR,2,16,3
,,,,,,Deebo Samuel,3,,,,,,Jaylen Waddle,WR,2,19,3
,,,,,,Tyler Boyd,3,,,,,,Pat Mahomes,QB,2,,
,,,,,,Rashid Shaheed,3,,,,,,DeVonta Smith,WR,2,22,3
,,,,,,D.K. Metcalf,3,,,,,,D.J. Moore,WR,2,28,4
,,,,,,Darius Slayton,3,,,,,,Amari Cooper,WR,2,31,4
,,,,,,Tank Dell,3,,,,,,Zay Flowers,WR,2,35,4
,,,,,,Amari Cooper,3,,,,,,George Pickens,WR,2,43,5
,,,,,,Christian Kirk,3,,,,,,Jayden Reed,WR,2,47,5
,,,,,,Michael Wilson,3,,,,,,Trey McBride,TE,2,49,6
,,,,,,Josh Palmer,3,,,,,,Zamir White,RB,2,53,6
,,,,,,Rashee Rice,3,,,,,,Brock Purdy,QB,2,53,7
,,,,,,Noah Brown,3,,,,,,Jordan Love,QB,2,57,7
,,,,,,Tee Higgins,3,,,,,,Jaylen Warren,RB,2,61,7
,,,,,,Diontae Johnson,3,,,,,,Kirk Cousins,QB,2,104,12
,,,,,,Gabriel Davis,3,,,,,,Luke Musgrave,TE,2,129,14
,,,,,,Christian Watson,3,,,,,,Josh Downs,WR,2,,
,,,,,,Jameson Williams,3,,,,,,Jordan Addison,WR,2,,
,,,,,,,,,,,,,Noah Fant,TE,2,,
,,,,,,,,,,,,,Dalton Schultz,TE,2,,
,,,,,,,,,,,,,Deebo Samuel,WR,3,2.11,3
,,,,,,,,,,,,,D.K. Metcalf,WR,3,3.14,4
,,,,,,,,,,,,,Amari Cooper,WR,3,3.12,4
,,,,,,,,,,,,,Christian Kirk,WR,3,4.05,4
,,,,,,,,,,,,,Tank Dell,WR,3,4.08,5
,,,,,,,,,,,,,Dak Prescott,QB,3,5.03,5
,,,,,,,,,,,,,Rashee Rice,WR,3,5.09,6
,,,,,,,,,,,,,Rashee Rice,WR,3,5.09,6
,,,,,,,,,,,,,Calvin Ridley,WR,3,6.03,7
,,,,,,,,,,,,,Christian Watson,WR,3,7.06,8
,,,,,,,,,,,,,Chase Brown,RB,3,7.06,8
,,,,,,,,,,,,,Jameson Williams,WR,3,8.11,10
,,,,,,,,,,,,,Diontae Johnson,WR,3,9.09,11
,,,,,,,,,,,,,Rashid Shaheed,WR,3,10.08,12
,,,,,,,,,,,,,Cole Kmet,TE,3,10.13,12
,,,,,,,,,,,,,Josh Palmer,WR,3,10.07,12
,,,,,,,,,,,,,CJ Stroud,QB,3,,
,,,,,,,,,,,,,Tua Tagliovia,QB,3,,
,,,,,,,,,,,,,Keaton Mitchell,RB,3,,
,,,,,,,,,,,,,Tyler Allegier,RB,3,,
,,,,,,,,,,,,,Roschon Johnson,RB,3,,
,,,,,,,,,,,,,Tyler Boyd,WR,3,,
,,,,,,,,,,,,,Darius Slayton,WR,3,,
,,,,,,,,,,,,,Michael Wilson,WR,3,,
,,,,,,,,,,,,,Noah Brown,WR,3,,
,,,,,,,,,,,,,Tee Higgins,WR,3,,
,,,,,,,,,,,,,Gabriel Davis,WR,3,,
,,,,,,,,,,,,,Isaiah Likely,TE,3,,
,,,,,,,,,,,,,Jonnu Smith,TE,3,,
,,,,,,,,,,,,,Tucker Kraft,TE,3,,
