,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Deshaun Watson,QB,27,2022,350.03883718987464,88.0,15.8,47.0,121.0
1,Joshua Dobbs,QB,27,2022,350.03883718987464,,,,
2,Josh Allen,QB,26,2022,344.7092845779091,30.0,6.1,15.0,48.0
3,Justin Herbert,QB,24,2022,343.0324353570962,60.0,10.4,32.0,84.0
4,Patrick Mahomes,QB,27,2022,329.75999540917513,23.0,5.2,10.0,37.0
5,Aaron Rodgers,QB,39,2022,322.81977695653336,108.0,13.0,70.0,150.0
6,Kyler Murray,QB,25,2022,319.79025856749695,159.0,16.9,97.0,180.0
7,Sam Darnold,QB,25,2022,316.63756196861596,,,,
8,Lamar Jackson,QB,25,2022,316.63756196861596,46.0,13.0,15.0,80.0
9,Tom Brady,QB,45,2022,315.9552509271885,,,,
10,Russell Wilson,QB,34,2022,301.59931941935065,133.0,13.5,90.0,166.0
11,Kirk Cousins,QB,34,2022,270.0799848141144,110.0,12.6,73.0,150.0
12,Ryan Tannehill,QB,34,2022,266.5437476953047,,,,
13,Dak Prescott,QB,29,2022,252.00614257224905,81.0,13.9,44.0,114.0
14,Derek Carr,QB,31,2022,249.70144544158273,163.0,16.3,101.0,180.0
15,Matt Ryan,QB,37,2022,245.40689939204788,,,,
16,Matthew Stafford,QB,34,2022,241.70622074702328,174.0,15.7,113.0,180.0
17,Joe Burrow,QB,26,2022,234.57703530189312,45.0,8.9,26.0,76.0
18,Carson Wentz,QB,30,2022,232.39656923633055,,,,
19,Mac Jones,QB,24,2022,218.39688115461513,,,,
20,Baker Mayfield,QB,27,2022,205.76890116244255,,,,
21,Jared Goff,QB,28,2022,205.07436471739618,136.0,14.4,89.0,190.0
22,Jalen Hurts,QB,24,2022,190.77708162600226,34.0,7.7,14.0,63.0
23,Trevor Lawrence,QB,23,2022,180.51272951961866,78.0,14.6,35.0,106.0
24,Teddy Bridgewater,QB,30,2022,176.93785614507726,,,,
25,Daniel Jones,QB,25,2022,173.15735217924114,123.0,15.4,77.0,150.0
26,Jimmy Garoppolo,QB,31,2022,167.88366547857223,204.0,25.4,94.0,206.0
27,Lamar Jackson,QB,25,2022,158.54729400688552,46.0,13.0,15.0,80.0
28,Sam Darnold,QB,25,2022,158.54729400688552,,,,
29,Tua Tagovailoa,QB,24,2022,143.7712736111173,100.0,14.3,58.0,126.0
30,Davis Mills,QB,24,2022,141.37059675984833,,,,
31,Kenny Pickett,QB,24,2022,140.33173695542476,200.0,31.3,77.0,208.0
32,Zach Wilson,QB,23,2022,138.80955868637648,,,,
33,Jameis Winston,QB,28,2022,135.8024926109083,,,,
34,Gardner Minshew II,QB,26,2022,135.57507334363805,,,,
35,Andy Dalton,QB,35,2022,128.70801970008148,,,,
36,Mitchell Trubisky,QB,28,2022,115.90717445293747,,,,
37,Justin Fields,QB,23,2022,114.13652920078746,67.0,12.9,28.0,91.0
38,Taylor Heinicke,QB,29,2022,109.61102118682044,,,,
39,Brock Purdy,QB,23,2022,98.40753597442672,177.0,25.5,85.0,201.0
40,Jacoby Brissett,QB,30,2022,91.1364080960047,,,,
41,Kyle Allen,QB,26,2022,74.41988206779669,,,,
42,Trey Lance,QB,22,2022,63.39569739305779,,,,
43,Josh Johnson,QB,36,2022,49.942545344147504,,,,
44,Chase Daniel,QB,36,2022,49.942545344147504,,,,
45,Case Keenum,QB,34,2022,48.48321409994646,,,,
46,Nick Foles,QB,33,2022,48.04765804587693,,,,
47,Trevor Siemian,QB,31,2022,44.92483933708511,,,,
48,Jeff Driskel,QB,29,2022,44.48651924253529,,,,
49,Joe Flacco,QB,37,2022,42.78150537560534,,,,
50,Nick Mullens,QB,27,2022,41.07699904708592,,,,
51,Tyler Huntley,QB,24,2022,38.50545518339426,,,,
52,Mike White,QB,27,2022,37.29512830169576,,,,
53,Brandon Allen,QB,30,2022,33.60699124595512,,,,
54,Desmond Ridder,QB,23,2022,32.91524149491022,,,,
55,Tyrod Taylor,QB,33,2022,32.771388834793896,,,,
56,Bailey Zappe,QB,23,2022,31.97305864935898,,,,
57,C.J. Beathard,QB,29,2022,29.53614322082672,,,,
58,Marcus Mariota,QB,29,2022,22.25501537671661,,,,
59,Brian Hoyer,QB,37,2022,17.84662537473232,,,,
60,Chad Henne,QB,37,2022,17.84662537473232,,,,
61,Skylar Thompson,QB,25,2022,15.837018859659924,,,,
62,Jordan Love,QB,24,2022,15.809141676462826,201.0,23.0,103.0,205.0
63,Kyle Trask,QB,24,2022,15.809141676462826,,,,
64,Colt McCoy,QB,36,2022,15.303759020915729,,,,
65,Bryce Perkins,QB,26,2022,15.10910188097632,,,,
66,Cooper Rush,QB,29,2022,15.042865258123994,,,,
67,Malik Willis,QB,23,2022,14.894728658320059,,,,
68,Chase Daniel,QB,36,2022,14.590871907530618,,,,
69,Josh Johnson,QB,36,2022,14.590871907530618,,,,
70,Sam Howell,QB,22,2022,14.285421049974978,,,,
71,Blaine Gabbert,QB,33,2022,10.93713670513301,,,,
72,Brian Hoyer,QB,37,2022,10.709503758923585,,,,
73,Chad Henne,QB,37,2022,10.709503758923585,,,,
74,Tim Boyle,QB,28,2022,10.01753693113394,,,,
75,David Blough,QB,27,2022,9.553707045873242,,,,
76,Geno Smith,QB,32,2022,4.847192039669073,141.0,25.7,67.0,180.0
77,Jordan Love,QB,24,2022,4.201130989747454,201.0,23.0,103.0,205.0
78,Kyle Trask,QB,24,2022,4.201130989747454,,,,
79,Chris Streveler,QB,27,2022,3.3872599356350253,,,,
80,Davis Webb,QB,27,2022,3.3872599356350253,,,,
81,John Wolford,QB,27,2022,2.2357182124321495,,,,
82,P.J. Walker,QB,27,2022,1.5958891888474551,,,,
83,Nathan Peterman,QB,28,2022,-0.2342710959984995,,,,
84,Brett Rypien,QB,26,2022,-0.40972468052781785,,,,
85,Anthony Brown,QB,24,2022,-0.6354119935253308,,,,
86,Chris Streveler,QB,27,2022,-0.7203109225755551,,,,
87,Davis Webb,QB,27,2022,-0.7203109225755551,,,,
88,Trace McSorley,QB,27,2022,-0.9181358296716029,,,,
89,Jarrett Stidham,QB,26,2022,-1.475198537170506,,,,
90,Joshua Dobbs,QB,27,2022,-2.9793647343392102,,,,
91,Deshaun Watson,QB,27,2022,-2.9793647343392102,88.0,15.8,47.0,121.0
92,Jacob Eason,QB,25,2022,-4.0819407900547855,,,,
93,Sam Ehlinger,QB,24,2022,-5.99530741284075,,,,
