,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Najee Harris,RB,24,2022,243.44000000000017,24.0,6.0,11.0,42.0
1,David Montgomery,RB,25,2022,237.1999999999999,61.0,20.0,22.0,95.0
2,Antonio Gibson,RB,24,2022,207.19100000000003,83.0,9.2,58.0,110.0
3,Jonathan Taylor,RB,23,2022,203.38000000000002,17.0,5.5,3.0,32.0
4,Aaron Jones,RB,28,2022,200.75100000000003,37.0,6.1,19.0,50.0
5,Alvin Kamara,RB,27,2022,200.01000000000008,74.0,10.0,40.0,87.0
6,Ezekiel Elliott,RB,27,2022,200.01000000000008,125.0,17.2,76.0,170.0
7,Alvin Kamara,RB,27,2022,196.1630000000001,74.0,10.0,40.0,87.0
8,Ezekiel Elliott,RB,27,2022,196.1630000000001,125.0,17.2,76.0,170.0
9,Javonte Williams,RB,22,2022,193.0360000000001,65.0,14.8,31.0,90.0
10,Kyren Williams,RB,22,2022,193.0360000000001,,,,
11,James Conner,RB,27,2022,192.30700000000007,55.0,10.1,29.0,80.0
12,Leonard Fournette,RB,27,2022,192.30700000000007,149.0,16.6,94.0,180.0
13,James Robinson,RB,24,2022,190.55400000000006,176.0,19.6,98.0,179.0
14,Joe Mixon,RB,26,2022,189.26900000000012,29.0,4.5,18.0,45.0
15,Christian McCaffrey,RB,26,2022,184.72000000000003,2.0,0.9,1.0,5.0
16,Josh Jacobs,RB,24,2022,184.03799999999995,20.0,5.0,8.0,35.0
17,Jeff Wilson,RB,27,2022,183.53499999999997,,,,
18,Nick Chubb,RB,27,2022,183.53499999999997,11.0,3.6,3.0,23.0
19,Travis Etienne,RB,23,2022,183.304,32.0,7.9,11.0,52.0
20,Derrick Henry,RB,28,2022,183.053,18.0,3.6,8.0,29.0
21,Dalvin Cook,RB,27,2022,180.22300000000004,79.0,24.8,25.0,118.0
22,D'Andre Swift,RB,23,2022,178.06800000000007,63.0,17.0,26.0,93.0
23,Austin Ekeler,RB,27,2022,177.562,4.0,2.0,1.0,11.0
24,Kenneth Walker III,RB,22,2022,167.71900000000002,41.0,11.6,15.0,70.0
25,James Conner,RB,27,2022,151.789,55.0,10.1,29.0,80.0
26,Leonard Fournette,RB,27,2022,151.789,149.0,16.6,94.0,180.0
27,Pierre Strong,RB,24,2022,146.86500000000007,,,,
28,J.K. Dobbins,RB,24,2022,146.86500000000007,54.0,8.1,34.0,78.0
29,Miles Sanders,RB,25,2022,146.59600000000006,53.0,6.7,36.0,74.0
30,Elijah Mitchell,RB,24,2022,143.3650000000001,112.0,13.6,72.0,150.0
31,Ty Johnson,RB,25,2022,143.14800000000005,,,,
32,Dontrell Hilliard,RB,27,2022,143.12900000000005,,,,
33,Darrel Williams,RB,27,2022,143.12900000000005,,,,
