,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Travis Kelce,TE,33,2022,240.0593400389336,5.0,1.8,1.0,19.0
4,Mark Andrews,TE,27,2022,206.46280185697222,25.0,5.4,13.0,41.0
5,Kyle Pitts,TE,22,2022,183.6986052135365,70.0,11.7,33.0,100.0
6,Darren Waller,TE,30,2022,174.8948667677307,75.0,8.0,47.0,89.0
7,George Kittle,TE,29,2022,158.42714344457244,52.0,8.9,31.0,77.0
10,Pat Freiermuth,TE,24,2022,155.78236416025004,90.0,10.7,62.0,149.0
11,T.J. Hockenson,TE,25,2022,139.11922801343405,40.0,7.0,24.0,64.0
12,Sean McKeon,TE,25,2022,139.11922801343405,,,,
16,Mike Gesicki,TE,27,2022,136.9482842514183,184.0,20.4,100.0,202.0
17,Noah Fant,TE,25,2022,135.14536537810358,209.0,24.8,107.0,211.0
19,Hunter Henry,TE,28,2022,132.14662460121346,205.0,22.8,102.0,199.0
21,Tyler Higbee,TE,29,2022,121.71435474253606,148.0,16.4,93.0,178.0
22,Zach Ertz,TE,32,2022,119.98847854164333,194.0,18.8,108.0,203.0
24,Dallas Goedert,TE,27,2022,116.89187733873408,73.0,8.1,44.0,94.0
28,Austin Hooper,TE,28,2022,105.09825949902475,,,,
29,Dalton Schultz,TE,26,2022,98.73377846789631,115.0,16.4,66.0,159.0
30,Isaiah Likely,TE,22,2022,97.2230598346785,,,,
31,Greg Dulcich,TE,22,2022,97.2230598346785,152.0,20.1,86.0,199.0
33,Cade Otton,TE,23,2022,96.00790560245586,,,,
34,Evan Engram,TE,28,2022,95.972840540568,101.0,11.7,66.0,145.0
37,Chigoziem Okonkwo,TE,23,2022,95.93369955553442,164.0,20.2,91.0,203.0
40,Jonnu Smith,TE,27,2022,94.06454939197306,,,,
41,Quintin Morris,TE,23,2022,91.8823215435865,,,,
43,Cole Kmet,TE,23,2022,91.8823215435865,140.0,17.2,84.0,179.0
44,Taysom Hill,TE,32,2022,91.49941753741497,188.0,19.9,120.0,202.0
