rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Justin Herbert,QB,24.0,2022,349.3004133301875,35,5.1,1.02,5.08
1,Josh Allen,QB,26.0,2022,348.9438363504241,23,5.9,1.01,4.05
2,Patrick Mahomes,QB,27.0,2022,333.63566219196065,40,6.1,1.01,7.04
3,Tom Brady,QB,45.0,2022,331.310904150761,96,10.8,1.01,11.04
4,Aaron Rodgers,QB,39.0,2022,326.5853668168894,80,9.3,1.1,10.06
5,Lamar Jackson,QB,25.0,2022,321.89654123773767,53,6.7,1.01,7.08
6,Kyler Murray,QB,25.0,2022,305.9017750043033,63,6.3,1.01,8.02
7,Russell Wilson,QB,34.0,2022,287.1190818616707,82,8.8,2.11,10.05
8,Kirk Cousins,QB,34.0,2022,273.89686729456247,123,11.7,1.01,13.12
9,Ryan Tannehill,QB,34.0,2022,273.89686729456247,247,22.1,10.01,18.06
10,Kirk Cousins,QB,34.0,2022,270.5531505439531,123,11.7,1.01,13.12
11,Ryan Tannehill,QB,34.0,2022,270.5531505439531,247,22.1,10.01,18.06
12,Dak Prescott,QB,29.0,2022,249.74222122356883,93,9.3,2.08,11.01
13,Derek Carr,QB,31.0,2022,248.40383859401055,105,9.0,6.03,14.11
14,Matthew Stafford,QB,34.0,2022,240.25139147172956,85,9.3,1.07,10.07
15,Matt Ryan,QB,37.0,2022,238.30478802066315,155,16.0,2.09,15.12
16,Mac Jones,QB,24.0,2022,230.10783929300825,214,20.6,3.01,18.01
17,Carson Wentz,QB,30.0,2022,228.7146624352675,209,27.0,9.04,18.05
18,Jared Goff,QB,28.0,2022,219.67796614738418,251,24.1,12.06,18.02
19,Joe Burrow,QB,26.0,2022,216.9762217674124,56,7.4,1.07,8.01
20,Baker Mayfield,QB,27.0,2022,198.28250417594177,222,35.2,1.01,18.02
21,Trevor Lawrence,QB,23.0,2022,185.6541500468567,184,17.2,6.11,16.07
22,Daniel Jones,QB,25.0,2022,171.89594991955485,250,20.4,11.03,18.06
23,Jalen Hurts,QB,24.0,2022,169.72714530004546,67,6.3,2.12,9.06
24,Tua Tagovailoa,QB,24.0,2022,159.74350586556358,137,12.5,1.01,15.1
25,Davis Mills,QB,24.0,2022,157.77917179894027,233,20.2,10.04,18.05
26,Zach Wilson,QB,23.0,2022,133.39774764364984,225,32.3,1.01,18.06
27,Justin Fields,QB,23.0,2022,118.21585547837796,166,16.3,4.07,16.03
28,Trey Lance,QB,22.0,2022,104.42679389837204,107,9.9,1.02,13.06
29,Jameis Winston,QB,28.0,2022,99.5839487408692,186,19.4,1.01,16.05
30,Marcus Mariota,QB,29.0,2022,39.31788097348348,271,40.4,2.09,20.12
