rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Tom Brady,QB,45.0,2022,416.0339365867877,96,10.8,1.01,11.04
1,Aaron Rodgers,QB,39.0,2022,384.42158740357326,80,9.3,1.1,10.06
2,Justin Herbert,QB,24.0,2022,378.5767042000134,35,5.1,1.02,5.08
3,Patrick Mahomes,QB,27.0,2022,360.4292275141354,40,6.1,1.01,7.04
4,Josh Allen,QB,26.0,2022,357.05259385327224,23,5.9,1.01,4.05
5,Lamar Jackson,QB,25.0,2022,336.797426837809,53,6.7,1.01,7.08
6,Kirk Cousins,QB,34.0,2022,330.8193103486769,123,11.7,1.01,13.12
7,Ryan Tannehill,QB,34.0,2022,330.8193103486769,247,22.1,10.01,18.06
8,Mac Jones,QB,24.0,2022,322.64957747873257,214,20.6,3.01,18.01
9,Joe Burrow,QB,26.0,2022,305.2793961421219,56,7.4,1.07,8.01
10,Kirk Cousins,QB,34.0,2022,300.76389613139764,123,11.7,1.01,13.12
11,Ryan Tannehill,QB,34.0,2022,300.76389613139764,247,22.1,10.01,18.06
12,Dak Prescott,QB,29.0,2022,299.1240699294795,93,9.3,2.08,11.01
13,Matthew Stafford,QB,34.0,2022,297.67193272011764,85,9.3,1.07,10.07
14,Kyler Murray,QB,25.0,2022,272.92517795280884,63,6.3,1.01,8.02
15,Russell Wilson,QB,34.0,2022,264.5981143030407,82,8.8,2.11,10.05
16,Derek Carr,QB,31.0,2022,248.02803915183762,105,9.0,6.03,14.11
17,Jared Goff,QB,28.0,2022,244.24332277182418,251,24.1,12.06,18.02
18,Carson Wentz,QB,30.0,2022,221.1549487955022,209,27.0,9.04,18.05
19,Matt Ryan,QB,37.0,2022,217.0697982051911,155,16.0,2.09,15.12
20,Tua Tagovailoa,QB,24.0,2022,207.80669651773343,137,12.5,1.01,15.1
21,Davis Mills,QB,24.0,2022,180.68330252326245,233,20.2,10.04,18.05
22,Trey Lance,QB,22.0,2022,153.09186345554593,107,9.9,1.02,13.06
23,Baker Mayfield,QB,27.0,2022,150.5853092796255,222,35.2,1.01,18.02
24,Daniel Jones,QB,25.0,2022,139.9118120180401,250,20.4,11.03,18.06
25,Jalen Hurts,QB,24.0,2022,136.06769057691386,67,6.3,2.12,9.06
26,Trevor Lawrence,QB,23.0,2022,130.34820220018867,184,17.2,6.11,16.07
27,Justin Fields,QB,23.0,2022,93.50195720210792,166,16.3,4.07,16.03
28,Zach Wilson,QB,23.0,2022,85.23332439738994,225,32.3,1.01,18.06
29,Jameis Winston,QB,28.0,2022,83.00177336938086,186,19.4,1.01,16.05
30,Marcus Mariota,QB,29.0,2022,27.6152161388502,271,40.4,2.09,20.12
