rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Tom Brady,QB,45.0,2022,416.5783261246158,96,10.8,1.01,11.04
1,Josh Allen,QB,26.0,2022,379.23147516742574,23,5.9,1.01,4.05
2,Justin Herbert,QB,24.0,2022,378.75452358345893,35,5.1,1.02,5.08
3,Aaron Rodgers,QB,39.0,2022,365.2122753166465,80,9.3,1.1,10.06
4,Kirk Cousins,QB,34.0,2022,349.3354487069072,123,11.7,1.01,13.12
5,Ryan Tannehill,QB,34.0,2022,349.3354487069072,247,22.1,10.01,18.06
6,Lamar Jackson,QB,25.0,2022,334.1697146650627,53,6.7,1.01,7.08
7,Joe Burrow,QB,26.0,2022,320.966543855667,56,7.4,1.07,8.01
8,Mac Jones,QB,24.0,2022,313.9169273169616,214,20.6,3.01,18.01
9,Patrick Mahomes,QB,27.0,2022,313.2748149846527,40,6.1,1.01,7.04
10,Matthew Stafford,QB,34.0,2022,302.2294392504018,85,9.3,1.07,10.07
11,Ryan Tannehill,QB,34.0,2022,294.0413230191268,247,22.1,10.01,18.06
12,Kirk Cousins,QB,34.0,2022,294.0413230191268,123,11.7,1.01,13.12
13,Russell Wilson,QB,34.0,2022,288.8355403697748,82,8.8,2.11,10.05
14,Dak Prescott,QB,29.0,2022,282.0706536604838,93,9.3,2.08,11.01
15,Carson Wentz,QB,30.0,2022,250.65898974272034,209,27.0,9.04,18.05
16,Matt Ryan,QB,37.0,2022,242.64252801279542,155,16.0,2.09,15.12
17,Kyler Murray,QB,25.0,2022,237.3916488384862,63,6.3,1.01,8.02
18,Jared Goff,QB,28.0,2022,218.60233057701302,251,24.1,12.06,18.02
19,Derek Carr,QB,31.0,2022,217.5465456638171,105,9.0,6.03,14.11
20,Davis Mills,QB,24.0,2022,211.435028357114,233,20.2,10.04,18.05
21,Tua Tagovailoa,QB,24.0,2022,200.4206108968384,137,12.5,1.01,15.1
22,Baker Mayfield,QB,27.0,2022,178.60707913411645,222,35.2,1.01,18.02
23,Jalen Hurts,QB,24.0,2022,160.22698091467126,67,6.3,2.12,9.06
24,Trey Lance,QB,22.0,2022,152.2969422905792,107,9.9,1.02,13.06
25,Trevor Lawrence,QB,23.0,2022,137.98145199308138,184,17.2,6.11,16.07
26,Daniel Jones,QB,25.0,2022,137.03042215642083,250,20.4,11.03,18.06
27,Jameis Winston,QB,28.0,2022,81.24697475732273,186,19.4,1.01,16.05
28,Justin Fields,QB,23.0,2022,51.850224059097314,166,16.3,4.07,16.03
29,Zach Wilson,QB,23.0,2022,31.51299903380732,225,32.3,1.01,18.06
30,Marcus Mariota,QB,29.0,2022,-5.5381175369335836,271,40.4,2.09,20.12
