rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Josh Allen,QB,26.0,2022,332.53925305646806,23,5.9,1.01,4.05
1,Justin Herbert,QB,24.0,2022,314.0615883889071,35,5.1,1.02,5.08
2,Russell Wilson,QB,34.0,2022,309.236896295466,82,8.8,2.11,10.05
3,Matt Ryan,QB,37.0,2022,286.9735041264895,155,16.0,2.09,15.12
4,Patrick Mahomes,QB,27.0,2022,285.1141733746948,40,6.1,1.01,7.04
5,Aaron Rodgers,QB,39.0,2022,279.77492901275946,80,9.3,1.1,10.06
6,Kyler Murray,QB,25.0,2022,277.51264165628396,63,6.3,1.01,8.02
7,Tom Brady,QB,45.0,2022,275.3737199942105,96,10.8,1.01,11.04
8,Kirk Cousins,QB,34.0,2022,273.07731589107783,123,11.7,1.01,13.12
9,Ryan Tannehill,QB,34.0,2022,273.07731589107783,247,22.1,10.01,18.06
10,Carson Wentz,QB,30.0,2022,271.8767376897996,209,27.0,9.04,18.05
11,Lamar Jackson,QB,25.0,2022,270.79524971413855,53,6.7,1.01,7.08
12,Ryan Tannehill,QB,34.0,2022,259.8292126454398,247,22.1,10.01,18.06
13,Kirk Cousins,QB,34.0,2022,259.8292126454398,123,11.7,1.01,13.12
14,Derek Carr,QB,31.0,2022,247.66408440422964,105,9.0,6.03,14.11
15,Joe Burrow,QB,26.0,2022,245.40684247547046,56,7.4,1.07,8.01
16,Jared Goff,QB,28.0,2022,244.92553020067214,251,24.1,12.06,18.02
17,Baker Mayfield,QB,27.0,2022,244.1051282791312,222,35.2,1.01,18.02
18,Dak Prescott,QB,29.0,2022,242.32294845997785,93,9.3,2.08,11.01
19,Trevor Lawrence,QB,23.0,2022,241.423793606315,184,17.2,6.11,16.07
20,Daniel Jones,QB,25.0,2022,240.27457723439133,250,20.4,11.03,18.06
21,Matthew Stafford,QB,34.0,2022,232.67098480060642,85,9.3,1.07,10.07
22,Mac Jones,QB,24.0,2022,232.3431044473584,214,20.6,3.01,18.01
23,Zach Wilson,QB,23.0,2022,217.38166655826873,225,32.3,1.01,18.06
24,Jalen Hurts,QB,24.0,2022,209.53196090903052,67,6.3,2.12,9.06
25,Jameis Winston,QB,28.0,2022,190.41199541331383,186,19.4,1.01,16.05
26,Davis Mills,QB,24.0,2022,176.5826243375198,233,20.2,10.04,18.05
27,Justin Fields,QB,23.0,2022,175.9458178997559,166,16.3,4.07,16.03
28,Tua Tagovailoa,QB,24.0,2022,166.46317845690615,137,12.5,1.01,15.1
29,Marcus Mariota,QB,29.0,2022,81.16991666477921,271,40.4,2.09,20.12
30,Trey Lance,QB,22.0,2022,44.37712015886465,107,9.9,1.02,13.06
