rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Tom Brady,QB,45.0,2022,424.43679188613197,96,10.8,1.01,11.04
1,Aaron Rodgers,QB,39.0,2022,385.85688706961076,80,9.3,1.1,10.06
2,Justin Herbert,QB,24.0,2022,377.42555243600884,35,5.1,1.02,5.08
3,Patrick Mahomes,QB,27.0,2022,354.5601315838559,40,6.1,1.01,7.04
4,Josh Allen,QB,26.0,2022,345.8092620473408,23,5.9,1.01,4.05
5,Lamar Jackson,QB,25.0,2022,340.94110803336423,53,6.7,1.01,7.08
6,Kirk Cousins,QB,34.0,2022,330.26345355221434,123,11.7,1.01,13.12
7,Ryan Tannehill,QB,34.0,2022,330.26345355221434,247,22.1,10.01,18.06
8,Joe Burrow,QB,26.0,2022,321.6483149241929,56,7.4,1.07,8.01
9,Mac Jones,QB,24.0,2022,317.4102455691637,214,20.6,3.01,18.01
10,Matthew Stafford,QB,34.0,2022,307.41356023744936,85,9.3,1.07,10.07
11,Kirk Cousins,QB,34.0,2022,302.1245943886551,123,11.7,1.01,13.12
12,Ryan Tannehill,QB,34.0,2022,302.1245943886551,247,22.1,10.01,18.06
13,Dak Prescott,QB,29.0,2022,294.6029356458205,93,9.3,2.08,11.01
14,Kyler Murray,QB,25.0,2022,269.7115482300983,63,6.3,1.01,8.02
15,Russell Wilson,QB,34.0,2022,258.11645284442415,82,8.8,2.11,10.05
16,Derek Carr,QB,31.0,2022,247.03526098362983,105,9.0,6.03,14.11
17,Jared Goff,QB,28.0,2022,243.49260117358668,251,24.1,12.06,18.02
18,Carson Wentz,QB,30.0,2022,218.21479400377441,209,27.0,9.04,18.05
19,Tua Tagovailoa,QB,24.0,2022,217.95306349465767,137,12.5,1.01,15.1
20,Matt Ryan,QB,37.0,2022,210.11277539023342,155,16.0,2.09,15.12
21,Davis Mills,QB,24.0,2022,173.24765861068693,233,20.2,10.04,18.05
22,Jalen Hurts,QB,24.0,2022,146.2371512670763,67,6.3,2.12,9.06
23,Trevor Lawrence,QB,23.0,2022,143.10739849619637,184,17.2,6.11,16.07
24,Baker Mayfield,QB,27.0,2022,141.11965607652024,222,35.2,1.01,18.02
25,Daniel Jones,QB,25.0,2022,135.31351519636675,250,20.4,11.03,18.06
26,Trey Lance,QB,22.0,2022,133.41661344625305,107,9.9,1.02,13.06
27,Justin Fields,QB,23.0,2022,112.40370978496651,166,16.3,4.07,16.03
28,Zach Wilson,QB,23.0,2022,82.79454438702814,225,32.3,1.01,18.06
29,Jameis Winston,QB,28.0,2022,70.54457332928371,186,19.4,1.01,16.05
30,Marcus Mariota,QB,29.0,2022,28.512767785005877,271,40.4,2.09,20.12
