rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Jonathan Taylor,RB,23.0,2022,238.27821504474628,1.0,0.5,1.01,1.05
1,Najee Harris,RB,24.0,2022,234.70063677853358,7.0,2.0,1.01,2.03
2,Alvin Kamara,RB,27.0,2022,219.48612052436633,18.0,3.4,1.03,3.06
3,James Conner,RB,27.0,2022,219.48612052436633,33.0,3.8,1.12,4.09
4,Dalvin Cook,RB,27.0,2022,215.6401744855555,8.0,1.8,1.01,2.03
5,Aaron Jones,RB,28.0,2022,210.58929395413645,16.0,2.6,1.02,3.02
6,Austin Ekeler,RB,27.0,2022,206.1054183902187,5.0,1.4,1.01,1.11
7,Jamaal Williams,RB,27.0,2022,206.1054183902187,142.0,9.4,8.12,15.06
8,Ezekiel Elliott,RB,27.0,2022,201.77438271666736,27.0,3.6,1.05,4.06
9,Nick Chubb,RB,27.0,2022,183.34701909077916,14.0,2.8,1.01,3.01
10,Justin Herbert,QB,24.0,2022,175.26465778252359,35.0,5.1,1.02,5.08
11,Antonio Gibson,RB,24.0,2022,175.26465778252359,45.0,5.3,1.06,6.08
12,Josh Jacobs,RB,24.0,2022,174.37107820142216,48.0,5.4,1.12,7.02
13,Javonte Williams,RB,22.0,2022,171.7092142950798,21.0,3.6,1.01,3.1
14,James Robinson,RB,24.0,2022,169.3115032274788,86.0,7.0,3.1,9.1
15,David Montgomery,RB,25.0,2022,169.0465005306451,32.0,3.8,2.04,5.11
16,Leonard Fournette,RB,27.0,2022,168.10238744279388,24.0,3.7,1.01,3.12
17,D'Andre Swift,RB,23.0,2022,164.89084544658382,12.0,2.1,1.02,2.09
18,Christian McCaffrey,RB,26.0,2022,163.27288124055767,2.0,0.8,1.01,1.08
19,Melvin Gordon,RB,29.0,2022,158.01374778607752,89.0,7.2,4.1,10.04
20,Derrick Henry,RB,28.0,2022,155.59098470432704,3.0,1.5,1.01,2.01
21,Joe Mixon,RB,26.0,2022,154.6179700915849,10.0,2.0,1.01,2.07
22,Alvin Kamara,RB,27.0,2022,147.8286765122598,18.0,3.4,1.03,3.06
23,James Conner,RB,27.0,2022,147.8286765122598,33.0,3.8,1.12,4.09
24,Miles Sanders,RB,25.0,2022,142.27143742537393,64.0,5.6,3.07,7.11
25,Kenyan Drake,RB,28.0,2022,138.17202143148765,191.0,15.9,8.01,16.04
26,Michael Carter,RB,23.0,2022,138.03615732797422,104.0,7.4,2.05,11.06
27,Devin Singletary,RB,25.0,2022,137.53714528404865,78.0,6.8,4.06,8.09
28,Elijah Mitchell,RB,24.0,2022,134.9510818972941,47.0,4.9,2.11,6.04
