rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Jonathan Taylor,RB,23.0,2022,267.5597141190946,1.0,0.5,1.01,1.05
1,Najee Harris,RB,24.0,2022,265.1159463666764,7.0,2.0,1.01,2.03
2,James Conner,RB,27.0,2022,237.75985553448928,33.0,3.8,1.12,4.09
3,Alvin Kamara,RB,27.0,2022,237.75985553448928,18.0,3.4,1.03,3.06
4,Austin Ekeler,RB,27.0,2022,222.1569541179928,5.0,1.4,1.01,1.11
5,Jamaal Williams,RB,27.0,2022,222.1569541179928,142.0,9.4,8.12,15.06
6,Javonte Williams,RB,22.0,2022,207.28102830660228,21.0,3.6,1.01,3.1
7,Aaron Jones,RB,28.0,2022,203.42866028255725,16.0,2.6,1.02,3.02
8,Dalvin Cook,RB,27.0,2022,202.83708383584445,8.0,1.8,1.01,2.03
9,Ezekiel Elliott,RB,27.0,2022,193.51220224016893,27.0,3.6,1.05,4.06
10,Christian McCaffrey,RB,26.0,2022,191.82223699268846,2.0,0.8,1.01,1.08
11,Josh Jacobs,RB,24.0,2022,188.35691400751136,48.0,5.4,1.12,7.02
12,Nick Chubb,RB,27.0,2022,184.82563819126716,14.0,2.8,1.01,3.01
13,Antonio Gibson,RB,24.0,2022,183.57429018448252,45.0,5.3,1.06,6.08
14,Justin Herbert,QB,24.0,2022,183.57429018448252,35.0,5.1,1.02,5.08
15,D'Andre Swift,RB,23.0,2022,172.12264209990462,12.0,2.1,1.02,2.09
16,David Montgomery,RB,25.0,2022,171.50885389620697,32.0,3.8,2.04,5.11
17,James Robinson,RB,24.0,2022,165.3269080865602,86.0,7.0,3.1,9.1
18,Leonard Fournette,RB,27.0,2022,164.70431659949486,24.0,3.7,1.01,3.12
19,Joe Mixon,RB,26.0,2022,163.3746557682261,10.0,2.0,1.01,2.07
20,Elijah Mitchell,RB,24.0,2022,154.32617772046092,47.0,4.9,2.11,6.04
21,Michael Carter,RB,23.0,2022,152.43818180155722,104.0,7.4,2.05,11.06
22,Clyde Edwards-Helaire,RB,23.0,2022,149.46791886504502,57.0,5.3,2.08,8.07
