rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Travis Kelce,TE,33.0,2022,240.0744229762445,15.0,3.1,1.01,3.02
1,Mark Andrews,TE,27.0,2022,218.76943686841446,26.0,3.9,1.09,5.03
2,Kyle Pitts,TE,22.0,2022,204.91538315950186,37.0,4.8,1.05,6.01
3,Mike Gesicki,TE,27.0,2022,168.22044164612672,127.0,14.2,5.03,15.11
4,George Kittle,TE,29.0,2022,165.89810682558488,43.0,5.0,1.12,6.06
5,Pat Freiermuth,TE,24.0,2022,164.60910843568652,121.0,14.3,3.01,14.08
6,Noah Fant,TE,25.0,2022,156.7020861470359,219.0,25.0,4.11,18.06
7,Hunter Henry,TE,28.0,2022,155.99804185549206,141.0,16.6,5.01,15.1
8,Dallas Goedert,TE,27.0,2022,143.0602968836213,83.0,8.9,4.05,11.07
9,T.J. Hockenson,TE,25.0,2022,141.24145477032016,66.0,6.7,3.1,8.11
10,Tyler Higbee,TE,29.0,2022,138.46762617848896,193.0,28.6,6.11,19.04
11,Zach Ertz,TE,32.0,2022,130.6955308991992,101.0,10.4,5.01,12.08
12,Austin Hooper,TE,28.0,2022,128.73788488074496,195.0,26.9,4.12,18.06
13,Dawson Knox,TE,26.0,2022,121.2551926237868,92.0,11.0,3.07,13.03
14,Dalton Schultz,TE,26.0,2022,117.68562834764374,71.0,7.6,2.03,9.04
15,Evan Engram,TE,28.0,2022,115.97666355424175,208.0,22.9,9.08,18.03
16,Cole Kmet,TE,23.0,2022,114.29092598038734,140.0,15.2,6.03,15.12
17,Gerald Everett,TE,28.0,2022,98.43085103029652,231.0,21.3,8.02,18.06
18,Hayden Hurst,TE,29.0,2022,86.60587583087653,161.0,31.4,6.12,18.05
19,Robert Tonyan,TE,28.0,2022,75.56124273378953,,,,
20,David Njoku,TE,26.0,2022,74.10733971216062,207.0,23.6,2.12,18.06
21,Albert Okwuegbunam,TE,24.0,2022,72.86981092168676,180.0,19.6,7.05,18.06
22,Cameron Brate,TE,31.0,2022,69.71372596383296,162.0,36.0,4.12,17.02
23,Logan Thomas,TE,31.0,2022,68.75189352831859,226.0,19.8,7.11,18.06
24,Kyle Rudolph,TE,33.0,2022,54.85071110649059,178.0,33.6,5.07,18.05
25,Mo Alie-Cox,TE,29.0,2022,54.57871971186388,167.0,41.3,6.08,18.02
