rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Travis Kelce,TE,33.0,2022,239.29758784561395,15.0,3.1,1.01,3.02
1,Mark Andrews,TE,27.0,2022,184.61742994165118,26.0,3.9,1.09,5.03
2,Pat Freiermuth,TE,24.0,2022,182.88241946082906,121.0,14.3,3.01,14.08
3,Kyle Pitts,TE,22.0,2022,165.93318837867392,37.0,4.8,1.05,6.01
4,Mike Gesicki,TE,27.0,2022,163.27957966402087,127.0,14.2,5.03,15.11
5,Noah Fant,TE,25.0,2022,161.44907612441062,219.0,25.0,4.11,18.06
6,Hunter Henry,TE,28.0,2022,160.56866492029303,141.0,16.6,5.01,15.1
7,George Kittle,TE,29.0,2022,147.5022689808995,43.0,5.0,1.12,6.06
8,Tyler Higbee,TE,29.0,2022,140.04436412581637,193.0,28.6,6.11,19.04
9,Dallas Goedert,TE,27.0,2022,139.42616470541935,83.0,8.9,4.05,11.07
10,Dawson Knox,TE,26.0,2022,134.7846195608671,92.0,11.0,3.07,13.03
11,Austin Hooper,TE,28.0,2022,131.4801892396476,195.0,26.9,4.12,18.06
12,T.J. Hockenson,TE,25.0,2022,129.54227748017132,66.0,6.7,3.1,8.11
13,Dalton Schultz,TE,26.0,2022,124.45758158700139,71.0,7.6,2.03,9.04
14,Zach Ertz,TE,32.0,2022,118.30916657317847,101.0,10.4,5.01,12.08
15,Cole Kmet,TE,23.0,2022,113.34510330968965,140.0,15.2,6.03,15.12
16,Evan Engram,TE,28.0,2022,98.6120863529355,208.0,22.9,9.08,18.03
17,Gerald Everett,TE,28.0,2022,95.53201273940529,231.0,21.3,8.02,18.06
18,Hayden Hurst,TE,29.0,2022,87.42849751422659,161.0,31.4,6.12,18.05
19,Robert Tonyan,TE,28.0,2022,87.0984113773674,,,,
20,Albert Okwuegbunam,TE,24.0,2022,84.2821264248054,180.0,19.6,7.05,18.06
21,David Njoku,TE,26.0,2022,79.9557658267965,207.0,23.6,2.12,18.06
22,Cameron Brate,TE,31.0,2022,72.81421334068212,162.0,36.0,4.12,17.02
23,Kyle Rudolph,TE,33.0,2022,66.23422136839363,178.0,33.6,5.07,18.05
24,Logan Thomas,TE,31.0,2022,50.96421766310654,226.0,19.8,7.11,18.06
25,Mo Alie-Cox,TE,29.0,2022,49.879242217936564,167.0,41.3,6.08,18.02
