rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Ja'Marr Chase,WR,22.0,2022,293.1068888552415,9.0,1.9,1.01,2.06
1,Justin Jefferson,WR,23.0,2022,289.0447882501301,6.0,1.6,1.01,1.11
2,Cooper Kupp,WR,29.0,2022,274.3540559711296,4.0,1.7,1.01,2.05
3,Davante Adams,WR,30.0,2022,251.2991212837319,11.0,2.2,1.01,2.09
4,Tyreek Hill,WR,28.0,2022,235.09611675361867,22.0,3.0,1.02,3.11
5,Stefon Diggs,WR,29.0,2022,225.16382858851998,13.0,2.3,1.01,2.1
6,Jaylen Waddle,WR,24.0,2022,224.78358676753507,49.0,5.6,2.09,6.06
7,CeeDee Lamb,WR,23.0,2022,221.2085631228098,17.0,2.6,1.01,3.01
8,Amon-Ra St. Brown,WR,23.0,2022,219.22565991195088,84.0,7.8,4.01,10.11
9,Chris Godwin,WR,26.0,2022,219.19187997035743,58.0,6.1,2.09,7.05
10,Deebo Samuel,WR,26.0,2022,217.686751248039,19.0,2.7,1.03,3.04
11,D.K. Metcalf,WR,25.0,2022,212.34827577575675,42.0,4.6,2.07,5.12
12,Diontae Johnson,WR,26.0,2022,207.239481156003,46.0,4.8,2.12,6.1
13,Tee Higgins,WR,23.0,2022,202.65156041112706,34.0,3.5,1.09,4.09
14,D.J. Moore,WR,25.0,2022,200.75604256513134,44.0,5.1,1.12,6.02
15,A.J. Brown,WR,25.0,2022,200.7318096643244,30.0,3.3,1.12,4.11
16,DeAndre Hopkins,WR,30.0,2022,197.8239278294603,55.0,6.2,2.08,6.12
17,Amari Cooper,WR,28.0,2022,195.74626435382336,76.0,6.4,4.01,9.03
18,Tyler Lockett,WR,30.0,2022,189.5133615861126,111.0,7.2,6.02,11.1
19,Mike Evans,WR,29.0,2022,187.3786717377543,25.0,3.1,1.02,3.12
20,Keenan Allen,WR,30.0,2022,185.69417827454754,28.0,3.3,2.01,4.03
21,Darren Waller,WR,30.0,2022,182.43877298138656,52.0,5.8,1.07,6.1
22,Terry McLaurin,WR,27.0,2022,182.29192121713479,39.0,3.8,1.07,5.03
23,Chase Claypool,WR,24.0,2022,180.24605993174612,115.0,8.3,4.06,13.02
24,Brandon Aiyuk,WR,24.0,2022,178.35442612996113,100.0,7.7,4.09,10.11
25,Darnell Mooney,WR,25.0,2022,168.75817218127293,75.0,6.1,4.01,8.12
26,Marquise Brown,WR,25.0,2022,167.3929879088592,77.0,6.3,3.08,8.1
27,DeVonta Smith,WR,24.0,2022,166.71017289777117,87.0,6.9,3.01,9.09
28,Hunter Renfrow,WR,27.0,2022,163.3326632695053,70.0,6.2,3.11,8.04
29,Robert Woods,WR,30.0,2022,162.15036042077293,103.0,7.2,4.11,11.01
30,Michael Pittman Jr.,WR,25.0,2022,160.05716955831886,31.0,3.1,1.06,4.05
31,Allen Robinson,WR,29.0,2022,158.25198223044936,62.0,6.1,3.01,7.1
32,Tyler Boyd,WR,28.0,2022,156.89574726096012,144.0,12.6,6.12,15.06
33,Brandin Cooks,WR,29.0,2022,155.12520227639848,60.0,5.2,2.12,7.03
34,Jarvis Landry,WR,30.0,2022,151.29828772468622,143.0,11.9,3.02,16.01
35,Mecole Hardman,WR,24.0,2022,144.30331510778115,168.0,15.9,6.1,15.12
36,Michael Gallup,WR,26.0,2022,144.27687131865872,125.0,9.5,2.06,13.06
37,Mike Williams,WR,28.0,2022,142.94078102288177,51.0,6.1,2.12,6.08
38,Rondale Moore,WR,22.0,2022,142.44379927913133,189.0,16.3,9.03,16.08
39,Calvin Ridley,WR,28.0,2022,142.24224498761455,204.0,15.8,8.05,16.06
40,Russell Gage,WR,26.0,2022,139.98807461496227,114.0,7.9,3.01,12.05
41,Marvin Jones,WR,32.0,2022,135.9393707673567,253.0,33.2,5.03,18.05
42,Elijah Moore,WR,22.0,2022,135.24131617543827,94.0,7.6,2.06,10.06
43,DeVante Parker,WR,29.0,2022,133.555100910173,139.0,9.4,8.05,14.07
44,Robby Anderson,WR,29.0,2022,133.555100910173,248.0,26.8,6.01,18.05
45,Christian Kirk,WR,26.0,2022,132.2438768601612,112.0,7.3,6.05,12.06
46,Jamison Crowder,WR,29.0,2022,130.90851400278157,274.0,23.6,9.09,18.06
47,Robby Anderson,WR,29.0,2022,125.50590523920191,248.0,26.8,6.01,18.05
