rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Justin Jefferson,WR,23.0,2022,300.53705940363096,6.0,1.6,1.01,1.11
1,Ja'Marr Chase,WR,22.0,2022,288.4652961354039,9.0,1.9,1.01,2.06
2,Cooper Kupp,WR,29.0,2022,279.9502511540515,4.0,1.7,1.01,2.05
3,Davante Adams,WR,30.0,2022,259.82294860537525,11.0,2.2,1.01,2.09
4,Tyreek Hill,WR,28.0,2022,239.42274298626415,22.0,3.0,1.02,3.11
5,Deebo Samuel,WR,26.0,2022,234.8620209034642,19.0,2.7,1.03,3.04
6,Amon-Ra St. Brown,WR,23.0,2022,230.39965088292837,84.0,7.8,4.01,10.11
7,Stefon Diggs,WR,29.0,2022,226.63519474387826,13.0,2.3,1.01,2.1
8,Chris Godwin,WR,26.0,2022,226.0439907413101,58.0,6.1,2.09,7.05
9,CeeDee Lamb,WR,23.0,2022,221.92777744392558,17.0,2.6,1.01,3.01
10,Jaylen Waddle,WR,24.0,2022,213.0047805347498,49.0,5.6,2.09,6.06
11,D.K. Metcalf,WR,25.0,2022,212.1195691091176,42.0,4.6,2.07,5.12
12,Tee Higgins,WR,23.0,2022,210.2589129392024,34.0,3.5,1.09,4.09
13,Diontae Johnson,WR,26.0,2022,208.23396772279438,46.0,4.8,2.12,6.1
14,A.J. Brown,WR,25.0,2022,202.758326501544,30.0,3.3,1.12,4.11
15,DeAndre Hopkins,WR,30.0,2022,200.66789763267002,55.0,6.2,2.08,6.12
16,Tyler Lockett,WR,30.0,2022,196.87466561722312,111.0,7.2,6.02,11.1
17,Amari Cooper,WR,28.0,2022,196.46227636962118,76.0,6.4,4.01,9.03
18,D.J. Moore,WR,25.0,2022,189.66942921969996,44.0,5.1,1.12,6.02
19,Darren Waller,WR,30.0,2022,186.64901100130476,52.0,5.8,1.07,6.1
20,Chase Claypool,WR,24.0,2022,184.0907657914585,115.0,8.3,4.06,13.02
21,Terry McLaurin,WR,27.0,2022,181.3009532075137,39.0,3.8,1.07,5.03
22,Brandon Aiyuk,WR,24.0,2022,179.7475484550659,100.0,7.7,4.09,10.11
23,Keenan Allen,WR,30.0,2022,177.00752586904468,28.0,3.3,2.01,4.03
24,DeVonta Smith,WR,24.0,2022,175.60713347998433,87.0,6.9,3.01,9.09
25,Mike Evans,WR,29.0,2022,175.5002600414046,25.0,3.1,1.02,3.12
26,Michael Pittman Jr.,WR,25.0,2022,172.6045739773997,31.0,3.1,1.06,4.05
27,Hunter Renfrow,WR,27.0,2022,171.6264088788393,70.0,6.2,3.11,8.04
28,Marquise Brown,WR,25.0,2022,165.0382774513389,77.0,6.3,3.08,8.1
