rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Ja'Marr Chase,WR,22.0,2022,282.848384991684,9.0,1.9,1.01,2.06
1,Cooper Kupp,WR,29.0,2022,261.3296033212725,4.0,1.7,1.01,2.05
2,Justin Jefferson,WR,23.0,2022,261.13533049138397,6.0,1.6,1.01,1.11
3,Davante Adams,WR,30.0,2022,247.57941260460044,11.0,2.2,1.01,2.09
4,Tyreek Hill,WR,28.0,2022,237.2860050000314,22.0,3.0,1.02,3.11
5,Stefon Diggs,WR,29.0,2022,227.84305937538355,13.0,2.3,1.01,2.1
6,Jaylen Waddle,WR,24.0,2022,219.87742832462635,49.0,5.6,2.09,6.06
7,Chris Godwin,WR,26.0,2022,212.16878597102513,58.0,6.1,2.09,7.05
8,CeeDee Lamb,WR,23.0,2022,207.03462015438294,17.0,2.6,1.01,3.01
9,D.K. Metcalf,WR,25.0,2022,206.97674928540906,42.0,4.6,2.07,5.12
10,DeAndre Hopkins,WR,30.0,2022,205.60426065980974,55.0,6.2,2.08,6.12
11,Tyler Lockett,WR,30.0,2022,204.286686529567,111.0,7.2,6.02,11.1
12,Mike Evans,WR,29.0,2022,203.1213994179899,25.0,3.1,1.02,3.12
13,Amari Cooper,WR,28.0,2022,202.49231198340715,76.0,6.4,4.01,9.03
14,Amon-Ra St. Brown,WR,23.0,2022,198.86404041296086,84.0,7.8,4.01,10.11
15,Diontae Johnson,WR,26.0,2022,197.3964244440225,46.0,4.8,2.12,6.1
16,Deebo Samuel,WR,26.0,2022,197.28501158812617,19.0,2.7,1.03,3.04
17,A.J. Brown,WR,25.0,2022,195.2117817524959,30.0,3.3,1.12,4.11
18,Keenan Allen,WR,30.0,2022,190.97727527528755,28.0,3.3,2.01,4.03
19,D.J. Moore,WR,25.0,2022,190.79015411452977,44.0,5.1,1.12,6.02
20,Tee Higgins,WR,23.0,2022,188.86038118017933,34.0,3.5,1.09,4.09
21,Terry McLaurin,WR,27.0,2022,185.70281615344766,39.0,3.8,1.07,5.03
22,Darren Waller,WR,30.0,2022,184.08899803594258,52.0,5.8,1.07,6.1
23,Chase Claypool,WR,24.0,2022,166.59125750193576,115.0,8.3,4.06,13.02
24,Brandon Aiyuk,WR,24.0,2022,166.58394855688817,100.0,7.7,4.09,10.11
