rank,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Davante Adams,WR,30.0,2022,301.1189999999998,11.0,2.2,1.01,2.09
1,Deebo Samuel,WR,26.0,2022,276.94599999999997,19.0,2.7,1.03,3.04
2,Cooper Kupp,WR,29.0,2022,274.10799999999995,4.0,1.7,1.01,2.05
3,Justin Jefferson,WR,23.0,2022,254.86299999999991,6.0,1.6,1.01,1.11
4,Ja'Marr Chase,WR,22.0,2022,250.58100000000002,9.0,1.9,1.01,2.06
5,Tyreek Hill,WR,28.0,2022,247.32499999999996,22.0,3.0,1.02,3.11
6,Jaylen Waddle,WR,24.0,2022,230.28799999999984,49.0,5.6,2.09,6.06
7,Chris Godwin,WR,26.0,2022,230.10799999999995,58.0,6.1,2.09,7.05
8,Amon-Ra St. Brown,WR,23.0,2022,225.82299999999984,84.0,7.8,4.01,10.11
9,A.J. Brown,WR,25.0,2022,223.00399999999993,30.0,3.3,1.12,4.11
10,Stefon Diggs,WR,29.0,2022,221.19199999999998,13.0,2.3,1.01,2.1
11,Tyler Lockett,WR,30.0,2022,218.85800000000003,111.0,7.2,6.02,11.1
12,Hunter Renfrow,WR,27.0,2022,214.99099999999999,70.0,6.2,3.11,8.04
13,DeAndre Hopkins,WR,30.0,2022,198.86999999999998,55.0,6.2,2.08,6.12
14,Diontae Johnson,WR,26.0,2022,197.2209999999999,46.0,4.8,2.12,6.1
15,Darren Waller,WR,30.0,2022,196.98999999999992,52.0,5.8,1.07,6.1
16,D.K. Metcalf,WR,25.0,2022,196.01599999999996,42.0,4.6,2.07,5.12
17,Terry McLaurin,WR,27.0,2022,192.19599999999994,39.0,3.8,1.07,5.03
18,Tee Higgins,WR,23.0,2022,189.21999999999989,34.0,3.5,1.09,4.09
19,Keenan Allen,WR,30.0,2022,189.12699999999992,28.0,3.3,2.01,4.03
20,Mike Evans,WR,29.0,2022,186.27899999999997,25.0,3.1,1.02,3.12
21,D.J. Moore,WR,25.0,2022,177.9689999999999,44.0,5.1,1.12,6.02
22,CeeDee Lamb,WR,23.0,2022,175.6769999999999,17.0,2.6,1.01,3.01
23,Mecole Hardman,WR,24.0,2022,174.997,168.0,15.9,6.1,15.12
24,Brandon Aiyuk,WR,24.0,2022,170.83599999999996,100.0,7.7,4.09,10.11
25,Chase Claypool,WR,24.0,2022,170.30399999999995,115.0,8.3,4.06,13.02
26,Amari Cooper,WR,28.0,2022,168.229,76.0,6.4,4.01,9.03
27,DeVonta Smith,WR,24.0,2022,166.31099999999998,87.0,6.9,3.01,9.09
28,Mike Williams,WR,28.0,2022,161.74000000000007,51.0,6.1,2.12,6.08
29,Rondale Moore,WR,22.0,2022,159.77106250000008,189.0,16.3,9.03,16.08
30,Adam Thielen,WR,32.0,2022,157.12399999999994,65.0,6.2,3.02,7.11
31,Brandin Cooks,WR,29.0,2022,156.60600000000002,60.0,5.2,2.12,7.03
32,Darnell Mooney,WR,25.0,2022,156.22799999999998,75.0,6.1,4.01,8.12
33,Christian Kirk,WR,26.0,2022,152.27499999999998,112.0,7.3,6.05,12.06
