,Player,rank,Age,Year,Model_Projection_Points,#,StdDev,High,Low
42,Justin Jefferson,0.875,23.0,2022.0,280.51785719551964,6.0,1.6,1.01,1.11
33,Ja'Marr Chase,1.125,22.0,2022.0,277.9923428495043,9.0,1.9,1.01,2.06
14,Cooper Kupp,2.125,29.0,2022.0,267.7627348837462,4.0,1.7,1.01,2.05
23,Davante Adams,2.875,30.0,2022.0,256.4059111914788,11.0,2.2,1.01,2.09
71,Tyreek Hill,4.0,28.0,2022.0,239.24805595033445,22.0,3.0,1.02,3.11
65,Stefon Diggs,5.875,29.0,2022.0,231.0468857217687,13.0,2.3,1.01,2.1
37,Jaylen Waddle,7.75,24.0,2022.0,219.57337900412784,49.0,5.6,2.09,6.06
11,Chris Godwin,9.375,26.0,2022.0,217.95808280079012,58.0,6.1,2.09,7.05
5,Amon-Ra St. Brown,9.5,23.0,2022.0,217.11702321929235,84.0,7.8,4.01,10.11
27,Deebo Samuel,14.25,26.0,2022.0,208.1547053645003,19.0,2.7,1.03,3.04
19,D.K. Metcalf,11.75,25.0,2022.0,207.5270993699457,42.0,4.6,2.07,5.12
9,CeeDee Lamb,12.25,23.0,2022.0,207.21976090678885,17.0,2.6,1.01,3.01
28,Diontae Johnson,13.25,26.0,2022.0,204.5594693075187,46.0,4.8,2.12,6.1
70,Tyler Lockett,13.75,30.0,2022.0,202.60284973400815,111.0,7.2,6.02,11.1
24,DeAndre Hopkins,14.0,30.0,2022.0,201.43282062811429,55.0,6.2,2.08,6.12
0,A.J. Brown,15.875,25.0,2022.0,199.48790871262977,30.0,3.3,1.12,4.11
66,Tee Higgins,16.375,23.0,2022.0,197.3069372026792,34.0,3.5,1.09,4.09
18,D.J. Moore,16.875,25.0,2022.0,193.80482500894337,44.0,5.1,1.12,6.02
53,Mike Evans,17.0,29.0,2022.0,192.15828955704438,25.0,3.1,1.02,3.12
4,Amari Cooper,18.5,28.0,2022.0,190.6239810508339,76.0,6.4,4.01,9.03
