,Player,Position,Age,ovr_score,passing_yds_score,rush_yds_score,Overall,High,Low
0,Josh Allen,QB,26,1.5134534141302338,0.8848972872664806,0.6285561268637532,31.1,15.0,48.0
1,Justin Herbert,QB,24,1.4836520757963854,0.880717199957054,0.6029348758393315,59.8,32.0,84.0
2,Lamar Jackson,QB,25,1.3398970351550008,0.7126691003220958,0.6272279348329048,49.8,15.0,80.0
3,Patrick Mahomes,QB,27,1.330650605024327,0.8797294395963066,0.45092116542802047,23.9,10.0,37.0
4,Jalen Hurts,QB,24,1.2604390171983189,0.8147877747047456,0.4456512424935733,34.3,14.0,63.0
5,Kyler Murray,QB,25,1.0698064932052669,0.644549423835087,0.4252570693701799,141.7,97.0,180.0
6,Trevor Lawrence,QB,23,1.0410607245747205,0.842860210435903,0.19820051413881745,73.4,35.0,106.0
7,Daniel Jones,QB,25,0.9989533175353131,0.7770381504401975,0.22191516709511566,116.5,77.0,150.0
8,Aaron Rodgers,QB,39,0.9960161785600722,0.9275928709469616,0.06842330761311052,104.6,70.0,150.0
9,Matt Ryan,QB,37,0.9902588155620089,0.9146804094051966,0.07557840615681234,,,
10,Dak Prescott,QB,29,0.9878204466819609,0.710228330126691,0.2775921165552699,80.3,44.0,114.0
11,Justin Fields,QB,23,0.9841292806347853,0.6044377639252738,0.3796915167095115,62.5,28.0,91.0
12,Kirk Cousins,QB,34,0.9621335251978828,0.8944814258106077,0.06765209938727505,106.0,73.0,150.0
13,Ryan Tannehill,QB,34,0.9467952896591555,0.8097344499033714,0.13706083975578406,,,
14,Tom Brady,QB,45,0.9368702686992808,0.9070073723856561,0.029862896313624675,,,
15,Jared Goff,QB,28,0.9201311420274876,0.8762579629375133,0.04387317908997429,126.9,89.0,190.0
16,Carson Wentz,QB,30,0.9187612827959406,0.6949395175864291,0.22382176520951153,,,
17,Russell Wilson,QB,34,0.8920876221806767,0.824092763581705,0.06799485859897171,125.4,90.0,166.0
18,Baker Mayfield,QB,27,0.8746717723913391,0.7182878820700023,0.15638389032133676,,,
19,Derek Carr,QB,31,0.8694018862749641,0.8334550139574833,0.03594687231748073,144.4,101.0,180.0
20,Geno Smith,QB,32,0.8068420464840249,0.6853339059480352,0.12150814053598971,128.9,67.0,180.0
21,Deshaun Watson,QB,27,0.7614951343668691,0.5720564025767663,0.18943873179010284,88.5,47.0,121.0
22,Jacoby Brissett,QB,30,0.7486710168398348,0.5572399971226112,0.19143101971722365,,,
23,Joe Burrow,QB,26,0.7414758978482237,0.6796507050461671,0.06182519280205654,49.6,26.0,76.0
24,Matthew Stafford,QB,34,0.7268182862873975,0.6776751843246726,0.049143101962724936,149.5,113.0,180.0
25,Mac Jones,QB,24,0.7044131352656503,0.6788347290959845,0.025578406169665807,,,
26,Taysom Hill,QB,32,0.654707515719648,0.28557726721065063,0.3691302485089974,155.8,120.0,202.0
27,Taysom Hill,QB,32,0.654707515719648,0.28557726721065063,0.3691302485089974,155.8,120.0,202.0
28,Davis Mills,QB,24,0.651228858353928,0.6184525087395321,0.032776349614395885,,,
29,Taylor Heinicke,QB,29,0.6363371638715662,0.3777467611337771,0.2585904027377892,,,
30,Zach Wilson,QB,23,0.6088084774944207,0.5743611767232124,0.03444730077120822,,,
31,Tua Tagovailoa,QB,24,0.5924803425856452,0.5362035645265192,0.05627677805912597,95.8,58.0,126.0
32,Kenny Pickett,QB,24,0.5753908711608694,0.5416290888125403,0.03376178234832904,158.7,77.0,208.0
33,Marcus Mariota,QB,29,0.5702931559153812,0.36622289027270777,0.20407026564267347,,,
34,Andy Dalton,QB,35,0.5146908055260158,0.4827285090401546,0.03196229648586118,,,
35,Mitchell Trubisky,QB,28,0.4408456582532997,0.2334120678548422,0.20743359039845752,,,
36,Sam Darnold,QB,25,0.4137199641703202,0.31316298045952334,0.10055698371079688,,,
37,Jameis Winston,QB,28,0.41303028272082987,0.3265478491303414,0.08648243359048843,,,
38,Jimmy Garoppolo,QB,31,0.3800943434404136,0.36488440342280437,0.015209940017609253,161.0,94.0,206.0
39,Taysom Hill,QB,32,0.3691302485089974,0.0,0.3691302485089974,155.8,120.0,202.0
