,Player,Position,Age,ovr_score,rush_yds_score,catch_yds_score,Overall,High,Low
0,Dalvin Cook,RB,27,0.9576154420151664,0.758238974046242,0.3322941132815406,77.3,25.0,118.0
1,Josh Jacobs,RB,24,0.8138329078660891,0.6917374931236311,0.20349235790409662,21.2,8.0,35.0
2,Jonathan Taylor,RB,23,0.8117894702419257,0.625620862977386,0.31028101210756626,17.7,3.0,32.0
3,Derrick Henry,RB,28,0.7652539718265368,0.5678786844517744,0.32895881229127066,18.0,8.0,29.0
4,D'Andre Swift,RB,23,0.7345035823049003,0.6452300657406779,0.14878919427370405,60.6,26.0,93.0
5,Austin Ekeler,RB,27,0.732626961142851,0.6136134402417224,0.1983558681685477,5.0,1.0,11.0
6,Travis Etienne,RB,23,0.7018193660065222,0.6054842621244121,0.16055850647018344,31.6,11.0,52.0
7,Aaron Jones,RB,28,0.6888660887531377,0.5645916419505786,0.20712407800426502,35.4,19.0,50.0
8,Kenneth Walker III,RB,22,0.6605960464530852,0.5603339477073292,0.16710349790959333,45.3,15.0,70.0
9,Najee Harris,RB,24,0.6543740232366256,0.5074046329557687,0.24494898380142838,26.8,11.0,42.0
10,James Robinson,RB,24,0.6375423898583115,0.5690499336360623,0.11415409370374863,149.8,98.0,179.0
11,Dameon Pierce,RB,22,0.6217567245212724,0.5344866814258576,0.14545007182569133,53.3,22.0,78.0
12,Tony Pollard,RB,25,0.6132880908327885,0.37243252775901997,0.4014259384562809,15.2,7.0,25.0
13,Breece Hall,RB,21,0.6093218317058242,0.4214449984552872,0.31312805541756167,31.3,14.0,51.0
14,J.K. Dobbins,RB,24,0.5998792207045346,0.5363703516996341,0.10584811500816743,55.0,34.0,78.0
15,Alvin Kamara,RB,27,0.5979279417449934,0.3962355887211679,0.3361539217063759,66.0,40.0,87.0
16,Chuba Hubbard,RB,23,0.5669153135643837,0.4344512467427049,0.220773444702798,157.5,105.0,194.0
17,Ezekiel Elliott,RB,27,0.5605760739882004,0.4584597564405965,0.17019386257933983,121.1,76.0,170.0
18,Christian McCaffrey,RB,26,0.5555502796892612,0.4140634471431948,0.23581138757677733,1.8,1.0,5.0
19,Nick Chubb,RB,27,0.5475215139091952,0.4623425013783117,0.14196502088480592,12.6,3.0,23.0
20,Jamaal Williams,RB,27,0.5243375147473682,0.486875096798647,0.06243736324786866,94.5,63.0,124.0
21,Elijah Mitchell,RB,24,0.5144868022126162,0.4966841976309892,0.02967100763604503,108.0,72.0,150.0
22,David Montgomery,RB,25,0.49825387437673513,0.3773818057501018,0.20145344771105558,60.1,22.0,95.0
23,Joe Mixon,RB,26,0.49387274056499453,0.39968655299941286,0.15697697927596943,29.9,18.0,45.0
24,Saquon Barkley,RB,25,0.49336752376844273,0.4101106367299351,0.13876147839751274,8.9,3.0,16.0
25,Clyde Edwards-Helaire,RB,23,0.49164381247468847,0.42663384228276313,0.10834995031987554,139.2,100.0,180.0
26,Rhamondre Stevenson,RB,24,0.4716685114377601,0.38099903864304635,0.1511157879911896,22.0,13.0,34.0
27,James Cook,RB,23,0.4330544926671458,0.29788328328724917,0.22528534896649435,78.6,52.0,99.0
28,Miles Sanders,RB,25,0.42985586893592953,0.38254897499521767,0.07884482323451981,54.4,36.0,74.0
29,Kenyan Drake,RB,28,0.42310465671521047,0.38032175580090916,0.07130483485716888,,,
30,Latavius Murray,RB,32,0.4151541141430274,0.3696643739899563,0.07581623358845183,,,
31,Jerick McKinnon,RB,30,0.41457593607313725,0.2499588694289044,0.2743617777403881,115.0,84.0,150.0
32,Raheem Mostert,RB,30,0.41453010581680066,0.3272629625425661,0.14544523879039095,113.4,66.0,165.0
33,J.D. McKissic,RB,29,0.3823860774686127,0.3311493290377177,0.08539458071815831,,,
34,Zack Moss,RB,25,0.37954442626791657,0.3511927606595749,0.04725277601390284,,,
35,Damien Harris,RB,25,0.37656466785642295,0.34572738026517197,0.05139547931875165,92.9,51.0,137.0
36,Devin Singletary,RB,25,0.3755952317441096,0.3238025605152447,0.08632111871477478,115.3,79.0,152.0
37,Kareem Hunt,RB,27,0.3730863184626458,0.30397030297073424,0.11519335915318593,128.2,58.0,188.0
38,Tyler Allgeier,RB,22,0.3697144714132455,0.28998261092824795,0.13288643414166257,108.6,67.0,154.0
39,Isiah Pacheco,RB,23,0.3506556342411652,0.278498783082109,0.12026141859842698,71.8,46.0,98.0
40,D'Onta Foreman,RB,26,0.3489430143804231,0.34071826279018713,0.013707919317059942,,,
41,Cordarrelle Patterson,RB,31,0.34579920713277296,0.29475371118086063,0.08507582658652053,123.6,78.0,175.0
42,Jaylen Warren,RB,24,0.340998031064077,0.27503368628299424,0.1099405746351379,140.6,100.0,189.0
43,Brian Robinson Jr.,RB,23,0.33936900785640006,0.2918851590626903,0.07913974798951624,93.0,70.0,119.0
44,Khalil Herbert,RB,24,0.3377245140141909,0.28142191552199275,0.09383766415366354,105.7,81.0,121.0
45,Gus Edwards,RB,27,0.33628540826937753,0.3335338248610375,0.004585972347233368,154.3,112.0,188.0
46,Rachaad White,RB,23,0.3270852287964298,0.2618227161734714,0.10877085437159732,64.9,47.0,84.0
47,James Conner,RB,27,0.30978190689102675,0.22365377996308689,0.14354687821323314,55.6,29.0,80.0
48,Leonard Fournette,RB,27,0.3011377136223437,0.1675964128748834,0.22256883457910054,137.6,94.0,180.0
49,Michael Carter,RB,23,0.29278099138793645,0.19035242107315764,0.1707142838579647,134.2,100.0,180.0
50,AJ Dillon,RB,24,0.2918834563985163,0.26496272932833637,0.04486787845029991,,,
51,Cam Akers,RB,23,0.2873109029287395,0.26027052561961916,0.04506729551520061,56.9,35.0,77.0
52,Rashaad Penny,RB,26,0.28427970789749246,0.2750973421474091,0.015303942916805561,93.0,68.0,116.0
53,Antonio Gibson,RB,24,0.2829132809847167,0.18179963289748544,0.16852274681205207,82.9,58.0,110.0
54,Darrell Henderson,RB,25,0.2819173154267166,0.25601168140046215,0.04317605671042404,,,
55,DeeJay Dallas,RB,24,0.2703312511275321,0.19762330536056358,0.12117990961161419,,,
56,Jamycal Hasty,RB,26,0.24291733527310472,0.19468299585040313,0.08039056570450263,,,
57,Jeff Wilson,RB,27,0.23679307264486588,0.19655795020658703,0.06705853739713138,,,
58,Alexander Mattison,RB,24,0.23229868227624273,0.1920134809612575,0.06714200219164204,50.7,21.0,80.0
59,Kenneth Gainwell,RB,23,0.231115986049062,0.16520227453010955,0.10985618586492076,121.9,74.0,176.0
60,Zonovan Knight,RB,21,0.22881869047454206,0.20711004635202712,0.03618107353752493,,,
61,Samaje Perine,RB,27,0.22761290953097144,0.17200013445535803,0.09268795845935567,115.9,73.0,175.0
62,Joshua Kelley,RB,25,0.22060631233824163,0.20337283142678114,0.02872246818576747,,,
63,Ty Johnson,RB,25,0.20003294922776255,0.1823956155784882,0.029395556082123915,,,
64,Mark Ingram,RB,33,0.19788660511544742,0.16343912995616638,0.057412458598801716,,,
65,Travis Homer,RB,24,0.19437177843330303,0.13890646814360186,0.0924421838161686,,,
66,Raheem Blackshear,RB,23,0.19148553168594212,0.14333191717359495,0.08025602418724528,,,
67,Justin Jackson,RB,26,0.19116074212284295,0.15715565876607474,0.05667513892794702,,,
68,Boston Scott,RB,27,0.1812126549844904,0.16770411392700815,0.02251423509580377,,,
69,Jordan Mason,RB,23,0.18041141659545432,0.18041141659545432,0.0,,,
70,Malik Davis,RB,24,0.17977352310342928,0.15003327702251099,0.04956707680153049,,,
71,Melvin Gordon,RB,29,0.16898616863248958,0.07037546845809316,0.16435116695732738,171.4,120.0,209.0
72,Matt Breida,RB,27,0.16505416543461315,0.13691998670820943,0.04689029787733952,,,
73,Darrel Williams,RB,27,0.1648996582268007,0.15051302759065907,0.023977717726902697,,,
74,Javonte Williams,RB,22,0.16143646520510893,0.09929818183461274,0.10356380561749365,61.6,31.0,90.0
75,Malcolm Brown,RB,29,0.1583924603309806,0.1396712248995089,0.03120205905245284,,,
76,Justice Hill,RB,25,0.1518850196660727,0.13236489025071901,0.032533549025589484,,,
77,Jonathan Williams,RB,28,0.1462996131021299,0.11374812569617991,0.05425247900991669,,,
78,Dontrell Hilliard,RB,27,0.1371737545143359,0.07363009462479744,0.1059060998158974,,,
79,Deon Jackson,RB,23,0.1323861951409771,0.09671354070067101,0.059454424067176846,,,
80,Chase Edmonds,RB,26,0.12975840810867312,0.09045858410526678,0.0654997066723439,140.2,103.0,183.0
81,Tyrion Davis-Price,RB,22,0.12557118003827095,0.12483852730699968,0.0012210878854521108,,,
82,Craig Reynolds,RB,26,0.12375429825902828,0.07331657520513438,0.08406287175648985,,,
83,Caleb Huntley,RB,24,0.12229211194008578,0.111646435997182,0.01774279323817297,,,
84,Tevin Coleman,RB,29,0.12137068525921488,0.06732137637496603,0.09008218147374807,,,
85,Gary Brightwell,RB,23,0.11959572155101732,0.10998582083069951,0.016016501200529686,,,
86,Brandon Bolden,RB,32,0.10836735296663798,0.021814422876217376,0.14425488348403434,,,
87,Ronald Jones II,RB,25,0.10689689993763857,0.052311626416642026,0.09097545586832759,,,
88,Hassan Haskins,RB,23,0.10615676994639484,0.08454061687403079,0.03602692178727342,,,
89,Mike Boone,RB,27,0.10593928727399174,0.0705485719943898,0.058984525466003246,,,
90,Mike Davis,RB,29,0.10590940960569672,0.08515495013797159,0.034590765779541906,,,
91,Royce Freeman,RB,26,0.0980976731983506,0.09202757596363162,0.01011682872453163,,,
92,Pierre Strong,RB,24,0.08629613440522575,0.05752414574302008,0.04795331443700945,,,
93,Ke'Shawn Vaughn,RB,25,0.08581206585517531,0.07559804136399487,0.01702337415196741,,,
94,Ameer Abdullah,RB,29,0.0856898308943018,0.01776293495217631,0.11321149323687582,,,
95,Avery Williams,RB,24,0.08543142396691779,0.07276609694087725,0.02110887837673423,,,
96,Nyheim Hines,RB,26,0.08335424369095074,0.01928861469660531,0.10677604832390905,,,
97,Rex Burkhead,RB,32,0.08045548016631027,0.022477809968933508,0.09662945032896127,,,
98,Sony Michel,RB,27,0.08025046421102701,0.05274505009200662,0.04584235686503398,,,
99,Trestan Ebner,RB,23,0.079397042051115,0.07211459635478788,0.012137409493878544,,,
100,Trayveon Williams,RB,25,0.07737934854964273,0.03986561534477472,0.06252288867478001,,,
101,Benny Snell Jr.,RB,24,0.07733584705288722,0.05753722881613738,0.03299769706124974,,,
102,Kyren Williams,RB,22,0.07156743716794423,0.05541143830252731,0.02692666477569486,,,
103,Phillip Lindsay,RB,28,0.0666778431443103,0.05765415808836972,0.015039475093234316,,,
104,Darrynton Evans,RB,24,0.062322744049554735,0.04663469948551954,0.026146740940058658,,,
105,Corey Clement,RB,28,0.05961665702345406,0.03129187277647385,0.04720797374496702,,,
106,Kene Nwangwu,RB,24,0.0555775596850087,0.025874977666686717,0.04950430336386997,,,
107,Zamir White,RB,23,0.053394915253228384,0.053394915253228384,0.0,146.9,95.0,185.0
108,Anthony McFarland Jr.,RB,23,0.05014534082401206,0.03938867625019068,0.017927774289702297,,,
109,Jordan Wilkins,RB,28,0.04935501551093578,0.031306837873104156,0.030080296063052715,,,
110,Patrick Taylor,RB,24,0.0492026140343495,0.02542315086519438,0.039632438615258545,,,
111,Salvon Ahmed,RB,24,0.049018835212711984,0.030289550878031066,0.03121547389113486,,,
112,Kevin Harris,RB,22,0.04868279979956283,0.04868279979956283,0.0,,,
113,David Johnson,RB,31,0.047319361741595845,0.012489402598317077,0.058049931905464626,,,
114,Keaontay Ingram,RB,23,0.04703832926356154,0.02661137120524142,0.0340449300972002,,,
