,Player,Position,Age,ovr_score,catch_yds_score,Overall,High,Low
0,Travis Kelce,TE,33,0.34879624688908434,0.34879624688908434,5.8,1.0,19.0
1,Taysom Hill,TE,32,0.3437615429439377,0.3437615429439377,155.8,120.0,202.0
5,T.J. Hockenson,TE,25,0.2848503083764069,0.2848503083764069,42.7,24.0,64.0
6,George Kittle,TE,29,0.28178352235936993,0.28178352235936993,54.3,31.0,77.0
7,Pat Freiermuth,TE,24,0.23945262041692095,0.23945262041692095,90.5,62.0,149.0
8,Jonnu Smith,TE,27,0.22644366724163645,0.22644366724163645,,,
9,Noah Fant,TE,25,0.22556920269645475,0.22556920269645475,162.5,107.0,211.0
10,Mark Andrews,TE,27,0.22526818721732716,0.22526818721732716,27.4,13.0,41.0
11,Darren Waller,TE,30,0.21477903856336739,0.21477903856336739,67.9,47.0,89.0
12,Jordan Akins,TE,30,0.21108339114027191,0.21108339114027191,,,
13,Hunter Henry,TE,28,0.20734310655576071,0.20734310655576071,161.1,102.0,199.0
14,Dawson Knox,TE,26,0.1969896793252443,0.1969896793252443,130.3,75.0,181.0
15,Evan Engram,TE,28,0.18694113851806793,0.18694113851806793,96.7,66.0,145.0
16,C.J. Uzomah,TE,29,0.18493848670552288,0.18493848670552288,,,
17,Zach Ertz,TE,32,0.1823178627250433,0.1823178627250433,157.0,108.0,203.0
18,Ross Dwelley,TE,27,0.18029449828754995,0.18029449828754995,,,
19,Cole Kmet,TE,23,0.17488189326425646,0.17488189326425646,128.8,84.0,179.0
20,Chigoziem Okonkwo,TE,23,0.17463179993272798,0.17463179993272798,144.5,91.0,203.0
21,Mike Gesicki,TE,27,0.17429136589535432,0.17429136589535432,153.8,100.0,202.0
22,Kyle Pitts,TE,22,0.1711285924579481,0.1711285924579481,64.3,33.0,100.0
23,Dallas Goedert,TE,27,0.16980498127135457,0.16980498127135457,65.9,44.0,94.0
24,Ian Thomas,TE,26,0.16973627392993645,0.16973627392993645,,,
29,Mo Alie-Cox,TE,29,0.15619231832066155,0.15619231832066155,,,
30,Dalton Schultz,TE,26,0.1556923199744063,0.1556923199744063,109.4,66.0,159.0
31,Will Dissly,TE,26,0.1541342259895247,0.1541342259895247,,,
32,Hayden Hurst,TE,29,0.15292183760048056,0.15292183760048056,,,
33,David Njoku,TE,26,0.15134758288396316,0.15134758288396316,102.5,72.0,144.0
34,Brock Wright,TE,24,0.14979467376403582,0.14979467376403582,,,
35,Tyler Higbee,TE,29,0.14901738037698148,0.14901738037698148,136.0,93.0,178.0
36,Marcedes Lewis,TE,38,0.14870835819471123,0.14870835819471123,,,
37,Jody Fortson,TE,27,0.1449666803180707,0.1449666803180707,,,
38,Logan Thomas,TE,31,0.14485314050361836,0.14485314050361836,,,
39,Juwan Johnson,TE,26,0.1411569826746787,0.1411569826746787,,,
40,Gerald Everett,TE,28,0.14023300852555892,0.14023300852555892,140.1,96.0,180.0
41,Austin Hooper,TE,28,0.13846743836372233,0.13846743836372233,,,
42,Jelani Woods,TE,24,0.1375859547506902,0.1375859547506902,,,
43,Cade Otton,TE,23,0.1361926920322578,0.1361926920322578,,,
44,Tyler Conklin,TE,27,0.13575327847643187,0.13575327847643187,,,
45,Greg Dulcich,TE,22,0.1326664477758921,0.1326664477758921,138.6,86.0,199.0
46,Foster Moreau,TE,25,0.1312959605285855,0.1312959605285855,,,
47,Robert Tonyan,TE,28,0.12777257227651273,0.12777257227651273,,,
48,Connor Heyward,TE,23,0.12575825136444363,0.12575825136444363,,,
49,MyCole Pruitt,TE,30,0.12408382830680915,0.12408382830680915,,,
50,Teagan Quitoriano,TE,22,0.12294575117692928,0.12294575117692928,,,
51,Isaiah Likely,TE,22,0.1225582412305788,0.1225582412305788,,,
52,Dan Arnold,TE,27,0.1176700413652172,0.1176700413652172,,,
53,O.J. Howard,TE,28,0.11752508825500986,0.11752508825500986,,,
54,Pharaoh Brown,TE,28,0.11695534118940516,0.11695534118940516,,,
55,Cameron Brate,TE,31,0.11598120761817472,0.11598120761817472,,,
56,Tyler Kroft,TE,30,0.1147628163469936,0.1147628163469936,,,
57,Josh Oliver,TE,25,0.11379686068837248,0.11379686068837248,,,
58,Harrison Bryant,TE,24,0.11328356452891337,0.11328356452891337,,,
59,Durham Smythe,TE,27,0.11021303860391664,0.11021303860391664,,,
60,Anthony Firkser,TE,27,0.10802294998335964,0.10802294998335964,,,
61,Zach Gentry,TE,26,0.10778872828349274,0.10778872828349274,,,
62,Grant Calcaterra,TE,24,0.10502538479095617,0.10502538479095617,,,
63,Trey McBride,TE,23,0.10137734460528365,0.10137734460528365,,,
64,Stephen Sullivan,TE,26,0.1000887284204366,0.1000887284204366,,,
65,Giovanni Ricci,TE,26,0.09863531995936763,0.09863531995936763,,,
66,Jake Ferguson,TE,23,0.09607579832820902,0.09607579832820902,,,
67,Albert Okwuegbunam,TE,24,0.09435851335402885,0.09435851335402885,,,
68,Ryan Griffin,TE,32,0.09237353284340101,0.09237353284340101,,,
69,Kylen Granson,TE,24,0.09146125500076437,0.09146125500076437,,,
70,Donald Parham,TE,25,0.08861905940605215,0.08861905940605215,,,
71,Daniel Bellinger,TE,22,0.08834797778573582,0.08834797778573582,,,
72,Peyton Hendershot,TE,23,0.08704970798899057,0.08704970798899057,,,
73,Colby Parkinson,TE,23,0.08670799423981913,0.08670799423981913,,,
74,Irv Smith Jr.,TE,24,0.08641966040019523,0.08641966040019523,,,
75,Eric Saubert,TE,28,0.08602561889011247,0.08602561889011247,,,
76,Tanner Hudson,TE,28,0.08593555299797039,0.08593555299797039,,,
77,Tommy Tremble,TE,22,0.08586079499263309,0.08586079499263309,,,
78,Josiah Deguara,TE,25,0.08468812966943727,0.08468812966943727,,,
79,Chris Manhertz,TE,30,0.08450903390475713,0.08450903390475713,,,
80,John Bates,TE,25,0.08413589094501471,0.08413589094501471,,,
81,Adam Trautman,TE,25,0.08382778489815144,0.08382778489815144,,,
82,Kyle Rudolph,TE,33,0.07712726522802056,0.07712726522802056,,,
83,Kendall Blanton,TE,27,0.07167289542899859,0.07167289542899859,,,
84,Blake Bell,TE,31,0.07135820096493815,0.07135820096493815,,,
85,Tyler Davis,TE,25,0.07107108758310228,0.07107108758310228,,,
86,Trevon Wesco,TE,27,0.07050732912978398,0.07050732912978398,,,
87,Brevin Jordan,TE,22,0.06957501239746926,0.06957501239746926,,,
88,Parker Hesse,TE,27,0.06681315151533947,0.06681315151533947,,,
89,Quintin Morris,TE,23,0.06628797837376758,0.06628797837376758,,,
90,Geoff Swaim,TE,29,0.066032725542906,0.066032725542906,,,
91,Eric Tomlinson,TE,30,0.06600650293521136,0.06600650293521136,,,
92,Noah Gray,TE,23,0.06415818206027323,0.06415818206027323,,,
93,Jack Stoll,TE,24,0.06112192957842193,0.06112192957842193,,,
94,Armani Rogers,TE,25,0.05864689116950057,0.05864689116950057,,,
95,James Mitchell,TE,23,0.057438380901414524,0.057438380901414524,,,
96,Johnny Mundt,TE,28,0.05445021768497761,0.05445021768497761,,,
97,Lawrence Cager,TE,25,0.052621843526300796,0.052621843526300796,,,
98,Ko Kieft,TE,24,0.05182751197900311,0.05182751197900311,,,
99,Mitchell Wilcox,TE,26,0.049649305565691096,0.049649305565691096,,,
100,Brycen Hopkins,TE,25,0.04853330290319881,0.04853330290319881,,,
101,Cole Turner,TE,22,0.043600008335402715,0.043600008335402715,,,
