,Player,Position,Age,ovr_score,catch_yds_score,Overall,High,Low
0,Cooper Kupp,WR,29,0.4499579596415156,0.4499579596415156,6.5,1.0,15.0
1,Davante Adams,WR,30,0.3990261150185324,0.3990261150185324,12.7,6.0,21.0
2,Jaylen Waddle,WR,24,0.39232590174345655,0.39232590174345655,22.4,12.0,35.0
3,Tyreek Hill,WR,28,0.38541988703831404,0.38541988703831404,6.9,1.0,17.0
4,A.J. Green,WR,34,0.37877143479728065,0.37877143479728065,,,
5,Justin Jefferson,WR,23,0.3707611020836679,0.3707611020836679,1.5,1.0,5.0
6,Mike Evans,WR,29,0.3647772031407005,0.3647772031407005,60.6,40.0,82.0
7,A.J. Brown,WR,25,0.35516329776162064,0.35516329776162064,14.7,4.0,24.0
8,Ja'Marr Chase,WR,22,0.3459177463783559,0.3459177463783559,3.5,1.0,9.0
9,Stefon Diggs,WR,29,0.34140717212643623,0.34140717212643623,10.7,3.0,18.0
10,D.J. Moore,WR,25,0.3193008963873189,0.3193008963873189,48.7,34.0,71.0
11,Amari Cooper,WR,28,0.3111677172039088,0.3111677172039088,39.6,19.0,65.0
12,Tyler Boyd,WR,28,0.31018521665669935,0.31018521665669935,123.6,92.0,150.0
13,D.K. Metcalf,WR,25,0.29660142367112124,0.29660142367112124,31.8,19.0,48.0
14,Keenan Allen,WR,30,0.2947104972994668,0.2947104972994668,34.7,17.0,51.0
15,J.D. McKissic,WR,29,0.29268517818222656,0.29268517818222656,,,
16,Gabriel Davis,WR,23,0.28944846608098457,0.28944846608098457,93.4,68.0,122.0
17,Tee Higgins,WR,23,0.2893178922843375,0.2893178922843375,28.7,17.0,41.0
18,Damiere Byrd,WR,29,0.28923007607967394,0.28923007607967394,,,
19,DeSean Jackson,WR,36,0.2882174492376611,0.2882174492376611,,,
20,Sterling Shepard,WR,29,0.2877881375790659,0.2877881375790659,,,
21,Garrett Wilson,WR,22,0.2877134258826293,0.2877134258826293,20.0,7.0,33.0
22,Terry McLaurin,WR,27,0.2871614198941654,0.2871614198941654,50.8,31.0,73.0
23,Mike Williams,WR,28,0.28705419963955797,0.28705419963955797,63.0,45.0,84.0
24,Deebo Samuel,WR,26,0.28404368435408184,0.28404368435408184,34.8,21.0,52.0
25,Corey Davis,WR,27,0.2807497861336089,0.2807497861336089,,,
26,K.J. Osborn,WR,25,0.2742041837631685,0.2742041837631685,157.9,118.0,180.0
27,Cordarrelle Patterson,WR,31,0.27257082432910074,0.27257082432910074,123.6,78.0,175.0
28,Darnell Mooney,WR,25,0.27129627679002394,0.27129627679002394,106.7,56.0,148.0
29,Amon-Ra St. Brown,WR,23,0.2689703795722152,0.2689703795722152,15.1,7.0,24.0
30,T.Y. Hilton,WR,33,0.2673194293108616,0.2673194293108616,,,
31,Chosen Anderson,WR,29,0.2668668770261821,0.2668668770261821,,,
32,Julio Jones,WR,33,0.2647645694690263,0.2647645694690263,,,
33,Chris Godwin,WR,26,0.2633629498992653,0.2633629498992653,41.7,30.0,63.0
34,Tyler Lockett,WR,30,0.2622931416198854,0.2622931416198854,59.5,35.0,81.0
35,Laviska Shenault Jr.,WR,24,0.25571338781925906,0.25571338781925906,,,
36,Chris Olave,WR,22,0.25410210814772666,0.25410210814772666,27.8,11.0,43.0
37,Christian Watson,WR,23,0.2527161562544234,0.2527161562544234,69.2,21.0,101.0
38,Brandon Aiyuk,WR,24,0.2521243659929674,0.2521243659929674,62.1,34.0,87.0
39,Christian Kirk,WR,26,0.2476731797912905,0.2476731797912905,63.5,41.0,86.0
40,Marquez Valdes-Scantling,WR,28,0.24643622990429065,0.24643622990429065,160.6,117.0,198.0
41,Brandin Cooks,WR,29,0.24189316160946372,0.24189316160946372,82.3,63.0,102.0
42,John Brown,WR,32,0.23895717884662965,0.23895717884662965,,,
43,Marquise Brown,WR,25,0.23726583686943942,0.23726583686943942,65.5,21.0,99.0
44,Courtland Sutton,WR,27,0.23641549832953695,0.23641549832953695,83.8,65.0,118.0
45,DJ Chark,WR,26,0.2361538921952559,0.2361538921952559,,,
46,DeVante Parker,WR,29,0.23517241864293065,0.23517241864293065,,,
47,Robert Woods,WR,30,0.23511757817322815,0.23511757817322815,,,
48,JuJu Smith-Schuster,WR,26,0.23415955118069037,0.23415955118069037,91.7,71.0,116.0
49,CeeDee Lamb,WR,23,0.23394853494247597,0.23394853494247597,15.4,5.0,29.0
50,Rashid Shaheed,WR,24,0.23310473674596205,0.23310473674596205,,,
51,DeVonta Smith,WR,24,0.23241959309292198,0.23241959309292198,29.4,14.0,47.0
52,Rashod Bateman,WR,23,0.2307589373954812,0.2307589373954812,94.0,74.0,120.0
53,Jerry Jeudy,WR,23,0.22994649497135072,0.22994649497135072,56.2,28.0,89.0
54,Darius Slayton,WR,25,0.22983479786093158,0.22983479786093158,156.6,118.0,207.0
55,Mack Hollins,WR,29,0.22438524847683566,0.22438524847683566,,,
56,Marvin Jones,WR,32,0.22387780679820457,0.22387780679820457,,,
57,Curtis Samuel,WR,26,0.22343257177704984,0.22343257177704984,156.8,116.0,180.0
58,Jarvis Landry,WR,30,0.22332593556697805,0.22332593556697805,,,
59,Nelson Agholor,WR,29,0.22293653844908884,0.22293653844908884,,,
60,DeAndre Hopkins,WR,30,0.22243512140422922,0.22243512140422922,48.2,24.0,76.0
61,Jakobi Meyers,WR,26,0.22181738903569542,0.22181738903569542,100.6,80.0,120.0
62,Diontae Johnson,WR,26,0.22145469513777333,0.22145469513777333,54.2,40.0,73.0
63,Kalif Raymond,WR,28,0.22016994711496618,0.22016994711496618,,,
64,Allen Lazard,WR,27,0.2180632501676812,0.2180632501676812,113.5,85.0,149.0
65,Zay Jones,WR,27,0.21712667706154282,0.21712667706154282,128.7,99.0,152.0
66,Kevin White,WR,30,0.2148039683439092,0.2148039683439092,,,
67,Adam Thielen,WR,32,0.21383370314909828,0.21383370314909828,122.4,89.0,152.0
68,Jalen Guyton,WR,25,0.2134499850435871,0.2134499850435871,,,
69,Jahan Dotson,WR,22,0.2130742761906897,0.2130742761906897,91.3,51.0,124.0
70,Randall Cobb,WR,32,0.2104294467451155,0.2104294467451155,,,
71,Kendrick Bourne,WR,27,0.2100809446738951,0.2100809446738951,,,
72,Trent Sherfield,WR,26,0.20583869765287938,0.20583869765287938,,,
73,Justin Watson,WR,26,0.20177984314937547,0.20177984314937547,,,
74,Nick Westbrook-Ikhine,WR,25,0.2005853772756206,0.2005853772756206,,,
75,Tre'Quan Smith,WR,26,0.19750078265668974,0.19750078265668974,,,
76,Chris Moore,WR,29,0.19578471214053933,0.19578471214053933,,,
77,George Pickens,WR,21,0.1905412778477757,0.1905412778477757,85.3,48.0,122.0
78,Drake London,WR,21,0.1902596704575033,0.1902596704575033,60.4,12.0,93.0
79,Denzel Mims,WR,25,0.18775325417147298,0.18775325417147298,,,
80,Josh Palmer,WR,24,0.1855058711921534,0.1855058711921534,,,
81,Nico Collins,WR,23,0.18440837144238714,0.18440837144238714,118.4,87.0,150.0
82,Allen Robinson,WR,29,0.1839263421136506,0.1839263421136506,153.0,113.0,180.0
83,Van Jefferson,WR,26,0.1826225383421171,0.1826225383421171,170.0,121.0,207.0
84,Chase Claypool,WR,24,0.18166407372686483,0.18166407372686483,151.9,111.0,180.0
85,Zach Pascal,WR,28,0.1794250955492923,0.1794250955492923,,,
86,Tutu Atwell,WR,23,0.17819906552451348,0.17819906552451348,,,
87,Dyami Brown,WR,23,0.17764995134945666,0.17764995134945666,,,
88,Quez Watkins,WR,24,0.1763738088365725,0.1763738088365725,,,
89,Michael Thomas,WR,29,0.1751763518286718,0.1751763518286718,101.4,65.0,147.0
90,Marquise Goodwin,WR,32,0.17447699587519372,0.17447699587519372,,,
91,Elijah Moore,WR,22,0.17372550030573203,0.17372550030573203,100.6,75.0,127.0
92,Dante Pettis,WR,27,0.17322346030467034,0.17322346030467034,,,
93,Equanimeous St. Brown,WR,26,0.17312022094233004,0.17312022094233004,,,
94,Jauan Jennings,WR,25,0.17193186984244302,0.17193186984244302,,,
95,Mecole Hardman,WR,24,0.17177788828558066,0.17177788828558066,167.6,102.0,210.0
96,Alec Pierce,WR,22,0.17026013367006715,0.17026013367006715,155.7,113.0,181.0
97,Noah Brown,WR,26,0.1683723965670027,0.1683723965670027,,,
98,Treylon Burks,WR,22,0.16718541174168733,0.16718541174168733,83.1,56.0,110.0
99,Byron Pringle,WR,29,0.16348461803562303,0.16348461803562303,,,
100,Jalen Virgil,WR,24,0.1634792406421468,0.1634792406421468,,,
101,N'Keal Harry,WR,25,0.16316878583014155,0.16316878583014155,,,
102,Michael Pittman Jr.,WR,25,0.1605795321772901,0.1605795321772901,54.1,34.0,80.0
103,Olamide Zaccheaus,WR,25,0.16031496084832292,0.16031496084832292,,,
104,Hunter Renfrow,WR,27,0.1591666710266551,0.1591666710266551,141.8,90.0,179.0
105,Keelan Cole,WR,29,0.15892654841427584,0.15892654841427584,,,
106,KJ Hamler,WR,23,0.15817093017222472,0.15817093017222472,,,
107,Demarcus Robinson,WR,28,0.15748408080501403,0.15748408080501403,,,
108,Ray-Ray McCloud,WR,26,0.15701165982721288,0.15701165982721288,,,
109,Phillip Dorsett,WR,29,0.15681752333178556,0.15681752333178556,,,
110,Michael Gallup,WR,26,0.15257191149565857,0.15257191149565857,139.1,109.0,176.0
111,Josh Reynolds,WR,27,0.15114066584147878,0.15114066584147878,,,
112,Parris Campbell,WR,25,0.1504465857282804,0.1504465857282804,161.8,136.0,200.0
113,Donovan Peoples-Jones,WR,23,0.15012490110959942,0.15012490110959942,143.7,100.0,180.0
114,Jake Kumerow,WR,30,0.14910523409112103,0.14910523409112103,,,
115,Chris Conley,WR,30,0.1478517571221853,0.1478517571221853,,,
116,Breshad Perriman,WR,29,0.14698327502163377,0.14698327502163377,,,
117,Rondale Moore,WR,22,0.1452995744377027,0.1452995744377027,113.6,88.0,147.0
118,Velus Jones Jr.,WR,25,0.14291010594041786,0.14291010594041786,,,
119,DeAndre Carter,WR,29,0.14231145286896174,0.14231145286896174,,,
120,Jeff Smith,WR,25,0.1419888525399597,0.1419888525399597,,,
121,Kenny Golladay,WR,29,0.14134786390991466,0.14134786390991466,,,
122,Marquez Callaway,WR,24,0.14083093854830675,0.14083093854830675,,,
123,Isaiah McKenzie,WR,27,0.1391011101602359,0.1391011101602359,,,
124,Kadarius Toney,WR,23,0.13894983750976242,0.13894983750976242,88.9,45.0,127.0
125,Jalen Reagor,WR,23,0.13846943602171413,0.13846943602171413,,,
126,Trenton Irwin,WR,27,0.13838774384511554,0.13838774384511554,,,
127,Tom Kennedy,WR,26,0.13807773820404473,0.13807773820404473,,,
128,KhaDarel Hodge,WR,27,0.13456720307269515,0.13456720307269515,,,
129,Russell Gage,WR,26,0.13445502165306755,0.13445502165306755,,,
130,Isaiah Hodgins,WR,24,0.133214364688799,0.133214364688799,,,
131,Richie James,WR,27,0.13109831508003872,0.13109831508003872,,,
132,Devin Duvernay,WR,25,0.12808633968322125,0.12808633968322125,,,
133,Steven Sims,WR,25,0.12806022538845774,0.12806022538845774,,,
134,Jalen Nailor,WR,23,0.1259313488780348,0.1259313488780348,,,
135,Braxton Berrios,WR,27,0.1247496636413032,0.1247496636413032,,,
136,Mike Thomas,WR,28,0.12305688145888703,0.12305688145888703,,,
137,Trent Taylor,WR,28,0.12079811718382862,0.12079811718382862,,,
138,Greg Dortch,WR,24,0.11903446305861105,0.11903446305861105,,,
139,Ashton Dulin,WR,25,0.11850252100698223,0.11850252100698223,,,
140,Dan Arnold,WR,27,0.1176700413652172,0.1176700413652172,,,
141,Jamison Crowder,WR,29,0.11381150172346306,0.11381150172346306,,,
142,Romeo Doubs,WR,22,0.109564806408058,0.109564806408058,140.7,95.0,180.0
143,Terrace Marshall Jr.,WR,22,0.10882079004709104,0.10882079004709104,,,
144,Cedrick Wilson Jr.,WR,27,0.10527779529297392,0.10527779529297392,,,
145,Kendall Hinton,WR,25,0.10447469675605896,0.10447469675605896,,,
146,Ben Skowronek,WR,25,0.10374363027382984,0.10374363027382984,,,
147,Shi Smith,WR,24,0.10335706817644029,0.10335706817644029,,,
148,Samori Toure,WR,24,0.10250123622997186,0.10250123622997186,,,
149,Jamal Agnew,WR,27,0.09762968841971355,0.09762968841971355,,,
150,Gunner Olszewski,WR,26,0.09705580892638925,0.09705580892638925,,,
151,Scott Miller,WR,25,0.09582243519289531,0.09582243519289531,,,
152,Tyquan Thornton,WR,22,0.09349150173621683,0.09349150173621683,,,
153,Cam Sims,WR,26,0.09029831814739205,0.09029831814739205,,,
154,Racey McMath,WR,23,0.08968496809672523,0.08968496809672523,,,
155,Cody Hollister,WR,29,0.08658252697941175,0.08658252697941175,,,
156,Marcus Johnson,WR,28,0.08355462299643941,0.08355462299643941,,,
157,Jameson Williams,WR,21,0.08327117307077748,0.08327117307077748,126.0,88.0,177.0
158,Michael Bandy,WR,25,0.0828818818659856,0.0828818818659856,,,
159,Skyy Moore,WR,22,0.08254778830660563,0.08254778830660563,114.8,85.0,156.0
160,Laquon Treadwell,WR,27,0.08077855796268786,0.08077855796268786,,,
161,Khalil Shakir,WR,22,0.07902635917796723,0.07902635917796723,,,
162,River Cracraft,WR,28,0.07346598373856077,0.07346598373856077,,,
163,David Sills,WR,26,0.06965870550215571,0.06965870550215571,,,
164,Brandon Powell,WR,27,0.06535282703606125,0.06535282703606125,,,
165,David Bell,WR,22,0.064426734305586,0.064426734305586,,,
166,Mike Strachan,WR,25,0.06012116509403438,0.06012116509403438,,,
167,Wan'Dale Robinson,WR,21,0.059225519161828236,0.059225519161828236,153.7,114.0,180.0
168,Keke Coutee,WR,25,0.05837053804350924,0.05837053804350924,,,
