,Player,Position,Year,Age,Receiving_Ctch%,Receiving_Lng,Receiving_Y/Tgt,Ht,Wt,40yd,Shuttle
5500,Justin Jefferson,WR,2022,23,0.7,64.0,9.8,6.083333333,202.0,4.43,0.0
5511,A.J. Brown,WR,2022,25,0.61,78.0,10.3,6.0,226.0,4.49,0.0
5527,Amari Cooper,WR,2022,28,0.59,55.0,8.8,6.083333333,211.0,4.42,3.98
5528,Ja'Marr Chase,WR,2022,22,0.65,60.0,7.8,6.0,201.0,4.34,3.99
5536,Terry McLaurin,WR,2022,27,0.64,52.0,9.9,6.0,208.0,4.35,4.15
5537,Brandon Aiyuk,WR,2022,24,0.68,54.0,8.9,6.0,205.0,4.5,0.0
5542,Mike Evans,WR,2022,29,0.61,63.0,8.9,6.416666667,231.0,4.53,4.26
5545,Tee Higgins,WR,2022,23,0.68,59.0,9.4,6.333333333,216.0,0.0,0.0
5559,D.J. Moore,WR,2022,25,0.53,62.0,7.5,6.0,210.0,4.42,4.07
5562,Zay Jones,WR,2022,27,0.68,59.0,6.8,6.166666667,201.0,4.45,4.01
5568,JuJu Smith-Schuster,WR,2022,26,0.77,53.0,9.2,6.083333333,215.0,4.54,0.0
5577,Mike Williams,WR,2022,28,0.68,55.0,9.6,6.333333333,218.0,0.0,0.0
5585,Deebo Samuel,WR,2022,26,0.6,57.0,6.7,5.916666667,214.0,4.48,4.14
5594,Christian Watson,WR,2022,23,0.62,63.0,9.3,6.333333333,208.0,4.36,0.0
5598,Courtland Sutton,WR,2022,27,0.59,51.0,7.6,6.25,218.0,4.54,4.11
5605,Mack Hollins,WR,2022,29,0.61,60.0,7.3,6.333333333,221.0,4.53,0.0
5635,Marquez Valdes-Scantling,WR,2022,28,0.52,57.0,8.5,6.333333333,206.0,4.37,0.0
5647,Chris Moore,WR,2022,29,0.65,52.0,7.4,6.083333333,206.0,4.53,4.2
5678,Nico Collins,WR,2022,23,0.56,58.0,7.3,6.333333333,215.0,4.43,4.29
5679,Treylon Burks,WR,2022,22,0.61,51.0,8.2,6.166666667,225.0,4.55,0.0
5723,Laviska Shenault Jr.,WR,2022,24,0.84,67.0,8.5,6.083333333,227.0,4.58,0.0
5732,Equanimeous St. Brown,WR,2022,26,0.55,56.0,8.5,6.416666667,214.0,4.48,0.0
