Rank,Player,Team,
1,Mark Andrews,BAL, 
2,Travis Kelce,KC, 
3,Kyle Pitts,ATL, 
4,Darren Waller,LV, 
5,George Kittle,SF, 
6,Dalton Schultz,DAL, 
7,T.J. Hockenson,DET, 
8,Dallas Goedert,PHI, 
9,Zach Ertz,ARI,
10,Pat Freiermuth,PIT, 
11,Cole Kmet,CHI, 
12,Dawson Knox,BUF, 
13,Hunter Henry,NE, 
14,Mike Gesicki,MIA, 
15,Noah Fant,SEA,
16,Irv Smith Jr.,MIN,
17,David Njoku,CLE,
18,Tyler Higbee,LAR,
19,Evan Engram,JAC,
20,Austin Hooper,TEN, 
21,Hayden Hurst,CIN,
22,Albert Okwuegbunam,DEN, 
23,Gerald Everett,LAC, 
24,Robert Tonyan,GB,
25,Logan Thomas,WAS, 
26,Isaiah Likely,BAL,
27,Mo Alie-Cox,IND, 
28,Brevin Jordan,HOU, 
29,Tyler Conklin,NYJ, 
30,Tommy Tremble,CAR, 
31,Taysom Hill,NO,
32,Kyle Rudolph,TB, 
33,Cameron Brate,TB, 
34,Jonnu Smith,NE, 
35,C.J. Uzomah,NYJ
