,Player,Position,ADP_Ranking,Round
15,Justin Jefferson,WR,1,1.0
8,Christian McCaffrey,RB,2,1.0
18,Ja'Marr Chase,WR,3,1.0
7,Austin Ekeler,RB,4,1.0
33,Travis Kelce,TE,5,1.0
16,A.J. Brown,WR,13,2.0
10,Derrick Henry,RB,18,2.0
9,Josh Jacobs,RB,20,2.0
0,Patrick Mahomes,QB,23,3.0
35,Mark Andrews,TE,25,3.0
22,Tee Higgins,WR,27,3.0
1,Josh Allen,QB,30,3.0
12,Travis Etienne,RB,32,4.0
27,Deebo Samuel,WR,36,4.0
11,Aaron Jones,RB,37,4.0
17,Amari Cooper,WR,38,4.0
34,T.J. Hockenson,TE,40,4.0
23,D.J. Moore,WR,44,5.0
19,Terry McLaurin,WR,48,5.0
13,David Montgomery,RB,61,7.0
21,Mike Evans,WR,64,7.0
20,Brandon Aiyuk,WR,66,7.0
26,Mike Williams,WR,68,7.0
37,Dallas Goedert,TE,73,8.0
28,Christian Watson,WR,76,8.0
32,Treylon Burks,WR,84,9.0
29,Courtland Sutton,WR,85,9.0
36,Pat Freiermuth,TE,90,9.0
25,JuJu Smith-Schuster,WR,92,10.0
3,Tua Tagovailoa,QB,100,10.0
14,Tyler Allgeier,RB,114,12.0
31,Nico Collins,WR,124,13.0
2,Jared Goff,QB,136,14.0
24,Zay Jones,WR,139,14.0
5,Brock Purdy,QB,177,18.0
39,Mike Gesicki,TE,184,19.0
6,Jordan Love,QB,201,21.0
30,Marquez Valdes-Scantling,WR,202,21.0
4,Jimmy Garoppolo,QB,204,21.0
38,Hunter Henry,TE,205,21.0
