,Player,Year,Age,Position,Rushing_Y/A_y,40yd,Wt,Vertical,Bench,3Cone,Shuttle,Receiving_Y/Tgt,Receiving_Ctch%,Pts_Per_Start
5,Christian McCaffrey,2022,26.0,RB,4.7,4.48,202.0,37.5,10.0,6.57,4.22,6.9,0.787,22.275
9,Josh Jacobs,2022,24.0,RB,4.9,0.0,220.0,0.0,0.0,0.0,0.0,6.3,0.828,19.311764705882354
13,Derrick Henry,2022,28.0,RB,4.4,4.54,247.0,37.0,22.0,7.2,4.38,9.7,0.805,18.925
21,Saquon Barkley,2022,25.0,RB,4.4,4.4,233.0,41.0,29.0,0.0,4.24,4.4,0.75,17.75
22,Nick Chubb,2022,27.0,RB,5.0,4.52,227.0,38.5,29.0,7.09,4.25,6.5,0.73,16.552941176470586
30,Aaron Jones,2022,28.0,RB,5.3,4.56,208.0,37.5,16.0,6.82,4.2,5.5,0.819,14.623529411764705
36,Dalvin Cook,2022,27.0,RB,4.4,4.49,210.0,30.5,22.0,7.27,4.53,5.3,0.696,13.988235294117647
51,Miles Sanders,2022,25.0,RB,4.9,4.49,211.0,36.0,20.0,6.89,4.19,3.0,0.769,14.446666666666665
55,Alvin Kamara,2022,27.0,RB,4.0,4.56,214.0,39.5,15.0,0.0,0.0,6.4,0.74,16.284615384615385
56,Travis Etienne,2022,23.0,RB,5.1,4.45,215.0,33.5,18.0,0.0,0.0,7.0,0.778,17.091666666666665
62,James Conner,2022,27.0,RB,4.3,4.65,233.0,29.0,20.0,0.0,0.0,5.2,0.793,15.399999999999999
71,Ezekiel Elliott,2022,27.0,RB,3.8,4.47,225.0,32.5,0.0,0.0,0.0,4.0,0.739,13.271428571428572
78,Devin Singletary,2022,25.0,RB,4.6,4.66,203.0,35.0,15.0,7.32,4.4,5.4,0.731,11.11875
79,David Montgomery,2022,25.0,RB,4.0,4.63,222.0,28.5,15.0,0.0,0.0,7.9,0.85,11.10625
95,Dameon Pierce,2022,22.0,RB,4.3,4.59,218.0,34.5,21.0,0.0,0.0,4.2,0.769,12.8
107,Cordarrelle Patterson,2022,31.0,RB,4.8,4.42,216.0,37.0,0.0,0.0,0.0,3.9,0.677,14.063636363636363
116,Jonathan Taylor,2022,23.0,RB,4.5,4.39,226.0,36.0,17.0,7.01,4.24,3.6,0.7,13.30909090909091
128,Isiah Pacheco,2022,23.0,RB,4.9,4.37,216.0,33.0,0.0,0.0,0.0,9.3,0.929,12.272727272727273
136,Michael Carter,2022,23.0,RB,3.5,4.5,201.0,34.0,16.0,6.81,3.98,5.3,0.759,12.6
575,Ezekiel Elliott,2021,26.0,RB,4.2,4.47,225.0,32.5,0.0,0.0,0.0,4.4,72.3,14.829411764705881
577,Nick Chubb,2021,26.0,RB,5.5,4.52,227.0,38.5,29.0,7.09,4.25,7.0,80,15.37857142857143
581,Damien Harris,2021,24.0,RB,4.6,4.57,216.0,37.0,16.0,0.0,0.0,6.3,85.7,14.006666666666666
585,Alvin Kamara,2021,26.0,RB,3.7,4.56,214.0,39.5,15.0,0.0,0.0,6.6,70.1,23.47
587,Leonard Fournette,2021,26.0,RB,4.5,4.51,240.0,28.5,0.0,0.0,0.0,5.4,82.1,19.661538461538463
