,Model Name,Position,Mean Square Error,R2 Score
24,MLPRegressor,QB,6795.250892446464,0.5327353051874213
16,RandomForestRegressor,QB,7207.140445770627,0.5044123706149182
12,BayesianRidge,QB,7223.264580329044,0.5033036199693856
8,Lasso,QB,7460.465477767586,0.48699287490563914
4,Ridge,QB,7548.811005311653,0.4809179342420321
0,LinearRegression,QB,7851.290778958399,0.46011839036100566
20,KNeighborsRegressor,QB,8180.639016867471,0.4374712789725639
25,MLPRegressor,RB,3959.6893300414804,0.3927011175677805
1,LinearRegression,RB,3990.4590891719536,0.3879819492757445
5,Ridge,RB,3990.500679623555,0.38797557053421405
9,Lasso,RB,4018.426906529215,0.3836925157345138
17,RandomForestRegressor,RB,4043.779452940937,0.37980418717655384
13,BayesianRidge,RB,4049.1064107890666,0.3789871898622976
21,KNeighborsRegressor,RB,5428.604009523809,0.16741317983238369
27,MLPRegressor,TE,1975.880868696898,0.4659262688174143
15,BayesianRidge,TE,1994.450103569444,0.46090706917299085
3,LinearRegression,TE,2077.8468082855356,0.43836522975256575
7,Ridge,TE,2077.9786446896546,0.43832959483075995
11,Lasso,TE,2093.8978798126604,0.4340266809079568
19,RandomForestRegressor,TE,2365.88071924569,0.3605106647478169
23,KNeighborsRegressor,TE,2561.9092237288137,0.30752484132796165
18,RandomForestRegressor,WR,4116.127288357585,0.42566050240652764
26,MLPRegressor,WR,4173.159715614347,0.4177025425762194
14,BayesianRidge,WR,4371.087476327855,0.39008490038873567
10,Lasso,WR,4397.600465165818,0.38638543834052175
6,Ridge,WR,4408.347923019605,0.38488580309804254
2,LinearRegression,WR,4408.414551697701,0.38487650613543134
22,KNeighborsRegressor,WR,5143.140932158591,0.28235723239573196
