,Model Name,Position,Mean Square Error,R2 Score
16,RandomForestRegressor,QB,1938.734791596423,0.8326883992161271
24,MLPRegressor,QB,2439.6081563582484,0.7894633408886288
12,BayesianRidge,QB,2693.202344269995,0.7675783209710448
8,Lasso,QB,2707.761675284521,0.7663218598042358
4,Ridge,QB,2903.3307958055793,0.749444366936153
20,KNeighborsRegressor,QB,2962.8922405063295,0.7443042514850465
0,LinearRegression,QB,2971.572634112576,0.7435551389421704
17,RandomForestRegressor,RB,821.1057419101658,0.7952199840977217
25,MLPRegressor,RB,992.7698366624109,0.7524077441401293
1,LinearRegression,RB,1155.6892121878727,0.7117763971551712
5,Ridge,RB,1156.0617162743436,0.7116834963400172
13,BayesianRidge,RB,1162.8094564217197,0.7100006408146501
9,Lasso,RB,1171.0858286714029,0.7079365514356616
21,KNeighborsRegressor,RB,1246.4192576832152,0.6891487388512261
15,BayesianRidge,TE,665.0224360104681,0.7608556025462878
7,Ridge,TE,670.4587824385812,0.7589006733281098
3,LinearRegression,TE,671.7063057900248,0.7584520595610613
11,Lasso,TE,687.7608699386984,0.7526787820566975
27,MLPRegressor,TE,689.7109773581149,0.7519775165977693
19,RandomForestRegressor,TE,864.8774318671584,0.6889870459770023
23,KNeighborsRegressor,TE,874.2859852398524,0.6856036972275648
26,MLPRegressor,WR,1218.707353459157,0.7413481131090234
18,RandomForestRegressor,WR,1273.502059485284,0.7297187797296305
6,Ridge,WR,1449.6360593578486,0.6923370479435831
2,LinearRegression,WR,1449.933688480158,0.6922738807411692
14,BayesianRidge,WR,1452.9697802781154,0.6916295169650035
10,Lasso,WR,1457.3485274351424,0.6907001952446014
22,KNeighborsRegressor,WR,1628.8915696027632,0.6542928236030545
