,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Josh Allen,QB,26.0,2022,337.1086845557668,103.5,233.60868455576679
2,Justin Herbert,QB,24.0,2022,314.5975821437247,103.5,211.0975821437247
3,Patrick Mahomes,QB,27.0,2022,305.97462157868284,103.5,202.47462157868284
8,Russell Wilson,QB,34.0,2022,299.6892895433778,103.5,196.1892895433778
5,Kyler Murray,QB,25.0,2022,274.4587466640003,103.5,170.95874666400027
7,Aaron Rodgers,QB,39.0,2022,274.0981813423527,103.5,170.5981813423527
16,Kirk Cousins,QB,34.0,2022,265.2374497741491,103.5,161.73744977414913
17,Ryan Tannehill,QB,34.0,2022,265.2374497741491,103.5,161.73744977414913
12,Tom Brady,QB,45.0,2022,252.92645831011953,103.5,149.42645831011953
22,Matt Ryan,QB,37.0,2022,239.4854158446096,103.5,135.9854158446096
11,Dak Prescott,QB,29.0,2022,235.4809708184344,103.5,131.9809708184344
18,Kirk Cousins,QB,34.0,2022,231.72671984618535,103.5,128.22671984618535
19,Ryan Tannehill,QB,34.0,2022,231.72671984618535,103.5,128.22671984618535
14,Derek Carr,QB,31.0,2022,231.4600111915445,103.5,127.96001119154451
27,Carson Wentz,QB,30.0,2022,231.26862951156005,103.5,127.76862951156005
4,Joe Burrow,QB,26.0,2022,225.93865948840795,103.5,122.43865948840795
6,Jalen Hurts,QB,24.0,2022,224.35404008634714,103.5,120.85404008634714
9,Matthew Stafford,QB,34.0,2022,204.3782462436293,103.5,100.87824624362929
36,Jared Goff,QB,28.0,2022,203.52946568817296,103.5,100.02946568817296
24,Trevor Lawrence,QB,23.0,2022,202.47741526934053,103.5,98.97741526934053
30,Baker Mayfield,QB,27.0,2022,192.13019667252536,103.5,88.63019667252536
29,Mac Jones,QB,24.0,2022,184.14119512682407,103.5,80.64119512682407
35,Daniel Jones,QB,25.0,2022,182.10367862514755,103.5,78.60367862514755
32,Zach Wilson,QB,23.0,2022,144.14616490140713,103.5,40.64616490140713
25,Jameis Winston,QB,28.0,2022,136.54543106459977,103.5,33.04543106459977
34,Davis Mills,QB,24.0,2022,125.8945151461918,103.5,22.394515146191793
23,Justin Fields,QB,23.0,2022,124.14719498656933,103.5,20.647194986569332
21,Tua Tagovailoa,QB,24.0,2022,120.80378400057691,103.5,17.30378400057691
15,Trey Lance,QB,22.0,2022,89.52727916684029,103.5,-13.972720833159713
38,Marcus Mariota,QB,29.0,2022,76.47034621131534,103.5,-27.029653788684655
