,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
16,Russell Wilson,QB,33.0,2021,349.43499999999966,242.8,106.63499999999965
13,Ryan Tannehill,QB,33.0,2021,308.6769999999999,268.4,40.27699999999993
4,Patrick Mahomes,QB,26.0,2021,292.4670000000001,361.7,-69.23299999999989
17,Lamar Jackson,QB,24.0,2021,288.17699999999985,240.0,48.17699999999985
12,Kirk Cousins,QB,33.0,2021,276.4070000000003,300.3,-23.892999999999688
5,Aaron Rodgers,QB,38.0,2021,270.27099999999996,333.3,-63.02900000000005
3,Tom Brady,QB,44.0,2021,262.2330000000001,374.7,-112.46699999999987
15,Derek Carr,QB,30.0,2021,260.7100000000001,257.0,3.7100000000000932
0,Josh Allen,QB,25.0,2021,254.31500000000008,402.6,-148.28499999999994
6,Matthew Stafford,QB,33.0,2021,252.9559999999999,329.7,-76.74400000000009
33,Matt Ryan,QB,36.0,2021,250.1700000000001,222.9,27.270000000000095
38,Baker Mayfield,QB,26.0,2021,250.09900000000005,180.9,69.19900000000004
1,Justin Herbert,QB,23.0,2021,247.69199999999984,380.8,-133.10800000000017
7,Dak Prescott,QB,28.0,2021,247.58399999999997,320.6,-73.01600000000005
37,Jared Goff,QB,27.0,2021,236.61100000000013,194.5,42.11100000000013
10,Kyler Murray,QB,24.0,2021,210.63899999999998,300.5,-89.86100000000002
14,Carson Wentz,QB,29.0,2021,208.01200000000006,258.0,-49.98799999999994
110,Ryan Fitzpatrick,QB,39.0,2021,198.51500000000019,0.7,197.8150000000002
41,Daniel Jones,QB,24.0,2021,193.60499999999996,167.5,26.10499999999996
80,Gardner Minshew II,QB,25.0,2021,168.1830000000001,33.7,134.48300000000012
44,Jameis Winston,QB,27.0,2021,161.08199999999997,117.4,43.68199999999996
35,Ben Roethlisberger,QB,39.0,2021,148.12999999999997,218.1,-69.97000000000003
103,Mitchell Trubisky,QB,27.0,2021,144.41299999999995,8.1,136.31299999999996
9,Jalen Hurts,QB,23.0,2021,141.13628888888894,312.2,-171.06371111111105
42,Sam Darnold,QB,24.0,2021,135.71995238095238,157.3,-21.580047619047633
46,Cam Newton,QB,32.0,2021,132.52899999999994,86.4,46.128999999999934
8,Joe Burrow,QB,25.0,2021,127.05599999999997,314.2,-187.144
40,Tua Tagovailoa,QB,23.0,2021,121.08366984126985,180.9,-59.81633015873015
43,Taysom Hill,QB,31.0,2021,113.79700000000003,121.7,-7.902999999999977
18,Jimmy Garoppolo,QB,30.0,2021,108.49599999999998,227.5,-119.00400000000002
105,C.J. Beathard,QB,28.0,2021,107.59599999999996,1.5,106.09599999999996
47,Andy Dalton,QB,34.0,2021,105.05899999999994,84.2,20.858999999999938
100,Kyle Allen,QB,25.0,2021,96.42600000000004,7.9,88.52600000000004
90,Mason Rudolph,QB,26.0,2021,94.28500000000003,18.4,75.88500000000002
93,Marcus Mariota,QB,28.0,2021,84.37700000000004,14.9,69.47700000000003
36,Teddy Bridgewater,QB,29.0,2021,79.14100000000003,202.7,-123.55899999999995
104,Chad Henne,QB,36.0,2021,73.3655,3.3,70.0655
114,Josh Rosen,QB,24.0,2021,71.28627380952379,-3.2,74.4862738095238
49,Jacoby Brissett,QB,29.0,2021,71.04875000000003,72.3,-1.2512499999999704
92,Nick Foles,QB,32.0,2021,68.55624999999996,16.8,51.756249999999966
52,Drew Lock,QB,25.0,2021,68.10900000000005,51.9,16.209000000000053
98,Nick Mullens,QB,26.0,2021,67.80725000000004,9.9,57.90725000000004
113,Brett Rypien,QB,25.0,2021,65.24366666666668,0.0,65.24366666666668
53,Josh Johnson,QB,35.0,2021,48.81300000000003,46.3,2.5130000000000337
88,Joe Flacco,QB,36.0,2021,43.60300000000003,23.8,19.80300000000003
83,Case Keenum,QB,33.0,2021,40.84900000000001,28.7,12.149000000000012
82,Mike Glennon,QB,32.0,2021,40.36299999999997,30.9,9.462999999999973
95,P.J. Walker,QB,26.0,2021,36.0665,13.8,22.266499999999997
59,John Wolford,QB,26.0,2021,35.19889999999999,2.0,33.19889999999999
111,Chase Daniel,QB,35.0,2021,31.93899999999998,-0.2,32.13899999999998
94,Brandon Allen,QB,29.0,2021,30.527999999999974,13.9,16.62799999999997
101,Garrett Gilbert,QB,30.0,2021,30.492999999999984,7.8,22.692999999999984
48,Tyrod Taylor,QB,32.0,2021,29.076000000000004,81.7,-52.623999999999995
106,Blaine Gabbert,QB,32.0,2021,25.339999999999996,2.0,23.339999999999996
34,Taylor Heinicke,QB,28.0,2021,22.488999999999997,222.9,-200.411
75,John Wolford,QB,26.0,2021,21.316999999999986,-1.9,23.216999999999985
71,John Wolford,QB,26.0,2021,20.019385930735936,-0.6,20.619385930735938
107,David Blough,QB,26.0,2021,19.705999999999996,0.6,19.105999999999995
96,Sean Mannion,QB,29.0,2021,17.76099999999999,13.0,4.760999999999989
79,Colt McCoy,QB,35.0,2021,15.450000000000006,41.3,-25.84999999999999
97,Brian Hoyer,QB,36.0,2021,14.460000000000003,12.3,2.160000000000002
55,John Wolford,QB,26.0,2021,9.367893456543461,44.0,-34.63210654345654
67,John Wolford,QB,26.0,2021,9.367893456543461,-0.3,9.667893456543462
63,John Wolford,QB,26.0,2021,9.367893456543461,-0.1,9.467893456543461
112,Nathan Peterman,QB,27.0,2021,9.077000000000004,0.2,8.877000000000004
