,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
3,Patrick Mahomes,QB,26,2021,389.46630124876356,361.7,27.76630124876357
9,Kyler Murray,QB,24,2021,378.0054440651943,300.5,77.5054440651943
0,Josh Allen,QB,25,2021,375.7940151773978,402.6,-26.805984822602227
1,Justin Herbert,QB,23,2021,364.69315594627597,380.8,-16.106844053724046
11,Kirk Cousins,QB,33,2021,327.10163537347444,300.3,26.801635373474426
10,Kirk Cousins,QB,33,2021,327.10163537347444,300.3,26.801635373474426
4,Aaron Rodgers,QB,38,2021,322.3413703811293,333.3,-10.958629618870702
22,Matt Ryan,QB,36,2021,281.77932112334247,222.9,58.879321123342464
23,Matt Ryan,QB,36,2021,276.8637726856505,222.9,53.96377268565047
2,Tom Brady,QB,44,2021,272.96157379806846,374.7,-101.73842620193153
15,Russell Wilson,QB,33,2021,268.20911454439874,242.8,25.409114544398733
13,Carson Wentz,QB,29,2021,261.7619793088852,258.0,3.761979308885202
8,Jalen Hurts,QB,23,2021,248.73660202912697,312.2,-63.46339797087302
19,Lamar Jackson,QB,24,2021,242.66911789195046,240.0,2.6691178919504637
18,Lamar Jackson,QB,24,2021,240.94492022960867,240.0,0.9449202296086696
29,Jared Goff,QB,27,2021,239.7985049276458,194.5,45.29850492764581
6,Dak Prescott,QB,28,2021,239.03894223886527,320.6,-81.56105776113475
17,Lamar Jackson,QB,24,2021,237.0290222690369,240.0,-2.9709777309631136
12,Ryan Tannehill,QB,33,2021,226.02884935567135,268.4,-42.37115064432862
5,Matthew Stafford,QB,33,2021,224.7052067191812,329.7,-104.99479328081878
14,Derek Carr,QB,30,2021,223.84639074237975,257.0,-33.153609257620246
16,Lamar Jackson,QB,24,2021,223.09986572335083,240.0,-16.90013427664917
34,Daniel Jones,QB,24,2021,213.34595068371937,167.5,45.845950683719366
24,Taylor Heinicke,QB,28,2021,212.51983527965103,222.9,-10.380164720348972
25,Taylor Heinicke,QB,28,2021,207.60428684195904,222.9,-15.295713158040968
40,Jameis Winston,QB,27,2021,205.43869765300542,117.4,88.03869765300541
7,Joe Burrow,QB,25,2021,204.98682897796925,314.2,-109.21317102203074
39,Taysom Hill,QB,31,2021,191.63566639239616,121.7,69.93566639239616
35,Sam Darnold,QB,24,2021,170.16896696249478,157.3,12.868966962494767
30,Baker Mayfield,QB,26,2021,167.04609812722765,180.9,-13.853901872772354
42,Cam Newton,QB,32,2021,165.3059460850145,86.4,78.9059460850145
31,Baker Mayfield,QB,26,2021,157.37992073403166,180.9,-23.52007926596835
27,Teddy Bridgewater,QB,29,2021,154.1512248076142,202.7,-48.54877519238579
37,Zach Wilson,QB,22,2021,149.2080249466394,151.9,-2.6919750533606077
28,Trevor Lawrence,QB,22,2021,148.76357862277382,199.0,-50.23642137722618
26,Ben Roethlisberger,QB,39,2021,148.57414585035895,218.1,-69.52585414964105
47,Trey Lance,QB,21,2021,142.74374191709194,64.9,77.84374191709193
20,Jimmy Garoppolo,QB,30,2021,134.6095131346815,227.5,-92.89048686531851
21,Mac Jones,QB,23,2021,129.43054736821114,224.9,-95.46945263178887
59,Joe Flacco,QB,36,2021,127.10549473690253,23.8,103.30549473690253
32,Tua Tagovailoa,QB,23,2021,126.57099534472172,180.9,-54.32900465527828
33,Tua Tagovailoa,QB,23,2021,116.90481795152527,180.9,-63.99518204847473
60,Cooper Rush,QB,28,2021,105.63804308782619,24.1,81.5380430878262
55,Gardner Minshew II,QB,25,2021,103.56511084151862,33.7,69.86511084151861
43,Andy Dalton,QB,34,2021,102.36476260333347,84.2,18.16476260333347
54,Gardner Minshew II,QB,25,2021,99.02913081102906,33.7,65.32913081102906
45,Tyrod Taylor,QB,32,2021,89.43476923057324,81.7,7.734769230573235
36,Davis Mills,QB,23,2021,87.07194126405102,157.0,-69.92805873594898
48,Geno Smith,QB,31,2021,85.19476358046904,54.3,30.894763580469046
38,Justin Fields,QB,22,2021,78.28139473304418,126.8,-48.51860526695582
62,Jordan Love,QB,23,2021,64.32126299590163,21.1,43.22126299590163
50,Josh Johnson,QB,35,2021,60.86264272741164,46.3,14.562642727411642
41,Trevor Siemian,QB,30,2021,58.24707228281659,90.2,-31.952927717183414
49,Drew Lock,QB,25,2021,56.30126308797162,51.9,4.401263087971621
64,Mason Rudolph,QB,26,2021,46.803554221842205,18.4,28.403554221842207
63,Mason Rudolph,QB,26,2021,46.803554221842205,18.4,28.403554221842207
61,Jordan Love,QB,23,2021,43.30472984370863,21.1,22.204729843708627
52,Colt McCoy,QB,35,2021,41.75336009635885,41.3,0.4533600963588498
57,Case Keenum,QB,33,2021,40.78441402190401,28.7,12.084414021904013
53,Colt McCoy,QB,35,2021,33.996714818758846,41.3,-7.303285181241151
56,Mike Glennon,QB,32,2021,33.054942482043316,30.9,2.1549424820433174
46,Jacoby Brissett,QB,29,2021,32.729837263103036,72.3,-39.57016273689696
71,Jake Fromm,QB,23,2021,31.018301882510514,10.9,20.118301882510515
72,Nick Mullens,QB,26,2021,9.418942402508492,9.9,-0.48105759749150856
73,Nick Mullens,QB,26,2021,9.418942402508492,9.9,-0.48105759749150856
58,Tim Boyle,QB,27,2021,6.766710318556761,24.3,-17.53328968144324
65,Nick Foles,QB,32,2021,1.3497213113851103,16.8,-15.45027868861489
51,Mike White,QB,26,2021,-1.0155908668753,44.0,-45.0155908668753
44,Tyler Huntley,QB,23,2021,-6.947445977451025,82.6,-89.54744597745102
66,Brandon Allen,QB,29,2021,-18.18961063020697,13.9,-32.08961063020697
67,Brandon Allen,QB,29,2021,-22.128612801371673,13.9,-36.02861280137167
70,Sean Mannion,QB,29,2021,-23.6815328889993,13.0,-36.6815328889993
69,P.J. Walker,QB,26,2021,-65.6831338613124,13.8,-79.4831338613124
68,P.J. Walker,QB,26,2021,-68.75935386069386,13.8,-82.55935386069386
