,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
19,Lamar Jackson,QB,24,2021,378.65999999999997,240.0,138.65999999999997
18,Lamar Jackson,QB,24,2021,378.65999999999997,240.0,138.65999999999997
16,Lamar Jackson,QB,24,2021,377.49999999999994,240.0,137.49999999999994
17,Lamar Jackson,QB,24,2021,377.49999999999994,240.0,137.49999999999994
3,Patrick Mahomes,QB,26,2021,357.86,361.7,-3.839999999999975
1,Justin Herbert,QB,23,2021,357.85999999999996,380.8,-22.940000000000055
0,Josh Allen,QB,25,2021,346.54,402.6,-56.06
9,Kyler Murray,QB,24,2021,343.71999999999997,300.5,43.21999999999997
15,Russell Wilson,QB,33,2021,338.52,242.8,95.71999999999997
4,Aaron Rodgers,QB,38,2021,336.84000000000003,333.3,3.5400000000000205
2,Tom Brady,QB,44,2021,328.48,374.7,-46.21999999999997
12,Ryan Tannehill,QB,33,2021,304.15999999999997,268.4,35.75999999999999
10,Kirk Cousins,QB,33,2021,290.32,300.3,-9.980000000000018
11,Kirk Cousins,QB,33,2021,290.32,300.3,-9.980000000000018
7,Joe Burrow,QB,25,2021,266.14,314.2,-48.06
5,Matthew Stafford,QB,33,2021,261.88,329.7,-67.82
8,Jalen Hurts,QB,23,2021,253.84000000000006,312.2,-58.35999999999993
14,Derek Carr,QB,30,2021,246.52000000000004,257.0,-10.479999999999961
6,Dak Prescott,QB,28,2021,239.01999999999998,320.6,-81.58000000000004
30,Baker Mayfield,QB,26,2021,236.04000000000002,180.9,55.140000000000015
13,Carson Wentz,QB,29,2021,233.03999999999996,258.0,-24.960000000000036
22,Matt Ryan,QB,36,2021,232.8,222.9,9.900000000000006
23,Matt Ryan,QB,36,2021,232.8,222.9,9.900000000000006
21,Mac Jones,QB,23,2021,231.74,224.9,6.840000000000003
31,Baker Mayfield,QB,26,2021,226.92,180.9,46.01999999999998
29,Jared Goff,QB,27,2021,226.06000000000003,194.5,31.56000000000003
34,Daniel Jones,QB,24,2021,185.98,167.5,18.47999999999999
28,Trevor Lawrence,QB,22,2021,183.62,199.0,-15.379999999999995
32,Tua Tagovailoa,QB,23,2021,155.9,180.9,-25.0
33,Tua Tagovailoa,QB,23,2021,155.9,180.9,-25.0
35,Sam Darnold,QB,24,2021,155.32,157.3,-1.9800000000000182
36,Davis Mills,QB,23,2021,154.56,157.0,-2.4399999999999977
37,Zach Wilson,QB,22,2021,152.61999999999998,151.9,0.7199999999999704
27,Teddy Bridgewater,QB,29,2021,145.16,202.7,-57.53999999999999
25,Taylor Heinicke,QB,28,2021,135.92,222.9,-86.98000000000002
24,Taylor Heinicke,QB,28,2021,135.92,222.9,-86.98000000000002
20,Jimmy Garoppolo,QB,30,2021,134.64000000000001,227.5,-92.85999999999999
39,Taysom Hill,QB,31,2021,123.3,121.7,1.5999999999999943
43,Andy Dalton,QB,34,2021,116.54,84.2,32.34
40,Jameis Winston,QB,27,2021,110.54,117.4,-6.859999999999999
38,Justin Fields,QB,22,2021,106.33999999999999,126.8,-20.460000000000008
55,Gardner Minshew II,QB,25,2021,106.16,33.7,72.46
54,Gardner Minshew II,QB,25,2021,106.16,33.7,72.46
42,Cam Newton,QB,32,2021,97.2,86.4,10.799999999999997
49,Drew Lock,QB,25,2021,83.4,51.9,31.500000000000007
47,Trey Lance,QB,21,2021,67.16,64.9,2.259999999999991
46,Jacoby Brissett,QB,29,2021,61.80000000000001,72.3,-10.499999999999986
64,Mason Rudolph,QB,26,2021,46.06,18.4,27.660000000000004
63,Mason Rudolph,QB,26,2021,46.06,18.4,27.660000000000004
44,Tyler Huntley,QB,23,2021,45.839999999999996,82.6,-36.76
41,Trevor Siemian,QB,30,2021,38.32,90.2,-51.88
57,Case Keenum,QB,33,2021,38.1,28.7,9.400000000000002
65,Nick Foles,QB,32,2021,37.779999999999994,16.8,20.979999999999993
48,Geno Smith,QB,31,2021,29.3,54.3,-24.999999999999996
51,Mike White,QB,26,2021,28.259999999999998,44.0,-15.740000000000002
52,Colt McCoy,QB,35,2021,26.46,41.3,-14.839999999999996
66,Brandon Allen,QB,29,2021,24.380000000000003,13.9,10.480000000000002
53,Colt McCoy,QB,35,2021,23.360000000000003,41.3,-17.939999999999994
67,Brandon Allen,QB,29,2021,22.6,13.9,8.700000000000001
56,Mike Glennon,QB,32,2021,19.959999999999997,30.9,-10.940000000000001
50,Josh Johnson,QB,35,2021,18.28,46.3,-28.019999999999996
72,Nick Mullens,QB,26,2021,17.84,9.9,7.9399999999999995
73,Nick Mullens,QB,26,2021,17.84,9.9,7.9399999999999995
60,Cooper Rush,QB,28,2021,17.72,24.1,-6.380000000000003
45,Tyrod Taylor,QB,32,2021,17.419999999999998,81.7,-64.28
59,Joe Flacco,QB,36,2021,13.1,23.8,-10.700000000000001
58,Tim Boyle,QB,27,2021,12.02,24.3,-12.280000000000001
68,P.J. Walker,QB,26,2021,11.62,13.8,-2.1800000000000015
61,Jordan Love,QB,23,2021,11.16,21.1,-9.940000000000001
70,Sean Mannion,QB,29,2021,11.16,13.0,-1.8399999999999999
26,Ben Roethlisberger,QB,39,2021,10.0,218.1,-208.1
71,Jake Fromm,QB,23,2021,9.760000000000002,10.9,-1.1399999999999988
69,P.J. Walker,QB,26,2021,5.36,13.8,-8.440000000000001
62,Jordan Love,QB,23,2021,4.9,21.1,-16.200000000000003
