,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
9,Kyler Murray,QB,24,2021,304.51631883909386,300.5,4.016318839093856
3,Patrick Mahomes,QB,26,2021,241.84016134443937,361.7,-119.85983865556062
4,Aaron Rodgers,QB,38,2021,239.15823317366767,333.3,-94.14176682633234
10,Kirk Cousins,QB,33,2021,236.46078789985677,300.3,-63.83921210014324
11,Kirk Cousins,QB,33,2021,236.46078789985677,300.3,-63.83921210014324
2,Tom Brady,QB,44,2021,230.64074247967255,374.7,-144.05925752032744
40,Jameis Winston,QB,27,2021,226.74070817916572,117.4,109.34070817916572
1,Justin Herbert,QB,23,2021,221.00311493741629,380.8,-159.79688506258373
24,Taylor Heinicke,QB,28,2021,214.62555591201453,222.9,-8.274444087985472
25,Taylor Heinicke,QB,28,2021,206.5341406318421,222.9,-16.365859368157913
5,Matthew Stafford,QB,33,2021,201.44312155819307,329.7,-128.25687844180692
0,Josh Allen,QB,25,2021,200.31888943855756,402.6,-202.28111056144246
39,Taysom Hill,QB,31,2021,192.51089135611164,121.7,70.81089135611164
8,Jalen Hurts,QB,23,2021,191.55510830086178,312.2,-120.64489169913821
15,Russell Wilson,QB,33,2021,182.91563883190656,242.8,-59.88436116809345
13,Carson Wentz,QB,29,2021,172.366131563409,258.0,-85.633868436591
48,Geno Smith,QB,31,2021,162.73902243370003,54.3,108.43902243370003
34,Daniel Jones,QB,24,2021,161.2630099221151,167.5,-6.236990077884911
6,Dak Prescott,QB,28,2021,157.24933455889095,320.6,-163.35066544110907
29,Jared Goff,QB,27,2021,156.81976206163927,194.5,-37.68023793836073
59,Joe Flacco,QB,36,2021,152.6886933800788,23.8,128.8886933800788
7,Joe Burrow,QB,25,2021,152.54579521270261,314.2,-161.65420478729737
42,Cam Newton,QB,32,2021,146.15860836258798,86.4,59.75860836258798
12,Ryan Tannehill,QB,33,2021,145.72739080080282,268.4,-122.67260919919715
47,Trey Lance,QB,21,2021,143.5964440538255,64.9,78.6964440538255
32,Tua Tagovailoa,QB,23,2021,137.32488194754114,180.9,-43.57511805245886
19,Lamar Jackson,QB,24,2021,135.84569510762958,240.0,-104.15430489237042
18,Lamar Jackson,QB,24,2021,133.34861316143633,240.0,-106.65138683856367
17,Lamar Jackson,QB,24,2021,130.9133836852152,240.0,-109.0866163147848
37,Zach Wilson,QB,22,2021,124.55846286587166,151.9,-27.341537134128345
22,Matt Ryan,QB,36,2021,123.26803939945876,222.9,-99.63196060054125
33,Tua Tagovailoa,QB,23,2021,120.15937690039846,180.9,-60.74062309960155
20,Jimmy Garoppolo,QB,30,2021,118.17249891740994,227.5,-109.32750108259006
45,Tyrod Taylor,QB,32,2021,117.47270170030515,81.7,35.77270170030515
41,Trevor Siemian,QB,30,2021,115.53879657599373,90.2,25.338796575993726
23,Matt Ryan,QB,36,2021,115.1766241192854,222.9,-107.7233758807146
27,Teddy Bridgewater,QB,29,2021,112.03621720736919,202.7,-90.6637827926308
60,Cooper Rush,QB,28,2021,106.83226805942832,24.1,82.73226805942832
16,Lamar Jackson,QB,24,2021,105.80899778901858,240.0,-134.19100221098142
14,Derek Carr,QB,30,2021,105.19552266846222,257.0,-151.80447733153778
21,Mac Jones,QB,23,2021,104.67874796239266,224.9,-120.22125203760734
35,Sam Darnold,QB,24,2021,95.0284151063679,157.3,-62.27158489363211
26,Ben Roethlisberger,QB,39,2021,89.67344164554561,218.1,-128.4265583544544
30,Baker Mayfield,QB,26,2021,86.27512297554313,180.9,-94.62487702445688
43,Andy Dalton,QB,34,2021,84.35451433905655,84.2,0.1545143390565471
50,Josh Johnson,QB,35,2021,82.64894085426204,46.3,36.34894085426204
55,Gardner Minshew II,QB,25,2021,81.07274250471164,33.7,47.37274250471164
52,Colt McCoy,QB,35,2021,80.05356468321224,41.3,38.75356468321225
54,Gardner Minshew II,QB,25,2021,75.62179694387396,33.7,41.92179694387396
31,Baker Mayfield,QB,26,2021,69.10961792839953,180.9,-111.79038207160048
53,Colt McCoy,QB,35,2021,65.17782106220693,41.3,23.877821062206934
