,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
90,Nathan Peterman,QB,27.0,2021,1435.3846456558913,0.2,1435.1846456558912
92,Nathan Peterman,QB,27.0,2021,1431.4958755313837,0.2,1431.2958755313837
91,Nathan Peterman,QB,27.0,2021,1417.7621276286081,0.2,1417.562127628608
3,Patrick Mahomes,QB,26.0,2021,337.1767322867099,361.7,-24.523267713290068
19,Lamar Jackson,QB,24.0,2021,334.63842681397,240.0,94.63842681397
15,Russell Wilson,QB,33.0,2021,332.3876564827078,242.8,89.58765648270781
17,Lamar Jackson,QB,24.0,2021,326.8640108345153,240.0,86.86401083451528
18,Lamar Jackson,QB,24.0,2021,317.76174783756414,240.0,77.76174783756414
16,Lamar Jackson,QB,24.0,2021,301.26548924743383,240.0,61.265489247433834
10,Kirk Cousins,QB,33.0,2021,275.72663061427374,300.3,-24.573369385726267
11,Kirk Cousins,QB,33.0,2021,275.72663061427374,300.3,-24.573369385726267
9,Kyler Murray,QB,24.0,2021,275.4441915329862,300.5,-25.055808467013776
12,Ryan Tannehill,QB,33.0,2021,258.37991337626863,268.4,-10.020086623731345
4,Aaron Rodgers,QB,38.0,2021,256.7325306081066,333.3,-76.56746939189344
1,Justin Herbert,QB,23.0,2021,239.21750604112003,380.8,-141.58249395887998
65,Mitchell Trubisky,QB,27.0,2021,228.27717731479152,8.1,220.17717731479152
2,Tom Brady,QB,44.0,2021,203.75805920403855,374.7,-170.94194079596144
28,Baker Mayfield,QB,26.0,2021,203.3630341363869,180.9,22.46303413638688
14,Derek Carr,QB,30.0,2021,195.6796323091903,257.0,-61.32036769080969
22,Matt Ryan,QB,36.0,2021,194.05782191384424,222.9,-28.84217808615577
21,Matt Ryan,QB,36.0,2021,193.9640578413091,222.9,-28.935942158690892
29,Baker Mayfield,QB,26.0,2021,182.48809759422056,180.9,1.5880975942205566
0,Josh Allen,QB,25.0,2021,176.3411574888496,402.6,-226.25884251115042
44,Gardner Minshew II,QB,25.0,2021,174.34482359879348,33.7,140.6448235987935
45,Gardner Minshew II,QB,25.0,2021,173.7137536809314,33.7,140.01375368093142
6,Dak Prescott,QB,28.0,2021,172.7532426161506,320.6,-147.84675738384942
32,Daniel Jones,QB,24.0,2021,160.68680489992676,167.5,-6.813195100073244
5,Matthew Stafford,QB,33.0,2021,158.47058770964486,329.7,-171.22941229035513
13,Carson Wentz,QB,29.0,2021,156.7302356653554,258.0,-101.2697643346446
33,Sam Darnold,QB,24.0,2021,154.38598085012472,157.3,-2.914019149875287
27,Jared Goff,QB,27.0,2021,151.61697660004302,194.5,-42.88302339995698
82,Ryan Fitzpatrick,QB,39.0,2021,145.04096126199147,0.7,144.34096126199148
84,Ryan Fitzpatrick,QB,39.0,2021,143.5610848656488,0.7,142.86108486564882
37,Andy Dalton,QB,34.0,2021,129.5355676709505,84.2,45.33556767095051
83,Ryan Fitzpatrick,QB,39.0,2021,117.63375868214735,0.7,116.93375868214734
35,Jameis Winston,QB,27.0,2021,116.46130796123816,117.4,-0.9386920387618432
62,Kyle Allen,QB,25.0,2021,110.67915481592718,7.9,102.77915481592717
25,Ben Roethlisberger,QB,39.0,2021,106.07160343390115,218.1,-112.02839656609885
26,Teddy Bridgewater,QB,29.0,2021,96.5453245797662,202.7,-106.15467542023379
52,Marcus Mariota,QB,28.0,2021,96.33700230435716,14.9,81.43700230435715
60,Kyle Allen,QB,25.0,2021,92.24395952111627,7.9,84.34395952111626
61,Kyle Allen,QB,25.0,2021,89.8380003876664,7.9,81.93800038766639
8,Jalen Hurts,QB,23.0,2021,84.39110854640148,312.2,-227.8088914535985
68,C.J. Beathard,QB,28.0,2021,82.9968423848959,1.5,81.4968423848959
40,Drew Lock,QB,25.0,2021,80.90421790562141,51.9,29.00421790562141
48,Joe Flacco,QB,36.0,2021,80.07057577059277,23.8,56.27057577059277
36,Cam Newton,QB,32.0,2021,79.39189798464486,86.4,-7.008102015355149
47,Case Keenum,QB,33.0,2021,75.71782144819645,28.7,47.01782144819644
20,Jimmy Garoppolo,QB,30.0,2021,72.53169337041072,227.5,-154.96830662958928
39,Jacoby Brissett,QB,29.0,2021,68.08416993138053,72.3,-4.215830068619468
41,Josh Johnson,QB,35.0,2021,63.866829860940925,46.3,17.566829860940928
67,C.J. Beathard,QB,28.0,2021,61.78049065092728,1.5,60.28049065092728
7,Joe Burrow,QB,25.0,2021,56.96513577894075,314.2,-257.23486422105924
34,Taysom Hill,QB,31.0,2021,52.250523558349414,121.7,-69.44947644165059
50,Mason Rudolph,QB,26.0,2021,47.36984271738129,18.4,28.96984271738129
49,Mason Rudolph,QB,26.0,2021,47.36984271738129,18.4,28.96984271738129
66,Chad Henne,QB,36.0,2021,46.004492510497585,3.3,42.70449251049759
53,Brandon Allen,QB,29.0,2021,36.99007221404281,13.9,23.090072214042813
30,Tua Tagovailoa,QB,23.0,2021,35.668100968953695,180.9,-145.2318990310463
58,Nick Mullens,QB,26.0,2021,31.58679936223507,9.9,21.68679936223507
59,Nick Mullens,QB,26.0,2021,31.58679936223507,9.9,21.68679936223507
54,Brandon Allen,QB,29.0,2021,29.566321776822406,13.9,15.666321776822405
46,Mike Glennon,QB,32.0,2021,24.89449438308384,30.9,-6.00550561691616
24,Taylor Heinicke,QB,28.0,2021,22.3193801631287,222.9,-200.5806198368713
87,Chase Daniel,QB,35.0,2021,22.300904939293105,-0.2,22.500904939293104
23,Taylor Heinicke,QB,28.0,2021,22.225616090593576,222.9,-200.67438390940643
51,Nick Foles,QB,32.0,2021,20.40027839998129,16.8,3.6002783999812884
74,Blaine Gabbert,QB,32.0,2021,19.602184112286523,2.0,17.602184112286523
88,Chase Daniel,QB,35.0,2021,18.80965947066761,-0.2,19.00965947066761
73,Blaine Gabbert,QB,32.0,2021,18.161100966325648,2.0,16.161100966325648
70,Blaine Gabbert,QB,32.0,2021,17.417717778605947,2.0,15.417717778605947
31,Tua Tagovailoa,QB,23.0,2021,14.79316442678737,180.9,-166.10683557321263
72,Blaine Gabbert,QB,32.0,2021,10.770727890473609,2.0,8.770727890473609
71,Blaine Gabbert,QB,32.0,2021,5.937189055733143,2.0,3.9371890557331426
89,Chase Daniel,QB,35.0,2021,5.847530042330618,-0.2,6.047530042330618
