,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
4,Aaron Rodgers,QB,38,2021,336.04699999999997,333.3,2.7469999999999573
40,Jameis Winston,QB,27,2021,325.015,117.4,207.61499999999998
1,Justin Herbert,QB,23,2021,317.36599999999993,380.8,-63.43400000000008
9,Kyler Murray,QB,24,2021,315.2800000000001,300.5,14.780000000000086
10,Kirk Cousins,QB,33,2021,301.50899999999996,300.3,1.2089999999999463
11,Kirk Cousins,QB,33,2021,301.50899999999996,300.3,1.2089999999999463
15,Russell Wilson,QB,33,2021,300.91399999999993,242.8,58.11399999999992
0,Josh Allen,QB,25,2021,299.54499999999985,402.6,-103.05500000000018
3,Patrick Mahomes,QB,26,2021,288.669,361.7,-73.031
2,Tom Brady,QB,44,2021,273.69000000000005,374.7,-101.00999999999993
5,Matthew Stafford,QB,33,2021,272.4310000000001,329.7,-57.26899999999989
8,Jalen Hurts,QB,23,2021,254.141,312.2,-58.059
14,Derek Carr,QB,30,2021,246.4039999999999,257.0,-10.596000000000089
13,Carson Wentz,QB,29,2021,241.61200000000008,258.0,-16.38799999999992
7,Joe Burrow,QB,25,2021,238.40599999999998,314.2,-75.79400000000001
24,Taylor Heinicke,QB,28,2021,231.24199999999993,222.9,8.341999999999928
60,Cooper Rush,QB,28,2021,224.3670000000001,24.1,200.2670000000001
6,Dak Prescott,QB,28,2021,221.08899999999997,320.6,-99.51100000000005
25,Taylor Heinicke,QB,28,2021,219.27600000000007,222.9,-3.6239999999999384
21,Mac Jones,QB,23,2021,219.07100000000003,224.9,-5.828999999999979
22,Matt Ryan,QB,36,2021,213.55000000000007,222.9,-9.349999999999937
27,Teddy Bridgewater,QB,29,2021,211.36199999999997,202.7,8.661999999999978
32,Tua Tagovailoa,QB,23,2021,211.04900000000006,180.9,30.149000000000058
33,Tua Tagovailoa,QB,23,2021,210.67400000000006,180.9,29.774000000000058
23,Matt Ryan,QB,36,2021,207.2570000000001,222.9,-15.642999999999915
47,Trey Lance,QB,21,2021,203.987,64.9,139.087
59,Joe Flacco,QB,36,2021,202.33800000000008,23.8,178.53800000000007
34,Daniel Jones,QB,24,2021,188.62200000000004,167.5,21.122000000000043
39,Taysom Hill,QB,31,2021,178.09900000000013,121.7,56.39900000000013
20,Jimmy Garoppolo,QB,30,2021,177.7409999999999,227.5,-49.7590000000001
48,Geno Smith,QB,31,2021,169.74200000000005,54.3,115.44200000000005
18,Lamar Jackson,QB,24,2021,148.74100000000004,240.0,-91.25899999999996
55,Gardner Minshew II,QB,25,2021,146.78099999999998,33.7,113.08099999999997
49,Drew Lock,QB,25,2021,144.89900000000003,51.9,92.99900000000002
30,Baker Mayfield,QB,26,2021,144.17700000000002,180.9,-36.722999999999985
19,Lamar Jackson,QB,24,2021,143.14900000000003,240.0,-96.85099999999997
54,Gardner Minshew II,QB,25,2021,142.61799999999997,33.7,108.91799999999996
31,Baker Mayfield,QB,26,2021,142.513,180.9,-38.387
29,Jared Goff,QB,27,2021,140.43499999999997,194.5,-54.065000000000026
17,Lamar Jackson,QB,24,2021,138.241,240.0,-101.75899999999999
52,Colt McCoy,QB,35,2021,136.23200000000006,41.3,94.93200000000006
16,Lamar Jackson,QB,24,2021,135.266,240.0,-104.73400000000001
53,Colt McCoy,QB,35,2021,135.15700000000007,41.3,93.85700000000007
36,Davis Mills,QB,23,2021,129.11700000000002,157.0,-27.88299999999998
28,Trevor Lawrence,QB,22,2021,126.27800000000003,199.0,-72.72199999999997
12,Ryan Tannehill,QB,33,2021,125.16900000000004,268.4,-143.23099999999994
41,Trevor Siemian,QB,30,2021,120.88000000000007,90.2,30.680000000000064
38,Justin Fields,QB,22,2021,118.54700000000007,126.8,-8.252999999999929
37,Zach Wilson,QB,22,2021,117.02999999999999,151.9,-34.87000000000002
50,Josh Johnson,QB,35,2021,116.30399999999992,46.3,70.00399999999992
35,Sam Darnold,QB,24,2021,105.72799999999995,157.3,-51.57200000000006
42,Cam Newton,QB,32,2021,102.73,86.4,16.33
45,Tyrod Taylor,QB,32,2021,96.70099999999995,81.7,15.000999999999948
46,Jacoby Brissett,QB,29,2021,94.32999999999997,72.3,22.029999999999973
43,Andy Dalton,QB,34,2021,79.68800000000003,84.2,-4.511999999999972
57,Case Keenum,QB,33,2021,76.09499999999998,28.7,47.39499999999998
64,Mason Rudolph,QB,26,2021,68.773,18.4,50.373
63,Mason Rudolph,QB,26,2021,68.773,18.4,50.373
61,Jordan Love,QB,23,2021,67.27900000000004,21.1,46.17900000000004
62,Jordan Love,QB,23,2021,67.27500000000002,21.1,46.17500000000002
44,Tyler Huntley,QB,23,2021,65.45999999999998,82.6,-17.140000000000015
26,Ben Roethlisberger,QB,39,2021,62.703999999999986,218.1,-155.39600000000002
51,Mike White,QB,26,2021,52.415000000000006,44.0,8.415000000000006
71,Jake Fromm,QB,23,2021,42.45600000000001,10.9,31.55600000000001
65,Nick Foles,QB,32,2021,39.290000000000006,16.8,22.490000000000006
72,Nick Mullens,QB,26,2021,33.979,9.9,24.079
73,Nick Mullens,QB,26,2021,33.979,9.9,24.079
70,Sean Mannion,QB,29,2021,31.045999999999985,13.0,18.045999999999985
58,Tim Boyle,QB,27,2021,27.827999999999992,24.3,3.5279999999999916
56,Mike Glennon,QB,32,2021,27.157999999999998,30.9,-3.742000000000001
69,P.J. Walker,QB,26,2021,19.107000000000014,13.8,5.307000000000013
66,Brandon Allen,QB,29,2021,17.740999999999996,13.9,3.8409999999999958
68,P.J. Walker,QB,26,2021,17.53800000000002,13.8,3.738000000000021
67,Brandon Allen,QB,29,2021,17.413999999999998,13.9,3.5139999999999976
