,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
29,Aaron Jones,RB,27.0,2021,244.44000000000008,229.0,15.440000000000083
96,Christian McCaffrey,RB,25.0,2021,238.27900000000022,127.5,110.77900000000022
24,Alvin Kamara,RB,26.0,2021,224.51800000000006,234.7,-10.181999999999931
22,Nick Chubb,RB,26.0,2021,220.65500000000017,215.3,5.35500000000016
0,Jonathan Taylor,RB,22.0,2021,209.75,373.1,-163.35000000000002
44,D'Andre Swift,RB,22.0,2021,209.06900000000007,208.9,0.16900000000006798
97,Miles Sanders,RB,24.0,2021,202.5000000000001,117.2,85.30000000000011
45,James Robinson,RB,23.0,2021,199.45500000000004,173.9,25.555000000000035
30,Derrick Henry,RB,27.0,2021,198.93500000000003,193.3,5.635000000000019
20,Ezekiel Elliott,RB,26.0,2021,195.85700000000014,252.1,-56.24299999999985
31,Dalvin Cook,RB,26.0,2021,189.61300000000006,206.3,-16.686999999999955
1,Austin Ekeler,RB,26.0,2021,187.9869999999999,343.8,-155.8130000000001
79,Saquon Barkley,RB,24.0,2021,182.75000000000003,148.6,34.150000000000034
36,David Montgomery,RB,24.0,2021,178.29700000000008,195.0,-16.702999999999918
25,Antonio Gibson,RB,23.0,2021,171.137,229.1,-57.962999999999994
32,Josh Jacobs,RB,23.0,2021,167.3999999999999,226.0,-58.60000000000011
18,James Conner,RB,26.0,2021,159.824,257.7,-97.87599999999998
185,Chris Carson,RB,27.0,2021,158.047,48.1,109.947
98,Kareem Hunt,RB,26.0,2021,157.30099999999993,110.0,47.30099999999993
390,Marlon Mack,RB,25.0,2021,154.57899999999998,12.9,141.67899999999997
84,Clyde Edwards-Helaire,RB,22.0,2021,153.23200000000006,117.6,35.63200000000006
119,Ronald Jones II,RB,24.0,2021,149.3080000000001,79.2,70.1080000000001
6,Joe Mixon,RB,25.0,2021,142.5720000000001,287.9,-145.3279999999999
117,Kenyan Drake,RB,27.0,2021,142.00200000000004,102.5,39.50200000000004
27,Leonard Fournette,RB,26.0,2021,138.23600000000008,255.6,-117.36399999999992
35,Devin Singletary,RB,24.0,2021,132.80799999999994,197.8,-64.99200000000008
348,James White,RB,29.0,2021,130.02100000000016,31.2,98.82100000000015
33,Melvin Gordon,RB,28.0,2021,129.723,195.1,-65.37699999999998
57,Myles Gaskin,RB,24.0,2021,129.64899999999997,173.6,-43.95100000000002
86,Mike Davis,RB,28.0,2021,129.50000000000009,138.2,-8.699999999999903
110,J.D. McKissic,RB,28.0,2021,126.89200000000002,127.9,-1.0079999999999814
111,Ty Montgomery,WR,28.0,2021,126.89200000000002,127.9,-1.0079999999999814
449,Raheem Mostert,RB,29.0,2021,120.81000000000003,2.0,118.81000000000003
115,Mark Ingram,RB,32.0,2021,117.62199999999997,108.6,9.021999999999977
186,Tevin Coleman,RB,28.0,2021,117.49500000000003,51.5,65.99500000000003
263,Le'Veon Bell,RB,29.0,2021,116.50699999999999,38.1,78.40699999999998
378,Wayne Gallman,RB,27.0,2021,110.26,13.5,96.76
145,David Johnson,RB,30.0,2021,107.98800000000007,81.3,26.688000000000073
118,Nyheim Hines,RB,25.0,2021,106.42000000000003,112.6,-6.179999999999964
187,Phillip Lindsay,RB,27.0,2021,105.49599999999998,45.4,60.09599999999998
82,Chase Edmonds,RB,25.0,2021,105.44300000000001,143.3,-37.857
122,Jordan Howard,RB,27.0,2021,105.10800000000009,62.5,42.60800000000009
342,Royce Freeman,RB,25.0,2021,102.068,34.6,67.46799999999999
205,Matt Breida,RB,26.0,2021,101.14000000000006,42.7,58.440000000000055
48,Zack Moss,RB,24.0,2021,99.85,163.4,-63.55000000000001
47,Darrell Henderson,RB,24.0,2021,99.85,163.4,-63.55000000000001
463,Cam Akers,RB,22.0,2021,99.04700000000001,4.3,94.74700000000001
23,Damien Harris,RB,24.0,2021,98.82699999999996,210.1,-111.27300000000004
345,Jerick McKinnon,RB,29.0,2021,96.60400000000003,35.9,60.70400000000003
37,AJ Dillon,RB,23.0,2021,96.584,185.6,-89.01599999999999
38,Alexander Mattison,RB,23.0,2021,96.584,185.6,-89.01599999999999
61,Tony Pollard,RB,24.0,2021,95.72400000000002,162.6,-66.87599999999998
90,Jonnu Smith,TE,26.0,2021,95.631,119.8,-24.168999999999997
89,Jamaal Williams,RB,26.0,2021,95.631,119.8,-24.168999999999997
415,Trayveon Williams,RB,24.0,2021,93.38500000000002,6.5,86.88500000000002
346,Adrian Peterson,RB,36.0,2021,92.77400000000003,26.6,66.17400000000004
88,Latavius Murray,RB,31.0,2021,92.73100000000008,103.6,-10.868999999999915
470,Anthony McFarland Jr.,RB,22.0,2021,92.5145515567765,2.4,90.11455155677649
