,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Christian McCaffrey,RB,26.0,2022,256.0307999999998,2.0,0.8,1.01,1.08
1,Jonathan Taylor,RB,23.0,2022,228.40290000000005,1.0,0.5,1.01,1.05
2,Joe Mixon,RB,26.0,2022,226.55680000000018,10.0,2.0,1.01,2.07
3,Josh Jacobs,RB,24.0,2022,214.5132000000006,48.0,5.4,1.12,7.02
4,Najee Harris,RB,24.0,2022,210.4887000000008,7.0,2.0,1.01,2.03
5,Antonio Gibson,RB,24.0,2022,210.38300000000115,45.0,5.3,1.06,6.08
6,Justin Herbert,QB,24.0,2022,210.38300000000115,35.0,5.1,1.02,5.08
7,Derrick Henry,RB,28.0,2022,210.17020000000085,3.0,1.5,1.01,2.01
8,Austin Ekeler,RB,27.0,2022,203.2184000000009,5.0,1.4,1.01,1.11
9,Jamaal Williams,RB,27.0,2022,203.2184000000009,142.0,9.4,8.12,15.06
10,Ezekiel Elliott,RB,27.0,2022,193.47370000000134,27.0,3.6,1.05,4.06
11,David Montgomery,RB,25.0,2022,190.71700000000027,32.0,3.8,2.04,5.11
12,Leonard Fournette,RB,27.0,2022,187.24880000000093,24.0,3.7,1.01,3.12
13,Aaron Jones,RB,28.0,2022,185.98330000000044,16.0,2.6,1.02,3.02
14,James Conner,RB,27.0,2022,185.4926000000012,33.0,3.8,1.12,4.09
15,Alvin Kamara,RB,27.0,2022,185.4926000000012,18.0,3.4,1.03,3.06
16,Javonte Williams,RB,22.0,2022,183.95420000000058,21.0,3.6,1.01,3.1
17,James Robinson,RB,24.0,2022,179.7496000000006,86.0,7.0,3.1,9.1
18,Nick Chubb,RB,27.0,2022,177.1395999999999,14.0,2.8,1.01,3.01
19,Dalvin Cook,RB,27.0,2022,170.28940000000057,8.0,1.8,1.01,2.03
20,D'Andre Swift,RB,23.0,2022,166.3457999999997,12.0,2.1,1.02,2.09
21,James Conner,RB,27.0,2022,143.54200000000063,33.0,3.8,1.12,4.09
22,Alvin Kamara,RB,27.0,2022,143.54200000000063,18.0,3.4,1.03,3.06
23,AJ Dillon,RB,24.0,2022,131.29430000000073,,,,
24,Miles Sanders,RB,25.0,2022,129.0887999999999,64.0,5.6,3.07,7.11
25,Melvin Gordon,RB,29.0,2022,126.10200000000043,89.0,7.2,4.1,10.04
26,Kenyan Drake,RB,28.0,2022,118.39670000000022,191.0,15.9,8.01,16.04
27,Rhamondre Stevenson,RB,24.0,2022,118.25670000000078,91.0,7.8,3.02,10.12
28,Elijah Mitchell,RB,24.0,2022,118.04680000000057,47.0,4.9,2.11,6.04
29,Sony Michel,RB,27.0,2022,117.05760000000086,188.0,15.5,9.08,16.01
30,Rashaad Penny,RB,26.0,2022,115.4431999999998,72.0,6.4,2.1,8.12
31,Damien Harris,RB,25.0,2022,114.6175,61.0,5.8,2.11,7.08
32,Alexander Mattison,RB,24.0,2022,113.49189999999989,99.0,7.1,4.04,10.06
33,Michael Carter,RB,23.0,2022,112.94640000000037,104.0,7.4,2.05,11.06
34,Kareem Hunt,RB,27.0,2022,110.5111000000004,74.0,6.2,3.09,8.09
35,Devin Singletary,RB,25.0,2022,107.21380000000048,78.0,6.8,4.06,8.09
36,Clyde Edwards-Helaire,RB,23.0,2022,106.0896000000008,57.0,5.3,2.08,8.07
37,Saquon Barkley,RB,25.0,2022,103.52160000000039,20.0,3.4,1.02,3.07
38,Giovani Bernard,RB,31.0,2022,101.43280000000034,273.0,37.2,10.12,22.08
39,Dontrell Hilliard,RB,27.0,2022,98.9047999999997,223.0,19.3,12.02,17.11
40,Darrell Henderson,RB,25.0,2022,98.88430000000024,110.0,6.4,6.08,11.06
41,Damien Williams,RB,30.0,2022,97.82170000000004,261.0,29.5,1.04,18.06
42,Darrel Williams,RB,27.0,2022,96.20000000000024,152.0,12.2,4.07,15.1
43,J.D. McKissic,RB,29.0,2022,93.79500000000041,120.0,8.5,7.05,13.05
44,Nyheim Hines,RB,26.0,2022,90.68750000000044,106.0,7.4,5.12,11.07
45,Mark Ingram,RB,33.0,2022,89.11470000000047,129.0,11.1,2.06,13.06
46,Rex Burkhead,RB,32.0,2022,87.90130000000056,272.0,20.8,11.09,18.01
47,Tony Pollard,RB,25.0,2022,86.27420000000006,73.0,6.4,1.04,8.07
48,Jamaal Williams,RB,27.0,2022,85.96580000000043,142.0,9.4,8.12,15.06
49,Austin Ekeler,RB,27.0,2022,85.96580000000043,5.0,1.4,1.01,1.11
50,Myles Gaskin,RB,25.0,2022,83.89200000000002,244.0,23.6,10.03,18.06
51,Marlon Mack,RB,26.0,2022,80.73979999999986,126.0,9.8,7.08,14.01
52,Ronald Jones II,RB,25.0,2022,78.7841,109.0,7.7,6.08,12.08
53,Boston Scott,RB,27.0,2022,76.40120000000002,275.0,37.7,10.09,24.05
