,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,22,2021,337.3998201199729,373.1,-35.70017988002712
24,D'Andre Swift,RB,22,2021,237.06467856519583,208.9,28.16467856519583
11,Antonio Gibson,RB,23,2021,233.39827088623548,229.1,4.2982708862354855
6,Nick Chubb,RB,26,2021,217.34631728817914,215.3,2.046317288179125
7,Nick Chubb,RB,26,2021,210.61056589061832,215.3,-4.689434109381693
18,Melvin Gordon,RB,28,2021,209.09923370310253,195.1,13.999233703102533
37,Saquon Barkley,RB,24,2021,198.26127973536342,148.6,49.66127973536342
16,Dalvin Cook,RB,26,2021,197.8932331004566,206.3,-8.406766899543413
26,James Robinson,RB,23,2021,186.2801281421779,173.9,12.380128142177881
15,Derrick Henry,RB,27,2021,176.30308210710962,193.3,-16.996917892890394
14,Aaron Jones,RB,27,2021,171.4221190618124,229.0,-57.577880938187604
13,Cordarrelle Patterson,RB,30,2021,171.41245243351773,234.6,-63.187547566482266
2,Joe Mixon,RB,25,2021,166.04514619638917,287.9,-121.85485380361081
4,James Conner,RB,26,2021,154.52991492192223,257.7,-103.17008507807776
5,Ezekiel Elliott,RB,26,2021,153.07539902882172,252.1,-99.02460097117827
91,Derrick Gore,RB,27,2021,152.49303675938927,56.1,96.39303675938928
1,Austin Ekeler,RB,26,2021,146.90862375706,343.8,-196.89137624294
10,Alvin Kamara,RB,26,2021,146.7907348143127,234.7,-87.90926518568727
41,Chase Edmonds,RB,25,2021,145.82716099032268,143.3,2.5271609903226704
19,Javonte Williams,RB,21,2021,145.3752555315449,204.9,-59.52474446845511
85,Dontrell Hilliard,RB,26,2021,145.04480707757602,72.7,72.34480707757602
9,Alvin Kamara,RB,26,2021,144.50132945856353,234.7,-90.19867054143646
32,Tony Pollard,RB,24,2021,141.74891286434365,162.6,-20.851087135656343
74,Justin Jackson,RB,25,2021,139.5719411751479,86.2,53.37194117514791
94,Travis Homer,RB,23,2021,139.4567332456412,61.8,77.6567332456412
93,Travis Homer,RB,23,2021,139.1300537782605,61.8,77.3300537782605
92,Travis Homer,RB,23,2021,134.4251996263729,61.8,72.62519962637289
12,Leonard Fournette,RB,26,2021,131.4065333259898,255.6,-124.19346667401018
20,Devin Singletary,RB,24,2021,129.17777497654788,197.8,-68.62222502345213
39,Devontae Booker,RB,29,2021,127.97048942408071,144.1,-16.129510575919284
34,Rashaad Penny,RB,25,2021,127.1216057920767,121.7,5.421605792076704
22,AJ Dillon,RB,23,2021,126.93235246870563,185.6,-58.667647531294364
70,Nyheim Hines,RB,25,2021,124.22119326270627,112.6,11.62119326270627
38,Devontae Booker,RB,29,2021,123.0296776706524,144.1,-21.07032232934759
8,Damien Harris,RB,24,2021,121.9820153827111,210.1,-88.1179846172889
51,Miles Sanders,RB,24,2021,121.69168749042024,117.2,4.491687490420233
59,J.D. McKissic,RB,28,2021,116.34497572041118,127.9,-11.555024279588821
17,Josh Jacobs,RB,23,2021,115.45187219164939,226.0,-110.54812780835061
63,Mark Ingram,RB,32,2021,113.15370719352381,108.6,4.55370719352382
21,David Montgomery,RB,24,2021,112.46861908939763,195.0,-82.53138091060237
64,Mark Ingram,RB,32,2021,111.87137492719103,108.6,3.271374927191033
45,Latavius Murray,RB,31,2021,111.06198750958572,103.6,7.461987509585725
50,Miles Sanders,RB,24,2021,110.6363797565308,117.2,-6.563620243469202
49,Christian McCaffrey,RB,25,2021,109.66663655049058,127.5,-17.83336344950942
109,Phillip Lindsay,RB,27,2021,108.2341095977747,45.4,62.834109597774706
44,Alexander Mattison,RB,23,2021,107.30124680182257,125.9,-18.598753198177434
33,Michael Carter,RB,22,2021,105.0835550805142,154.4,-49.316444919485804
48,Christian McCaffrey,RB,25,2021,102.7424253206193,127.5,-24.757574679380696
31,Sony Michel,RB,26,2021,101.79382617606029,146.3,-44.50617382393972
108,Chris Carson,RB,27,2021,99.50158732832722,48.1,51.40158732832722
30,Sony Michel,RB,26,2021,98.35961657473808,146.3,-47.94038342526193
78,Samaje Perine,RB,26,2021,96.28771617106224,83.2,13.08771617106224
53,Kareem Hunt,RB,26,2021,95.61331137507432,110.0,-14.386688624925682
69,Kenyan Drake,RB,27,2021,93.85757722998812,102.5,-8.642422770011876
29,Myles Gaskin,RB,24,2021,93.75106689444954,173.6,-79.84893310555046
3,Najee Harris,RB,23,2021,92.88532348001456,300.7,-207.81467651998543
68,Kenyan Drake,RB,27,2021,87.65588175906828,102.5,-14.84411824093172
67,Rex Burkhead,RB,31,2021,85.54687262180892,104.3,-18.75312737819108
28,Myles Gaskin,RB,24,2021,85.44444528138183,173.6,-88.15555471861816
66,Rex Burkhead,RB,31,2021,85.02161424756923,104.3,-19.278385752430765
57,D'Onta Foreman,RB,25,2021,83.69878408112652,93.9,-10.201215918873487
56,D'Onta Foreman,RB,25,2021,83.60809904198072,93.9,-10.291900958019284
40,Rhamondre Stevenson,RB,23,2021,82.00451221845856,114.9,-32.89548778154145
27,Darrell Henderson,RB,24,2021,80.74359466114186,163.4,-82.65640533885815
42,Clyde Edwards-Helaire,RB,22,2021,76.50313794747831,117.6,-41.096862052521686
83,Giovani Bernard,RB,30,2021,76.44455076114673,59.1,17.344550761146728
111,Peyton Barber,RB,27,2021,76.0604549156069,49.9,26.1604549156069
110,Peyton Barber,RB,27,2021,75.55512532128296,49.9,25.65512532128296
82,Giovani Bernard,RB,30,2021,75.13016285673348,59.1,16.030162856733476
23,Darrel Williams,RB,26,2021,75.06335417247669,196.0,-120.93664582752331
84,Giovani Bernard,RB,30,2021,74.78639058889792,59.1,15.686390588897915
36,Chuba Hubbard,RB,22,2021,74.76514560151884,137.6,-62.834854398481156
164,Godwin Igwebuike,RB,27,2021,74.2330678533408,26.8,47.4330678533408
169,James White,RB,29,2021,73.60165974449524,31.2,42.401659744495234
167,James White,RB,29,2021,72.70227638858285,31.2,41.50227638858284
165,Godwin Igwebuike,RB,27,2021,72.29779299605116,26.8,45.49779299605116
125,Ke'Shawn Vaughn,RB,24,2021,71.64723502095353,36.6,35.04723502095353
35,Devonta Freeman,RB,29,2021,71.28552535447147,146.6,-75.31447464552852
43,Mike Davis,RB,28,2021,70.2911219994055,138.2,-67.90887800059448
126,Ke'Shawn Vaughn,RB,24,2021,70.24331701273809,36.6,33.64331701273809
71,Ronald Jones II,RB,24,2021,69.4915113529396,79.2,-9.708488647060406
97,Damien Williams,RB,29,2021,69.13106742962202,60.7,8.431067429622018
184,C.J. Ham,RB,28,2021,68.04003614320243,32.9,35.14003614320243
185,C.J. Ham,RB,28,2021,68.04003614320243,32.9,35.14003614320243
124,Demetric Felton,RB,23,2021,65.97843926703376,50.5,15.478439267033764
168,James White,RB,29,2021,65.55874605450435,31.2,34.35874605450435
25,Elijah Mitchell,RB,23,2021,64.73482473335366,165.0,-100.26517526664634
127,Ty'Son Williams,RB,25,2021,64.54031995606783,41.9,22.640319956067835
128,Ty'Son Williams,RB,25,2021,64.54031995606783,41.9,22.640319956067835
80,Duke Johnson,RB,28,2021,63.903509309329706,59.1,4.803509309329705
79,Duke Johnson,RB,28,2021,62.589121404916455,59.1,3.489121404916453
81,Duke Johnson,RB,28,2021,62.24534913708089,59.1,3.145349137080892
153,Corey Clement,RB,27,2021,60.580895463045636,28.9,31.680895463045637
