,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,22,2021,311.2687013524463,373.1,-61.831298647553695
24,D'Andre Swift,RB,22,2021,220.62090460560955,208.9,11.720904605609547
11,Antonio Gibson,RB,23,2021,207.78535237789436,229.1,-21.31464762210564
6,Nick Chubb,RB,26,2021,194.75621427971936,215.3,-20.543785720280653
7,Nick Chubb,RB,26,2021,188.5839677268027,215.3,-26.7160322731973
18,Melvin Gordon,RB,28,2021,183.53096898409768,195.1,-11.569031015902311
13,Cordarrelle Patterson,RB,30,2021,182.30944862545726,234.6,-52.29055137454273
37,Saquon Barkley,RB,24,2021,170.93589749586022,148.6,22.335897495860223
85,Dontrell Hilliard,RB,26,2021,168.06439461530857,72.7,95.36439461530857
94,Travis Homer,RB,23,2021,162.26184973867174,61.8,100.46184973867175
91,Derrick Gore,RB,27,2021,161.22103775305783,56.1,105.12103775305783
93,Travis Homer,RB,23,2021,161.05942817748047,61.8,99.25942817748047
16,Dalvin Cook,RB,26,2021,160.4336906745994,206.3,-45.86630932540061
92,Travis Homer,RB,23,2021,159.08628955402907,61.8,97.28628955402907
74,Justin Jackson,RB,25,2021,155.9475796857722,86.2,69.74757968577221
19,Javonte Williams,RB,21,2021,154.03677233138774,204.9,-50.86322766861227
15,Derrick Henry,RB,27,2021,153.37988478937967,193.3,-39.92011521062034
26,James Robinson,RB,23,2021,148.75098980847605,173.9,-25.149010191523956
41,Chase Edmonds,RB,25,2021,145.16244995531372,143.3,1.862449955313707
2,Joe Mixon,RB,25,2021,144.99797439378045,287.9,-142.90202560621952
22,AJ Dillon,RB,23,2021,144.17991875000007,185.6,-41.420081249999924
32,Tony Pollard,RB,24,2021,142.28335440453134,162.6,-20.316645595468657
34,Rashaad Penny,RB,25,2021,142.0208004745627,121.7,20.320800474562688
8,Damien Harris,RB,24,2021,136.5366307382161,210.1,-73.56336926178389
14,Aaron Jones,RB,27,2021,135.58071619518262,229.0,-93.41928380481738
4,James Conner,RB,26,2021,130.21766618092568,257.7,-127.48233381907431
39,Devontae Booker,RB,29,2021,125.55360009666435,144.1,-18.54639990333564
38,Devontae Booker,RB,29,2021,122.059302608682,144.1,-22.04069739131799
1,Austin Ekeler,RB,26,2021,115.28978963685188,343.8,-228.51021036314813
20,Devin Singletary,RB,24,2021,113.9896597836356,197.8,-83.81034021636441
59,J.D. McKissic,RB,28,2021,112.69273952857804,127.9,-15.20726047142196
