,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,22,2021,360.4776475003264,373.1,-12.622352499673639
11,Antonio Gibson,RB,23,2021,260.56000734000145,229.1,31.460007340001454
24,D'Andre Swift,RB,22,2021,249.97041062502467,208.9,41.070410625024664
16,Dalvin Cook,RB,26,2021,240.7169520307334,206.3,34.4169520307334
6,Nick Chubb,RB,26,2021,237.6193317293994,215.3,22.31933172939938
7,Nick Chubb,RB,26,2021,229.48325429427314,215.3,14.183254294273127
14,Aaron Jones,RB,27,2021,224.31497300406204,229.0,-4.68502699593796
3,Najee Harris,RB,23,2021,220.85511583553352,300.7,-79.84488416446646
18,Melvin Gordon,RB,28,2021,214.45723145519332,195.1,19.35723145519333
1,Austin Ekeler,RB,26,2021,205.37696845540154,343.8,-138.42303154459847
19,Javonte Williams,RB,21,2021,203.0329120768822,204.9,-1.8670879231177935
26,James Robinson,RB,23,2021,201.87208566900176,173.9,27.972085669001757
5,Ezekiel Elliott,RB,26,2021,195.31073672239359,252.1,-56.78926327760641
10,Alvin Kamara,RB,26,2021,193.99500539831683,234.7,-40.704994601683154
9,Alvin Kamara,RB,26,2021,190.824341064304,234.7,-43.87565893569598
15,Derrick Henry,RB,27,2021,184.14646606707674,193.3,-9.153533932923267
2,Joe Mixon,RB,25,2021,180.04503028089493,287.9,-107.85496971910504
12,Leonard Fournette,RB,26,2021,170.83621239727495,255.6,-84.76378760272505
4,James Conner,RB,26,2021,169.80571766048206,257.7,-87.89428233951793
17,Josh Jacobs,RB,23,2021,167.69730574589676,226.0,-58.302694254103244
20,Devin Singletary,RB,24,2021,158.83829998831675,197.8,-38.96170001168326
21,David Montgomery,RB,24,2021,153.41612476513865,195.0,-41.58387523486135
41,Chase Edmonds,RB,25,2021,150.98734801893647,143.3,7.687348018936461
37,Saquon Barkley,RB,24,2021,149.50154777319744,148.6,0.9015477731974499
33,Michael Carter,RB,22,2021,146.22510047872265,154.4,-8.174899521277354
13,Cordarrelle Patterson,RB,30,2021,144.5330981075872,234.6,-90.0669018924128
51,Miles Sanders,RB,24,2021,143.11585745960338,117.2,25.915857459603373
32,Tony Pollard,RB,24,2021,142.7818085516774,162.6,-19.818191448322608
70,Nyheim Hines,RB,25,2021,134.06183011184908,112.6,21.461830111849082
50,Miles Sanders,RB,24,2021,129.15657867903997,117.2,11.956578679039964
59,J.D. McKissic,RB,28,2021,126.22013054052718,127.9,-1.679869459472826
25,Elijah Mitchell,RB,23,2021,121.29403092018742,165.0,-43.705969079812576
45,Latavius Murray,RB,31,2021,121.24069792138698,103.6,17.640697921386987
22,AJ Dillon,RB,23,2021,120.13557979968482,185.6,-65.46442020031517
93,Travis Homer,RB,23,2021,119.77678192676558,61.8,57.97678192676558
91,Derrick Gore,RB,27,2021,118.63502633805456,56.1,62.53502633805456
94,Travis Homer,RB,23,2021,117.0894878971992,61.8,55.28948789719921
85,Dontrell Hilliard,RB,26,2021,114.73994404980431,72.7,42.039944049804305
74,Justin Jackson,RB,25,2021,113.64488991854432,86.2,27.44488991854432
69,Kenyan Drake,RB,27,2021,113.40052378259907,102.5,10.900523782599066
8,Damien Harris,RB,24,2021,111.91126915977725,210.1,-98.18873084022275
92,Travis Homer,RB,23,2021,109.65499491178866,61.8,47.854994911788665
49,Christian McCaffrey,RB,25,2021,108.83409899338244,127.5,-18.66590100661756
31,Sony Michel,RB,26,2021,108.02238281347445,146.3,-38.27761718652556
29,Myles Gaskin,RB,24,2021,107.95383729378818,173.6,-65.64616270621181
63,Mark Ingram,RB,32,2021,107.76446691726369,108.6,-0.8355330827363048
34,Rashaad Penny,RB,25,2021,107.54458850426295,121.7,-14.155411495737056
44,Alexander Mattison,RB,23,2021,107.24968264845074,125.9,-18.650317351549262
30,Sony Michel,RB,26,2021,106.52313941529042,146.3,-39.776860584709596
39,Devontae Booker,RB,29,2021,106.41813913297688,144.1,-37.68186086702312
64,Mark Ingram,RB,32,2021,103.73543676641316,108.6,-4.864563233586836
40,Rhamondre Stevenson,RB,23,2021,103.63904012922103,114.9,-11.260959870778976
48,Christian McCaffrey,RB,25,2021,103.62984481194803,127.5,-23.870155188051967
53,Kareem Hunt,RB,26,2021,103.55674346554633,110.0,-6.443256534453667
36,Chuba Hubbard,RB,22,2021,102.84022509389297,137.6,-34.759774906107026
