,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,22,2021,342.3068532719531,373.1,-30.793146728046906
24,D'Andre Swift,RB,22,2021,247.78457528763388,208.9,38.88457528763388
6,Nick Chubb,RB,26,2021,228.89527060195078,215.3,13.595270601950773
11,Antonio Gibson,RB,23,2021,227.9858323504603,229.1,-1.114167649539695
7,Nick Chubb,RB,26,2021,226.0247833973811,215.3,10.724783397381088
18,Melvin Gordon,RB,28,2021,213.61512252680953,195.1,18.515122526809535
37,Saquon Barkley,RB,24,2021,210.83019893609145,148.6,62.230198936091455
16,Dalvin Cook,RB,26,2021,209.5816675189631,206.3,3.2816675189630757
26,James Robinson,RB,23,2021,193.80392551640875,173.9,19.903925516408748
14,Aaron Jones,RB,27,2021,183.3329238785764,229.0,-45.667076121423605
15,Derrick Henry,RB,27,2021,181.59946094989647,193.3,-11.700539050103544
2,Joe Mixon,RB,25,2021,174.17595194106056,287.9,-113.72404805893942
5,Ezekiel Elliott,RB,26,2021,162.75556460313064,252.1,-89.34443539686936
4,James Conner,RB,26,2021,158.93624470502385,257.7,-98.76375529497614
10,Alvin Kamara,RB,26,2021,156.50378904562476,234.7,-78.19621095437523
13,Cordarrelle Patterson,RB,30,2021,156.3929628418973,234.6,-78.20703715810271
9,Alvin Kamara,RB,26,2021,155.51611327219268,234.7,-79.1838867278073
41,Chase Edmonds,RB,25,2021,150.22323944172996,143.3,6.923239441729947
91,Derrick Gore,RB,27,2021,147.71705753539987,56.1,91.61705753539988
1,Austin Ekeler,RB,26,2021,144.86662669703804,343.8,-198.93337330296197
32,Tony Pollard,RB,24,2021,144.72822152153725,162.6,-17.871778478462744
19,Javonte Williams,RB,21,2021,143.42367515514093,204.9,-61.47632484485908
74,Justin Jackson,RB,25,2021,138.9716872482333,86.2,52.771687248233306
12,Leonard Fournette,RB,26,2021,131.4117851356046,255.6,-124.1882148643954
70,Nyheim Hines,RB,25,2021,130.2390946145772,112.6,17.639094614577203
94,Travis Homer,RB,23,2021,129.141203610758,61.8,67.341203610758
93,Travis Homer,RB,23,2021,128.9761218226403,61.8,67.1761218226403
92,Travis Homer,RB,23,2021,128.85719875417166,61.8,67.05719875417167
85,Dontrell Hilliard,RB,26,2021,125.99544243125509,72.7,53.29544243125508
51,Miles Sanders,RB,24,2021,124.42882137609892,117.2,7.228821376098921
49,Christian McCaffrey,RB,25,2021,122.47894718364462,127.5,-5.021052816355379
20,Devin Singletary,RB,24,2021,122.23963901524203,197.8,-75.56036098475798
34,Rashaad Penny,RB,25,2021,121.57849265632734,121.7,-0.12150734367266125
50,Miles Sanders,RB,24,2021,120.94479384030214,117.2,3.744793840302137
48,Christian McCaffrey,RB,25,2021,119.8312842923404,127.5,-7.668715707659601
8,Damien Harris,RB,24,2021,119.24669193413408,210.1,-90.85330806586592
17,Josh Jacobs,RB,23,2021,118.44851796777913,226.0,-107.55148203222087
22,AJ Dillon,RB,23,2021,116.36685792277244,185.6,-69.23314207722755
21,David Montgomery,RB,24,2021,113.34875781883986,195.0,-81.65124218116014
63,Mark Ingram,RB,32,2021,111.48937523699851,108.6,2.889375236998518
64,Mark Ingram,RB,32,2021,110.60792957353763,108.6,2.0079295735376377
45,Latavius Murray,RB,31,2021,108.49980653928012,103.6,4.899806539280121
33,Michael Carter,RB,22,2021,108.46694812525814,154.4,-45.933051874741864
39,Devontae Booker,RB,29,2021,107.62553221980338,144.1,-36.47446778019662
59,J.D. McKissic,RB,28,2021,107.16708040151597,127.9,-20.73291959848403
38,Devontae Booker,RB,29,2021,106.47943331851641,144.1,-37.62056668148358
44,Alexander Mattison,RB,23,2021,104.4382744607916,125.9,-21.461725539208402
30,Sony Michel,RB,26,2021,102.09025345614266,146.3,-44.20974654385735
31,Sony Michel,RB,26,2021,102.03910121895827,146.3,-44.260898781041746
108,Chris Carson,RB,27,2021,100.72398918912559,48.1,52.62398918912559
53,Kareem Hunt,RB,26,2021,100.37072005263556,110.0,-9.629279947364438
69,Kenyan Drake,RB,27,2021,93.70816926626703,102.5,-8.791830733732965
109,Phillip Lindsay,RB,27,2021,92.61551614426126,45.4,47.215516144261265
68,Kenyan Drake,RB,27,2021,91.30554512164083,102.5,-11.194454878359167
