,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Jonathan Taylor,RB,22,2021,259.4509999999999,373.1,-113.64900000000011
6,Nick Chubb,RB,26,2021,212.11000000000018,215.3,-3.189999999999827
41,Chase Edmonds,RB,25,2021,210.0089999999999,143.3,66.70899999999989
74,Justin Jackson,RB,25,2021,207.62400000000017,86.2,121.42400000000016
22,AJ Dillon,RB,23,2021,206.82099999999994,185.6,21.220999999999947
24,D'Andre Swift,RB,22,2021,206.05700000000013,208.9,-2.8429999999998756
18,Melvin Gordon,RB,28,2021,205.0970000000001,195.1,9.9970000000001
20,Devin Singletary,RB,24,2021,203.44799999999978,197.8,5.647999999999769
11,Antonio Gibson,RB,23,2021,203.393,229.1,-25.706999999999994
26,James Robinson,RB,23,2021,202.928,173.9,29.02799999999999
7,Nick Chubb,RB,26,2021,201.24,215.3,-14.060000000000002
19,Javonte Williams,RB,21,2021,198.59900000000002,204.9,-6.300999999999988
37,Saquon Barkley,RB,24,2021,192.799,148.6,44.19900000000001
39,Devontae Booker,RB,29,2021,191.03099999999995,144.1,46.930999999999955
16,Dalvin Cook,RB,26,2021,188.98700000000005,206.3,-17.31299999999996
14,Aaron Jones,RB,27,2021,181.15899999999993,229.0,-47.841000000000065
70,Nyheim Hines,RB,25,2021,180.29999999999995,112.6,67.69999999999996
12,Leonard Fournette,RB,26,2021,161.69899999999998,255.6,-93.90100000000001
33,Michael Carter,RB,22,2021,161.42200000000005,154.4,7.022000000000048
1,Austin Ekeler,RB,26,2021,158.4270000000001,343.8,-185.3729999999999
13,Cordarrelle Patterson,RB,30,2021,155.72099999999992,234.6,-78.87900000000008
38,Devontae Booker,RB,29,2021,154.71199999999993,144.1,10.611999999999938
17,Josh Jacobs,RB,23,2021,153.62699999999998,226.0,-72.37300000000002
92,Travis Homer,RB,23,2021,151.60499999999985,61.8,89.80499999999985
44,Alexander Mattison,RB,23,2021,150.55799999999994,125.9,24.65799999999993
8,Damien Harris,RB,24,2021,148.6389999999999,210.1,-61.4610000000001
53,Kareem Hunt,RB,26,2021,146.38099999999994,110.0,36.38099999999994
2,Joe Mixon,RB,25,2021,146.00199999999995,287.9,-141.89800000000002
5,Ezekiel Elliott,RB,26,2021,145.94500000000005,252.1,-106.15499999999994
51,Miles Sanders,RB,24,2021,145.55299999999997,117.2,28.352999999999966
40,Rhamondre Stevenson,RB,23,2021,140.6760000000001,114.9,25.776000000000096
64,Mark Ingram,RB,32,2021,139.45,108.6,30.849999999999994
27,Darrell Henderson,RB,24,2021,137.42500000000004,163.4,-25.974999999999966
32,Tony Pollard,RB,24,2021,136.69499999999994,162.6,-25.905000000000058
50,Miles Sanders,RB,24,2021,136.66200000000003,117.2,19.46200000000003
78,Samaje Perine,RB,26,2021,134.93300000000008,83.2,51.733000000000075
30,Sony Michel,RB,26,2021,132.441,146.3,-13.859000000000009
110,Peyton Barber,RB,27,2021,129.13199999999998,49.9,79.23199999999997
29,Myles Gaskin,RB,24,2021,128.23299999999995,173.6,-45.36700000000005
31,Sony Michel,RB,26,2021,127.14099999999999,146.3,-19.15900000000002
63,Mark Ingram,RB,32,2021,125.62399999999992,108.6,17.02399999999993
28,Myles Gaskin,RB,24,2021,122.84599999999995,173.6,-50.75400000000005
59,J.D. McKissic,RB,28,2021,121.64300000000001,127.9,-6.256999999999991
21,David Montgomery,RB,24,2021,120.64600000000002,195.0,-74.35399999999998
