,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Travis Kelce,TE,33.0,2022,208.99195955121684,15.0,3.1,1.01,3.02
1,Mark Andrews,TE,27.0,2022,176.19923193721652,26.0,3.9,1.09,5.03
2,Kyle Pitts,TE,22.0,2022,149.1273418195196,37.0,4.8,1.05,6.01
3,Pat Freiermuth,TE,24.0,2022,138.67822173944694,121.0,14.3,3.01,14.08
4,George Kittle,TE,29.0,2022,138.47938564834854,43.0,5.0,1.12,6.06
5,Dalton Schultz,TE,26.0,2022,135.47902669955528,71.0,7.6,2.03,9.04
6,Noah Fant,TE,25.0,2022,128.67405437047842,219.0,25.0,4.11,18.06
7,T.J. Hockenson,TE,25.0,2022,128.24905001482793,66.0,6.7,3.1,8.11
8,Dallas Goedert,TE,27.0,2022,124.84567683732766,83.0,8.9,4.05,11.07
9,Hunter Henry,TE,28.0,2022,122.86468716585134,141.0,16.6,5.01,15.1
10,Zach Ertz,TE,32.0,2022,121.89146682480727,101.0,10.4,5.01,12.08
11,Dawson Knox,TE,26.0,2022,121.4703217023721,92.0,11.0,3.07,13.03
12,Robert Tonyan,TE,28.0,2022,117.43898566949183,,,,
13,Mike Gesicki,TE,27.0,2022,115.44376757137661,127.0,14.2,5.03,15.11
14,Austin Hooper,TE,28.0,2022,109.90278401668738,195.0,26.9,4.12,18.06
15,Tyler Higbee,TE,29.0,2022,109.55120665895251,193.0,28.6,6.11,19.04
16,Cole Kmet,TE,23.0,2022,107.05302632018278,140.0,15.2,6.03,15.12
17,Evan Engram,TE,28.0,2022,92.537114891474,208.0,22.9,9.08,18.03
18,Hayden Hurst,TE,29.0,2022,92.2508358863233,161.0,31.4,6.12,18.05
19,Gerald Everett,TE,28.0,2022,90.95671218638498,231.0,21.3,8.02,18.06
20,Albert Okwuegbunam,TE,24.0,2022,86.48749535923037,180.0,19.6,7.05,18.06
21,David Njoku,TE,26.0,2022,79.16751518265504,207.0,23.6,2.12,18.06
22,Logan Thomas,TE,31.0,2022,74.06011998357164,226.0,19.8,7.11,18.06
23,Kyle Rudolph,TE,33.0,2022,64.4323096974068,178.0,33.6,5.07,18.05
24,Mo Alie-Cox,TE,29.0,2022,60.02224701257564,167.0,41.3,6.08,18.02
25,Cameron Brate,TE,31.0,2022,54.33981582872536,162.0,36.0,4.12,17.02
