,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
0,Travis Kelce,TE,33.0,2022,247.72083286974777,32.2,215.52083286974778
1,Mark Andrews,TE,27.0,2022,189.0422727641175,32.2,156.84227276411752
3,Kyle Pitts,TE,22.0,2022,182.8449196244043,32.2,150.64491962440428
4,George Kittle,TE,29.0,2022,164.89788537303986,32.2,132.69788537303987
9,Zach Ertz,TE,32.0,2022,130.58553049023485,32.2,98.38553049023484
7,Dallas Goedert,TE,27.0,2022,127.13239834426602,32.2,94.93239834426602
28,Noah Fant,TE,25.0,2022,126.57941102989702,32.2,94.37941102989701
5,T.J. Hockenson,TE,25.0,2022,123.84783560439504,32.2,91.64783560439504
27,Evan Engram,TE,28.0,2022,120.8396623260468,32.2,88.6396623260468
13,Mike Gesicki,TE,27.0,2022,117.46177082611702,32.2,85.26177082611702
23,Tyler Higbee,TE,29.0,2022,116.82562233973115,32.2,84.62562233973115
15,Hunter Henry,TE,28.0,2022,116.00507035730878,32.2,83.80507035730878
12,Pat Freiermuth,TE,24.0,2022,115.40216638834204,32.2,83.20216638834204
25,Austin Hooper,TE,28.0,2022,99.35790244538953,32.2,67.15790244538952
31,Gerald Everett,TE,28.0,2022,95.57600748928459,32.2,63.37600748928459
8,Dawson Knox,TE,26.0,2022,94.97130397707271,32.2,62.771303977072705
16,Hayden Hurst,TE,29.0,2022,88.00612211626832,32.2,55.80612211626831
6,Dalton Schultz,TE,26.0,2022,86.57695175544094,32.2,54.37695175544094
14,Cole Kmet,TE,23.0,2022,77.51919962296301,32.2,45.31919962296301
20,Robert Tonyan,TE,28.0,2022,67.23375592014528,32.2,35.03375592014528
29,Logan Thomas,TE,31.0,2022,65.43979811824968,32.2,33.23979811824968
21,Kyle Rudolph,TE,33.0,2022,58.23237892401797,32.2,26.03237892401797
22,Albert Okwuegbunam,TE,24.0,2022,52.77689634544578,32.2,20.576896345445775
26,David Njoku,TE,26.0,2022,50.46918664880838,32.2,18.26918664880838
17,Cameron Brate,TE,31.0,2022,49.61216502119609,32.2,17.41216502119609
19,Mo Alie-Cox,TE,29.0,2022,49.192717443256186,32.2,16.992717443256183
