,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Travis Kelce,TE,32,2021,234.63497331347708,262.8,-28.165026686522936
3,George Kittle,TE,28,2021,158.18271823126634,198.0,-39.817281768733665
4,George Kittle,TE,28,2021,153.52008088437447,198.0,-44.479919115625535
17,Zach Ertz,TE,31,2021,153.4099299138727,180.7,-27.290070086127287
73,Kyle Rudolph,TE,32,2021,150.91953526668794,59.7,91.21953526668794
29,David Njoku,TE,25,2021,149.93748345442646,107.6,42.33748345442646
22,Jared Cook,TE,34,2021,135.36625670096714,132.4,2.9662567009671363
23,Jared Cook,TE,34,2021,131.38827546295238,132.4,-1.0117245370476269
41,Albert Okwuegbunam,TE,23,2021,124.5673951547692,76.0,48.5673951547692
0,Mark Andrews,TE,26,2021,122.94895846357531,301.1,-178.1510415364247
26,C.J. Uzomah,TE,28,2021,118.74529469309437,128.3,-9.554705306905646
14,Kyle Pitts,TE,21,2021,117.95589814259665,176.6,-58.64410185740334
5,Rob Gronkowski,TE,32,2021,113.94443835260927,171.2,-57.25556164739072
21,Tyler Higbee,TE,28,2021,113.8340189190335,147.0,-33.1659810809665
27,Darren Waller,TE,29,2021,112.75895499894796,133.5,-20.741045001052044
8,Hunter Henry,TE,27,2021,108.45407875716069,164.3,-55.845921242839324
9,Hunter Henry,TE,27,2021,108.45407875716069,164.3,-55.845921242839324
15,Kyle Pitts,TE,21,2021,107.24244770687119,176.6,-69.3575522931288
16,Kyle Pitts,TE,21,2021,107.24244770687119,176.6,-69.3575522931288
62,Josiah Deguara,TE,24,2021,106.83852256499972,61.5,45.33852256499972
35,Austin Hooper,TE,27,2021,103.34176171075364,92.5,10.841761710753644
6,Dawson Knox,TE,25,2021,102.8758700106614,164.1,-61.22412998933859
13,Mike Gesicki,TE,26,2021,99.31673440380746,165.0,-65.68326559619254
11,Dallas Goedert,TE,26,2021,98.14711128005501,165.0,-66.85288871994499
20,Tyler Higbee,TE,28,2021,97.97185532792923,147.0,-49.028144672070766
12,Mike Gesicki,TE,26,2021,95.96319658805464,165.0,-69.03680341194536
10,Dallas Goedert,TE,26,2021,94.79357346430197,165.0,-70.20642653569803
7,Hunter Henry,TE,27,2021,94.65381993003325,164.3,-69.64618006996676
19,Noah Fant,TE,24,2021,93.28239591685224,159.0,-65.71760408314776
61,Josiah Deguara,TE,24,2021,92.72883506452172,61.5,31.228835064521718
25,T.J. Hockenson,TE,24,2021,91.35678711683317,145.3,-53.94321288316684
32,Evan Engram,TE,27,2021,91.28288809412948,102.5,-11.217111905870524
24,T.J. Hockenson,TE,24,2021,88.84772686952806,145.3,-56.45227313047195
30,Gerald Everett,TE,27,2021,88.72282524173397,117.8,-29.077174758266025
63,Jimmy Graham,TE,35,2021,88.63847796647929,50.7,37.93847796647928
58,Hayden Hurst,TE,28,2021,83.13570517947323,64.1,19.03570517947324
59,Hayden Hurst,TE,28,2021,82.93798494787461,64.1,18.837984947874617
67,Logan Thomas,TE,30,2021,81.92667249810916,53.6,28.326672498109154
68,Logan Thomas,TE,30,2021,81.92667249810916,53.6,28.326672498109154
69,Logan Thomas,TE,30,2021,81.92667249810916,53.6,28.326672498109154
94,Eric Ebron,TE,28,2021,81.896646539313,32.5,49.396646539313
47,Ricky Seals-Jones,TE,26,2021,81.37938201106977,69.1,12.279382011069771
60,Hayden Hurst,TE,28,2021,80.44861192364692,64.1,16.348611923646928
64,Jimmy Graham,TE,35,2021,80.40121796386006,50.7,29.70121796386006
48,Ricky Seals-Jones,TE,26,2021,78.31884873615559,69.1,9.218848736155593
95,Eric Ebron,TE,28,2021,77.81584216872966,32.5,45.31584216872966
101,Ian Thomas,TE,25,2021,77.57479001850152,36.8,40.77479001850152
37,Jack Doyle,TE,31,2021,77.26938023586877,79.2,-1.9306197641312366
44,Harrison Bryant,TE,23,2021,76.75925690309941,62.3,14.459256903099416
36,Foster Moreau,TE,24,2021,72.47644883567409,85.3,-12.823551164325906
76,Robert Tonyan,TE,27,2021,72.33568941375393,50.4,21.935689413753927
77,Robert Tonyan,TE,27,2021,72.33568941375393,50.4,21.935689413753927
82,Will Dissly,TE,25,2021,71.6787433773552,50.1,21.578743377355202
100,Ian Thomas,TE,25,2021,71.11903024833737,36.8,34.31903024833737
86,Brock Wright,TE,23,2021,66.64104463870854,35.7,30.941044638708533
81,Will Dissly,TE,25,2021,66.32964946544712,50.1,16.229649465447118
49,Jonnu Smith,TE,26,2021,65.0092815535786,67.4,-2.3907184464214026
2,Dalton Schultz,TE,25,2021,63.89229981117137,208.8,-144.90770018882864
34,Mo Alie-Cox,TE,28,2021,63.61674971350885,79.6,-15.983250286491142
33,Mo Alie-Cox,TE,28,2021,63.61674971350885,79.6,-15.983250286491142
105,Jordan Akins,TE,29,2021,61.16781228475725,41.7,19.467812284757244
85,Brock Wright,TE,23,2021,61.0433765316734,35.7,25.3433765316734
176,Darren Fells,TE,35,2021,58.812030744064714,8.3,50.51203074406472
99,O.J. Howard,TE,27,2021,58.614596646397786,33.5,25.114596646397786
174,Darren Fells,TE,35,2021,55.93303870082923,8.3,47.63303870082923
175,Darren Fells,TE,35,2021,55.93303870082923,8.3,47.63303870082923
172,Darren Fells,TE,35,2021,55.93303870082923,8.3,47.63303870082923
56,Ryan Griffin,TE,31,2021,55.5950057883756,65.1,-9.504994211624393
28,Tyler Conklin,TE,26,2021,54.82895179469642,138.3,-83.47104820530359
57,Ryan Griffin,TE,31,2021,54.6181371198079,65.1,-10.481862880192097
306,Daniel Helm,TE,26,2021,54.599837498803254,0.9,53.699837498803255
173,Darren Fells,TE,35,2021,53.539507608616304,8.3,45.23950760861631
79,James O'Shaughnessy,TE,29,2021,52.93306069213327,50.4,2.533060692133269
78,James O'Shaughnessy,TE,29,2021,52.93306069213327,50.4,2.533060692133269
71,Adam Trautman,TE,24,2021,52.33599652178509,63.3,-10.964003478214906
90,Stephen Anderson,TE,28,2021,51.68074518268736,38.5,13.18074518268736
98,Marcedes Lewis,TE,37,2021,49.09756915852836,44.4,4.69756915852836
75,Tommy Tremble,TE,21,2021,48.96150710649226,53.1,-4.138492893507738
89,Stephen Anderson,TE,28,2021,48.892024231756295,38.5,10.392024231756295
103,Nick Vannett,TE,28,2021,48.43215465853427,28.3,20.132154658534272
50,Geoff Swaim,TE,28,2021,48.28701132492415,70.0,-21.71298867507585
52,Geoff Swaim,TE,28,2021,48.28701132492415,70.0,-21.71298867507585
84,Maxx Williams,TE,27,2021,48.172675621661256,41.3,6.872675621661259
66,Brevin Jordan,TE,21,2021,47.34928683285534,55.8,-8.450713167144656
42,Dan Arnold,TE,26,2021,47.20401876752385,75.8,-28.59598123247615
110,Joe Fortson,TE,26,2021,47.19653093475472,21.7,25.49653093475472
106,Joe Fortson,TE,26,2021,46.91169894191444,21.7,25.211698941914438
108,Joe Fortson,TE,26,2021,46.91169894191444,21.7,25.211698941914438
112,Pharaoh Brown,TE,27,2021,46.22169666867944,38.1,8.12169666867944
39,Anthony Firkser,TE,26,2021,45.854049106948196,79.1,-33.2459508930518
40,Anthony Firkser,TE,26,2021,45.854049106948196,79.1,-33.2459508930518
83,Maxx Williams,TE,27,2021,45.58089510693503,41.3,4.280895106935034
104,Nick Vannett,TE,28,2021,45.57121505993268,28.3,17.271215059932683
74,Tommy Tremble,TE,21,2021,45.37996533964042,53.1,-7.72003466035958
38,Cameron Brate,TE,30,2021,45.12139637038263,78.5,-33.37860362961737
102,Nick Vannett,TE,28,2021,44.20307881378858,28.3,15.903078813788579
96,Marcedes Lewis,TE,37,2021,43.358234940588545,44.4,-1.0417650594114534
135,Kylen Granson,TE,23,2021,43.25595117933358,21.6,21.655951179333577
51,Geoff Swaim,TE,28,2021,43.24277318931695,70.0,-26.75722681068305
301,Deon Yelder,TE,26,2021,42.76390107287443,1.0,41.76390107287443
70,Adam Trautman,TE,24,2021,41.95900018768157,63.3,-21.34099981231843
31,Cole Kmet,TE,22,2021,40.69241378728066,121.2,-80.50758621271935
136,Kylen Granson,TE,23,2021,39.825991922920366,21.6,18.225991922920365
80,John Bates,TE,24,2021,39.39401782390041,50.9,-11.505982176099586
65,Brevin Jordan,TE,21,2021,39.38242993798144,55.8,-16.417570062018555
113,Pharaoh Brown,TE,27,2021,38.53072015942439,38.1,0.43072015942438924
305,Deon Yelder,TE,26,2021,38.34817805974512,1.0,37.34817805974512
302,Deon Yelder,TE,26,2021,38.34817805974512,1.0,37.34817805974512
304,Deon Yelder,TE,26,2021,38.34817805974512,1.0,37.34817805974512
168,Kendall Blanton,TE,26,2021,38.03568959442737,7.7,30.335689594427368
93,Blake Jarwin,TE,27,2021,37.933614466171775,32.6,5.333614466171774
43,Dan Arnold,TE,26,2021,36.37047377986437,75.8,-39.42952622013563
