,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
1,Travis Kelce,TE,32,2021,256.2559999999998,262.8,-6.54400000000021
4,George Kittle,TE,28,2021,198.29899999999998,198.0,0.29899999999997817
97,Marcedes Lewis,TE,37,2021,189.04000000000005,44.4,144.64000000000004
98,Marcedes Lewis,TE,37,2021,180.11599999999999,44.4,135.71599999999998
3,George Kittle,TE,28,2021,179.84099999999995,198.0,-18.15900000000005
17,Zach Ertz,TE,31,2021,173.48799999999994,180.7,-7.212000000000046
96,Marcedes Lewis,TE,37,2021,172.90499999999992,44.4,128.5049999999999
7,Hunter Henry,TE,27,2021,168.02100000000002,164.3,3.7210000000000036
0,Mark Andrews,TE,26,2021,164.69700000000003,301.1,-136.403
5,Rob Gronkowski,TE,32,2021,161.56099999999992,171.2,-9.639000000000067
8,Hunter Henry,TE,27,2021,159.97799999999998,164.3,-4.322000000000031
9,Hunter Henry,TE,27,2021,159.97799999999998,164.3,-4.322000000000031
19,Noah Fant,TE,24,2021,146.90599999999998,159.0,-12.094000000000023
27,Darren Waller,TE,29,2021,143.48900000000012,133.5,9.989000000000118
10,Dallas Goedert,TE,26,2021,143.02699999999993,165.0,-21.97300000000007
73,Kyle Rudolph,TE,32,2021,140.32699999999994,59.7,80.62699999999994
21,Tyler Higbee,TE,28,2021,139.65200000000002,147.0,-7.347999999999985
25,T.J. Hockenson,TE,24,2021,138.709,145.3,-6.591000000000008
29,David Njoku,TE,25,2021,137.21099999999998,107.6,29.61099999999999
24,T.J. Hockenson,TE,24,2021,136.22799999999998,145.3,-9.072000000000031
20,Tyler Higbee,TE,28,2021,134.81400000000008,147.0,-12.185999999999922
41,Albert Okwuegbunam,TE,23,2021,131.91299999999995,76.0,55.912999999999954
11,Dallas Goedert,TE,26,2021,129.18199999999993,165.0,-35.81800000000007
60,Hayden Hurst,TE,28,2021,126.81600000000009,64.1,62.71600000000009
2,Dalton Schultz,TE,25,2021,125.06700000000001,208.8,-83.733
14,Kyle Pitts,TE,21,2021,124.85099999999997,176.6,-51.749000000000024
12,Mike Gesicki,TE,26,2021,123.81599999999993,165.0,-41.18400000000007
59,Hayden Hurst,TE,28,2021,120.57400000000007,64.1,56.474000000000075
30,Gerald Everett,TE,27,2021,119.76800000000007,117.8,1.9680000000000746
13,Mike Gesicki,TE,26,2021,119.49299999999995,165.0,-45.50700000000005
32,Evan Engram,TE,27,2021,119.13400000000001,102.5,16.634000000000015
68,Logan Thomas,TE,30,2021,119.04900000000004,53.6,65.44900000000004
67,Logan Thomas,TE,30,2021,119.04900000000004,53.6,65.44900000000004
69,Logan Thomas,TE,30,2021,119.04900000000004,53.6,65.44900000000004
35,Austin Hooper,TE,27,2021,118.86399999999999,92.5,26.36399999999999
85,Brock Wright,TE,23,2021,116.679,35.7,80.979
6,Dawson Knox,TE,25,2021,115.42700000000005,164.1,-48.672999999999945
37,Jack Doyle,TE,31,2021,114.39799999999997,79.2,35.197999999999965
58,Hayden Hurst,TE,28,2021,113.132,64.1,49.03200000000001
76,Robert Tonyan,TE,27,2021,108.78900000000002,50.4,58.38900000000002
77,Robert Tonyan,TE,27,2021,108.78900000000002,50.4,58.38900000000002
63,Jimmy Graham,TE,35,2021,106.80999999999999,50.7,56.109999999999985
62,Josiah Deguara,TE,24,2021,106.15199999999999,61.5,44.65199999999999
22,Jared Cook,TE,34,2021,105.66799999999999,132.4,-26.732000000000014
23,Jared Cook,TE,34,2021,105.608,132.4,-26.792
61,Josiah Deguara,TE,24,2021,105.51999999999991,61.5,44.01999999999991
26,C.J. Uzomah,TE,28,2021,105.038,128.3,-23.262000000000015
90,Stephen Anderson,TE,28,2021,104.971,38.5,66.471
15,Kyle Pitts,TE,21,2021,102.73899999999999,176.6,-73.861
16,Kyle Pitts,TE,21,2021,102.73899999999999,176.6,-73.861
86,Brock Wright,TE,23,2021,102.14300000000001,35.7,66.44300000000001
36,Foster Moreau,TE,24,2021,98.64199999999995,85.3,13.341999999999956
79,James O'Shaughnessy,TE,29,2021,92.98700000000002,50.4,42.587000000000025
78,James O'Shaughnessy,TE,29,2021,92.98700000000002,50.4,42.587000000000025
44,Harrison Bryant,TE,23,2021,92.96899999999997,62.3,30.66899999999997
112,Pharaoh Brown,TE,27,2021,92.69799999999995,38.1,54.59799999999995
71,Adam Trautman,TE,24,2021,88.91300000000005,63.3,25.613000000000056
70,Adam Trautman,TE,24,2021,88.52100000000004,63.3,25.221000000000046
113,Pharaoh Brown,TE,27,2021,88.35499999999996,38.1,50.25499999999996
57,Ryan Griffin,TE,31,2021,88.22999999999998,65.1,23.12999999999998
100,Ian Thomas,TE,25,2021,87.73800000000001,36.8,50.93800000000002
64,Jimmy Graham,TE,35,2021,87.737,50.7,37.03699999999999
81,Will Dissly,TE,25,2021,85.77699999999996,50.1,35.67699999999996
89,Stephen Anderson,TE,28,2021,80.58899999999996,38.5,42.088999999999956
105,Jordan Akins,TE,29,2021,80.24800000000002,41.7,38.548000000000016
101,Ian Thomas,TE,25,2021,80.115,36.8,43.315
48,Ricky Seals-Jones,TE,26,2021,79.112,69.1,10.012
82,Will Dissly,TE,25,2021,78.23299999999992,50.1,28.132999999999917
75,Tommy Tremble,TE,21,2021,76.53700000000008,53.1,23.437000000000076
49,Jonnu Smith,TE,26,2021,76.10399999999998,67.4,8.70399999999998
47,Ricky Seals-Jones,TE,26,2021,76.06199999999995,69.1,6.961999999999961
136,Kylen Granson,TE,23,2021,75.30199999999999,21.6,53.70199999999999
28,Tyler Conklin,TE,26,2021,75.02900000000002,138.3,-63.27099999999999
94,Eric Ebron,TE,28,2021,74.41099999999997,32.5,41.91099999999997
95,Eric Ebron,TE,28,2021,73.10400000000001,32.5,40.60400000000001
56,Ryan Griffin,TE,31,2021,72.54199999999999,65.1,7.441999999999993
65,Brevin Jordan,TE,21,2021,70.75100000000003,55.8,14.951000000000036
66,Brevin Jordan,TE,21,2021,68.52400000000003,55.8,12.724000000000032
43,Dan Arnold,TE,26,2021,67.1,75.8,-8.700000000000003
74,Tommy Tremble,TE,21,2021,67.05100000000006,53.1,13.951000000000057
126,Lee Smith,TE,34,2021,63.20200000000004,21.5,41.70200000000004
34,Mo Alie-Cox,TE,28,2021,61.19099999999996,79.6,-18.409000000000034
33,Mo Alie-Cox,TE,28,2021,61.19099999999996,79.6,-18.409000000000034
135,Kylen Granson,TE,23,2021,60.68599999999999,21.6,39.08599999999999
72,MyCole Pruitt,TE,29,2021,60.071999999999974,48.5,11.571999999999974
80,John Bates,TE,24,2021,58.65299999999995,50.9,7.75299999999995
103,Nick Vannett,TE,28,2021,58.375999999999955,28.3,30.075999999999954
42,Dan Arnold,TE,26,2021,57.621999999999986,75.8,-18.17800000000001
93,Blake Jarwin,TE,27,2021,55.164999999999985,32.6,22.564999999999984
40,Anthony Firkser,TE,26,2021,52.60299999999998,79.1,-26.497000000000014
39,Anthony Firkser,TE,26,2021,52.60299999999998,79.1,-26.497000000000014
173,Darren Fells,TE,35,2021,51.19700000000001,8.3,42.897000000000006
104,Nick Vannett,TE,28,2021,50.95199999999997,28.3,22.65199999999997
172,Darren Fells,TE,35,2021,50.461999999999996,8.3,42.16199999999999
174,Darren Fells,TE,35,2021,50.461999999999996,8.3,42.16199999999999
175,Darren Fells,TE,35,2021,50.461999999999996,8.3,42.16199999999999
87,Zach Gentry,TE,25,2021,49.715,35.7,14.015
99,O.J. Howard,TE,27,2021,49.533,33.5,16.033
102,Nick Vannett,TE,28,2021,48.99199999999997,28.3,20.691999999999968
176,Darren Fells,TE,35,2021,46.949000000000005,8.3,38.649
52,Geoff Swaim,TE,28,2021,46.580999999999975,70.0,-23.419000000000025
50,Geoff Swaim,TE,28,2021,46.580999999999975,70.0,-23.419000000000025
51,Geoff Swaim,TE,28,2021,46.566999999999986,70.0,-23.433000000000014
88,Zach Gentry,TE,25,2021,46.254000000000005,35.7,10.554000000000002
125,Drew Sample,TE,25,2021,44.568000000000005,19.1,25.468000000000004
122,Drew Sample,TE,25,2021,44.568000000000005,19.1,25.468000000000004
91,Tyler Kroft,TE,29,2021,42.91700000000002,39.3,3.6170000000000258
124,Drew Sample,TE,25,2021,42.209,19.1,23.109
123,Drew Sample,TE,25,2021,41.946,19.1,22.845999999999997
92,Tyler Kroft,TE,29,2021,41.78900000000002,39.3,2.4890000000000256
31,Cole Kmet,TE,22,2021,40.07600000000001,121.2,-81.124
55,Durham Smythe,TE,26,2021,38.978999999999964,70.0,-31.021000000000036
53,Durham Smythe,TE,26,2021,38.978999999999964,70.0,-31.021000000000036
45,Juwan Johnson,TE,25,2021,38.04800000000001,52.9,-14.85199999999999
54,Durham Smythe,TE,26,2021,37.359999999999985,70.0,-32.640000000000015
164,Charlie Woerner,TE,24,2021,34.8,10.2,24.599999999999998
159,Josh Oliver,TE,24,2021,34.67099999999999,15.6,19.07099999999999
158,Josh Oliver,TE,24,2021,34.244,15.6,18.644
303,Deon Yelder,TE,26,2021,33.08400000000002,1.0,32.08400000000002
128,Jesse James,TE,27,2021,32.97299999999999,19.2,13.772999999999993
189,Trevon Wesco,TE,26,2021,32.42400000000001,6.5,25.924000000000007
162,Luke Farrell,TE,24,2021,31.193000000000005,12.6,18.593000000000004
129,Jesse James,TE,27,2021,31.01599999999999,19.2,11.815999999999992
156,Josh Oliver,TE,24,2021,30.78699999999999,15.6,15.186999999999989
161,Luke Farrell,TE,24,2021,30.617000000000008,12.6,18.01700000000001
83,Maxx Williams,TE,27,2021,30.34299999999999,41.3,-10.957000000000008
106,Joe Fortson,TE,26,2021,29.995999999999995,21.7,8.295999999999996
108,Joe Fortson,TE,26,2021,29.995999999999995,21.7,8.295999999999996
110,Joe Fortson,TE,26,2021,29.966000000000005,21.7,8.266000000000005
145,Chris Herndon,TE,25,2021,29.74999999999999,14.0,15.74999999999999
38,Cameron Brate,TE,30,2021,29.327999999999996,78.5,-49.172000000000004
84,Maxx Williams,TE,27,2021,29.025999999999982,41.3,-12.274000000000015
168,Kendall Blanton,TE,26,2021,28.664999999999996,7.7,20.964999999999996
190,Trevon Wesco,TE,26,2021,28.43000000000001,6.5,21.93000000000001
187,Parker Hesse,TE,26,2021,26.826999999999998,9.3,17.526999999999997
119,Chris Manhertz,TE,29,2021,26.693000000000005,19.1,7.5930000000000035
160,Josh Oliver,TE,24,2021,26.52999999999999,15.6,10.92999999999999
157,Josh Oliver,TE,24,2021,26.52999999999999,15.6,10.92999999999999
166,Charlie Woerner,TE,24,2021,26.50000000000001,10.2,16.30000000000001
165,Charlie Woerner,TE,24,2021,26.50000000000001,10.2,16.30000000000001
144,Chris Herndon,TE,25,2021,26.415,14.0,12.415
140,Blake Bell,TE,30,2021,25.650999999999986,18.7,6.950999999999986
139,Blake Bell,TE,30,2021,25.446999999999974,18.7,6.746999999999975
167,Kendall Blanton,TE,26,2021,25.35599999999999,7.7,17.65599999999999
188,Parker Hesse,TE,26,2021,24.49,9.3,15.189999999999998
18,Pat Freiermuth,TE,23,2021,24.47599999999999,151.7,-127.224
301,Deon Yelder,TE,26,2021,24.175000000000004,1.0,23.175000000000004
186,Parker Hesse,TE,26,2021,23.592000000000002,9.3,14.292000000000002
185,Parker Hesse,TE,26,2021,23.592000000000002,9.3,14.292000000000002
141,Adam Shaheen,TE,27,2021,23.307,23.0,0.3069999999999986
170,Tyler Davis,TE,24,2021,23.168999999999986,7.5,15.668999999999986
169,Tyler Davis,TE,24,2021,23.168999999999986,7.5,15.668999999999986
171,Tyler Davis,TE,24,2021,23.168999999999986,7.5,15.668999999999986
195,Dominique Dafney,TE,24,2021,22.295000000000012,5.4,16.89500000000001
201,Dominique Dafney,TE,24,2021,22.295000000000012,5.4,16.89500000000001
197,Dominique Dafney,TE,24,2021,22.097000000000012,5.4,16.69700000000001
305,Deon Yelder,TE,26,2021,21.706000000000003,1.0,20.706000000000003
304,Deon Yelder,TE,26,2021,21.706000000000003,1.0,20.706000000000003
302,Deon Yelder,TE,26,2021,21.706000000000003,1.0,20.706000000000003
117,Jesper Horsted,TE,24,2021,21.615,16.1,5.514999999999997
116,Jesper Horsted,TE,24,2021,21.615,16.1,5.514999999999997
115,Jesper Horsted,TE,24,2021,21.615,16.1,5.514999999999997
114,Jesper Horsted,TE,24,2021,21.615,16.1,5.514999999999997
199,Dominique Dafney,TE,24,2021,21.493000000000006,5.4,16.093000000000004
46,Donald Parham,TE,24,2021,20.402999999999984,59.0,-38.597000000000016
120,Chris Manhertz,TE,29,2021,19.282000000000004,19.1,0.18200000000000216
121,Chris Manhertz,TE,29,2021,18.464,19.1,-0.6360000000000028
118,Chris Manhertz,TE,29,2021,18.464,19.1,-0.6360000000000028
306,Daniel Helm,TE,26,2021,17.947000000000003,0.9,17.047000000000004
138,Eric Saubert,TE,27,2021,17.466999999999988,18.7,-1.2330000000000112
