,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
3,George Kittle,TE,28.0,2021,148.33921743127627,198.0,-49.66078256872373
1,Travis Kelce,TE,32.0,2021,141.37238563902775,262.8,-121.42761436097226
4,George Kittle,TE,28.0,2021,130.27710849390144,198.0,-67.72289150609856
18,Jared Cook,TE,34.0,2021,122.24482223184708,132.4,-10.155177768152925
14,Zach Ertz,TE,31.0,2021,119.14091069481685,180.7,-61.559089305183136
23,Darren Waller,TE,29.0,2021,117.30006317137821,133.5,-16.199936828621787
19,Jared Cook,TE,34.0,2021,111.12281327263219,132.4,-21.27718672736782
0,Mark Andrews,TE,26.0,2021,105.54664206552133,301.1,-195.5533579344787
28,Evan Engram,TE,27.0,2021,104.0253883710775,102.5,1.5253883710774971
5,Rob Gronkowski,TE,32.0,2021,103.9035752067669,171.2,-67.29642479323309
15,Noah Fant,TE,24.0,2021,102.6404949784025,159.0,-56.3595050215975
13,Mike Gesicki,TE,26.0,2021,101.9754024639214,165.0,-63.0245975360786
83,Eric Ebron,TE,28.0,2021,97.08250838995059,32.5,64.58250838995059
59,Jimmy Graham,TE,35.0,2021,96.4177649741793,50.7,45.7177649741793
20,T.J. Hockenson,TE,24.0,2021,95.54049932787416,145.3,-49.75950067212585
84,Eric Ebron,TE,28.0,2021,93.56900632625565,32.5,61.069006326255646
88,O.J. Howard,TE,27.0,2021,89.92105975216901,33.5,56.421059752169015
60,Jimmy Graham,TE,35.0,2021,86.28137974192208,50.7,35.58137974192208
45,Jonnu Smith,TE,26.0,2021,86.0319456035877,67.4,18.631945603587695
21,T.J. Hockenson,TE,24.0,2021,85.16689686523415,145.3,-60.13310313476586
11,Dallas Goedert,TE,26.0,2021,83.95262582429655,165.0,-81.04737417570345
31,Austin Hooper,TE,27.0,2021,81.0151837848224,92.5,-11.484816215177602
12,Mike Gesicki,TE,26.0,2021,78.12866451738108,165.0,-86.87133548261892
7,Hunter Henry,TE,27.0,2021,66.3990674449069,164.3,-97.9009325550931
9,Hunter Henry,TE,27.0,2021,65.43598925058569,164.3,-98.86401074941432
8,Hunter Henry,TE,27.0,2021,65.43598925058569,164.3,-98.86401074941432
69,Robert Tonyan,TE,27.0,2021,64.68836880757345,50.4,14.288368807573455
68,Robert Tonyan,TE,27.0,2021,64.68836880757345,50.4,14.288368807573455
25,David Njoku,TE,25.0,2021,62.875788639024506,107.6,-44.72421136097549
62,Logan Thomas,TE,30.0,2021,62.74875323923766,53.6,9.148753239237656
61,Logan Thomas,TE,30.0,2021,62.74875323923766,53.6,9.148753239237656
63,Logan Thomas,TE,30.0,2021,62.74875323923766,53.6,9.148753239237656
54,Hayden Hurst,TE,28.0,2021,61.2894216009791,64.1,-2.8105783990208977
67,Kyle Rudolph,TE,32.0,2021,61.19013512886164,59.7,1.4901351288616382
56,Hayden Hurst,TE,28.0,2021,60.83036748042201,64.1,-3.269632519577982
10,Dallas Goedert,TE,26.0,2021,60.10588787775623,165.0,-104.89411212224377
17,Tyler Higbee,TE,28.0,2021,58.54605637836136,147.0,-88.45394362163864
55,Hayden Hurst,TE,28.0,2021,57.96432329553653,64.1,-6.135676704463464
43,Ricky Seals-Jones,TE,26.0,2021,56.44381589266658,69.1,-12.656184107333416
138,Darren Fells,TE,35.0,2021,54.929568099773974,8.3,46.62956809977398
140,Darren Fells,TE,35.0,2021,54.929568099773974,8.3,46.62956809977398
141,Darren Fells,TE,35.0,2021,54.929568099773974,8.3,46.62956809977398
44,Ricky Seals-Jones,TE,26.0,2021,54.44754153322623,69.1,-14.652458466773766
34,Cameron Brate,TE,30.0,2021,51.92334072566632,78.5,-26.57665927433368
16,Tyler Higbee,TE,28.0,2021,50.91368493183069,147.0,-96.08631506816931
139,Darren Fells,TE,35.0,2021,50.73806331940551,8.3,42.438063319405515
26,Gerald Everett,TE,27.0,2021,47.44225543718949,117.8,-70.35774456281051
40,Harrison Bryant,TE,23.0,2021,45.76659579361802,62.3,-16.533404206381974
127,Chris Herndon,TE,25.0,2021,43.57775252212463,14.0,29.577752522124626
33,Jack Doyle,TE,31.0,2021,43.41535246303732,79.2,-35.78464753696268
142,Darren Fells,TE,35.0,2021,41.830087937639746,8.3,33.53008793763975
6,Dawson Knox,TE,25.0,2021,39.44974410683744,164.1,-124.65025589316255
89,Ian Thomas,TE,25.0,2021,39.27541164912975,36.8,2.4754116491297538
86,Marcedes Lewis,TE,37.0,2021,38.97851920671775,44.4,-5.4214807932822495
27,Cole Kmet,TE,22.0,2021,38.21066373546421,121.2,-82.9893362645358
82,Blake Jarwin,TE,27.0,2021,37.93859959969228,32.6,5.33859959969228
38,Dan Arnold,TE,26.0,2021,37.83474302699784,75.8,-37.965256973002155
32,Foster Moreau,TE,24.0,2021,35.17563606732,85.3,-50.12436393268
