,Player,Position,Age,Year,Model_Projection_Points,#,StdDev,High,Low
0,Justin Jefferson,WR,23.0,2022,286.70581512143184,6.0,1.6,1.01,1.11
1,Ja'Marr Chase,WR,22.0,2022,274.647400664363,9.0,1.9,1.01,2.06
2,Cooper Kupp,WR,29.0,2022,268.6277189150935,4.0,1.7,1.01,2.05
3,Davante Adams,WR,30.0,2022,255.57966020720065,11.0,2.2,1.01,2.09
4,Tyreek Hill,WR,28.0,2022,234.20794836120217,22.0,3.0,1.02,3.11
5,Amon-Ra St. Brown,WR,23.0,2022,224.38353807675537,84.0,7.8,4.01,10.11
6,Stefon Diggs,WR,29.0,2022,220.69348983627953,13.0,2.3,1.01,2.1
7,Chris Godwin,WR,26.0,2022,216.84161781291232,58.0,6.1,2.09,7.05
8,D.K. Metcalf,WR,25.0,2022,215.12250279603802,42.0,4.6,2.07,5.12
9,CeeDee Lamb,WR,23.0,2022,212.28412162009232,17.0,2.6,1.01,3.01
10,Deebo Samuel,WR,26.0,2022,208.7276275680672,19.0,2.7,1.03,3.04
11,Jaylen Waddle,WR,24.0,2022,207.2655254573705,49.0,5.6,2.09,6.06
12,Diontae Johnson,WR,26.0,2022,203.21468060548403,46.0,4.8,2.12,6.1
13,Tee Higgins,WR,23.0,2022,202.90826826283373,34.0,3.5,1.09,4.09
14,A.J. Brown,WR,25.0,2022,199.39326582818762,30.0,3.3,1.12,4.11
15,DeAndre Hopkins,WR,30.0,2022,198.95486882811895,55.0,6.2,2.08,6.12
16,Mike Evans,WR,29.0,2022,193.7787216474144,25.0,3.1,1.02,3.12
17,Tyler Lockett,WR,30.0,2022,193.366774569062,111.0,7.2,6.02,11.1
18,Amari Cooper,WR,28.0,2022,191.03866661798088,76.0,6.4,4.01,9.03
19,Keenan Allen,WR,30.0,2022,187.04165108830443,28.0,3.3,2.01,4.03
20,D.J. Moore,WR,25.0,2022,185.08561793779745,44.0,5.1,1.12,6.02
21,Chase Claypool,WR,24.0,2022,180.96745585065275,115.0,8.3,4.06,13.02
22,DeVonta Smith,WR,24.0,2022,179.54612359150363,87.0,6.9,3.01,9.09
23,Michael Pittman Jr.,WR,25.0,2022,176.97139140091477,31.0,3.1,1.06,4.05
24,Brandon Aiyuk,WR,24.0,2022,175.09507510379157,100.0,7.7,4.09,10.11
25,Darren Waller,WR,30.0,2022,173.0717650498408,52.0,5.8,1.07,6.1
26,Terry McLaurin,WR,27.0,2022,172.4806594207157,39.0,3.8,1.07,5.03
27,Marquise Brown,WR,25.0,2022,171.02764093394148,77.0,6.3,3.08,8.1
28,Calvin Ridley,WR,28.0,2022,170.28225425062635,204.0,15.8,8.05,16.06
29,Allen Robinson,WR,29.0,2022,168.88464974917093,62.0,6.1,3.01,7.1
30,Hunter Renfrow,WR,27.0,2022,167.69012782832365,70.0,6.2,3.11,8.04
31,Darnell Mooney,WR,25.0,2022,163.50339534150825,75.0,6.1,4.01,8.12
32,Robert Woods,WR,30.0,2022,161.95231269322986,103.0,7.2,4.11,11.01
33,Brandin Cooks,WR,29.0,2022,156.2687144623863,60.0,5.2,2.12,7.03
34,Michael Gallup,WR,26.0,2022,156.2112864983955,125.0,9.5,2.06,13.06
35,Tyler Boyd,WR,28.0,2022,153.3850145977123,144.0,12.6,6.12,15.06
36,Christian Kirk,WR,26.0,2022,152.0973703401849,112.0,7.3,6.05,12.06
37,Mike Williams,WR,28.0,2022,149.6813866604571,51.0,6.1,2.12,6.08
38,Adam Thielen,WR,32.0,2022,149.29841108232716,65.0,6.2,3.02,7.11
39,Robby Anderson,WR,29.0,2022,148.28132084365848,248.0,26.8,6.01,18.05
40,DeVante Parker,WR,29.0,2022,148.28132084365848,139.0,9.4,8.05,14.07
41,Russell Gage,WR,26.0,2022,141.51532418196376,114.0,7.9,3.01,12.05
42,K.J. Osborn,WR,25.0,2022,141.12260316715083,228.0,19.4,10.05,18.05
43,Jarvis Landry,WR,30.0,2022,139.47485332878608,143.0,11.9,3.02,16.01
44,Mecole Hardman,WR,24.0,2022,138.9743623645834,168.0,15.9,6.1,15.12
45,Elijah Moore,WR,22.0,2022,136.7325905542578,94.0,7.6,2.06,10.06
46,Gabriel Davis,WR,23.0,2022,136.01893039593236,79.0,6.9,3.11,9.01
47,DJ Chark,WR,26.0,2022,135.7115922500385,,,,
48,Marvin Jones,WR,32.0,2022,134.98369575291335,253.0,33.2,5.03,18.05
49,JuJu Smith-Schuster,WR,26.0,2022,132.20680511775987,90.0,9.3,2.05,10.11
50,Jakobi Meyers,WR,26.0,2022,131.02776590749096,197.0,15.8,8.05,16.08
51,Jamison Crowder,WR,29.0,2022,126.98310692454032,274.0,23.6,9.09,18.06
52,Jerry Jeudy,WR,23.0,2022,123.35480590224637,68.0,6.3,3.02,7.11
53,DeVante Parker,WR,29.0,2022,122.98107560559993,139.0,9.4,8.05,14.07
54,Robby Anderson,WR,29.0,2022,122.98107560559993,248.0,26.8,6.01,18.05
55,Corey Davis,WR,27.0,2022,122.6380914668342,267.0,23.8,13.02,19.05
56,Julio Jones,WR,33.0,2022,119.16895641474088,151.0,15.6,3.06,15.11
57,Courtland Sutton,WR,27.0,2022,118.91425208873841,69.0,8.5,2.07,8.04
58,Kenny Golladay,WR,29.0,2022,116.85067181246235,216.0,18.7,9.07,17.09
59,Rondale Moore,WR,22.0,2022,112.76787966913537,189.0,16.3,9.03,16.08
60,Van Jefferson,WR,26.0,2022,110.52369243795835,270.0,28.4,7.09,18.08
61,Allen Lazard,WR,27.0,2022,110.03008324180003,102.0,8.5,5.03,11.06
62,Chuba Hubbard,RB,23.0,2022,108.97284592415207,135.0,11.4,5.02,14.03
63,Rashod Bateman,WR,23.0,2022,108.97284592415207,95.0,7.9,4.07,10.11
64,Nico Collins,WR,23.0,2022,102.58911391778697,230.0,22.1,8.04,18.06
65,Josh Palmer,WR,24.0,2022,101.60507135734693,211.0,22.4,9.1,18.06
66,Tim Patrick,WR,29.0,2022,100.10747235323475,238.0,15.6,11.07,16.11
67,Kadarius Toney,WR,23.0,2022,99.98827676166644,117.0,8.3,6.01,13.06
68,Cordarrelle Patterson,WR,31.0,2022,98.95051980526537,98.0,8.8,3.08,10.1
69,Nelson Agholor,WR,29.0,2022,98.47246209083077,113.0,31.5,3.01,13.01
70,Randall Cobb,WR,32.0,2022,79.76691069532052,192.0,45.9,3.07,19.04
71,Sammy Watkins,WR,29.0,2022,77.89587537473943,269.0,25.3,7.07,18.06
72,Isaiah McKenzie,WR,27.0,2022,76.74886933370067,213.0,21.1,6.07,17.12
73,Marquez Valdes-Scantling,WR,28.0,2022,74.77940081338471,154.0,12.5,5.11,15.1
74,Parris Campbell,WR,25.0,2022,41.51992734655232,210.0,16.2,11.03,15.12
