,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
134,Calvin Ridley,WR,27.0,2021,260.31640000000056,71.1,189.21640000000056
10,Stefon Diggs,WR,28.0,2021,246.77840000000026,285.5,-38.72159999999974
11,Jacob Hollister,TE,28.0,2021,246.77840000000026,285.5,-38.72159999999974
9,Tyreek Hill,WR,27.0,2021,237.5344000000001,296.5,-58.96559999999991
28,Brandin Cooks,WR,28.0,2021,234.6446000000003,231.8,2.8446000000002982
5,Justin Jefferson,WR,22.0,2021,232.20839999999964,330.4,-98.19160000000034
32,Amari Cooper,WR,27.0,2021,231.82880000000048,202.5,29.328800000000484
27,Chris Godwin,WR,25.0,2021,230.23860000000028,242.4,-12.16139999999973
14,D.K. Metcalf,WR,24.0,2021,225.6990000000007,244.3,-18.600999999999317
6,Davante Adams,WR,29.0,2021,224.08679999999984,344.3,-120.21320000000017
20,Anthony McFarland Jr.,RB,22.0,2021,220.78480000000056,232.8,-12.015199999999453
18,CeeDee Lamb,WR,22.0,2021,220.78480000000056,232.8,-12.015199999999453
19,Clyde Edwards-Helaire,RB,22.0,2021,220.78480000000056,232.8,-12.015199999999453
7,Mike Evans,WR,28.0,2021,220.5148000000008,262.5,-41.985199999999196
36,A.J. Brown,WR,24.0,2021,215.58120000000005,180.9,34.68120000000005
303,Will Fuller,WR,27.0,2021,214.54999999999976,8.6,205.94999999999976
30,Terry McLaurin,WR,26.0,2021,214.33200000000065,213.5,0.8320000000006473
42,Chase Claypool,WR,23.0,2021,210.26180000000042,166.6,43.661800000000426
86,Corey Davis,WR,26.0,2021,209.24740000000034,105.2,104.04740000000034
15,Tyler Lockett,WR,29.0,2021,209.2354,241.4,-32.16460000000001
47,DeAndre Hopkins,WR,29.0,2021,208.72280000000055,147.2,61.52280000000056
120,Allen Robinson,WR,28.0,2021,204.5692000000004,87.0,117.5692000000004
25,Tee Higgins,WR,22.0,2021,202.96380000000053,219.1,-16.136199999999462
39,Tyler Boyd,WR,27.0,2021,201.77140000000065,183.8,17.971400000000642
26,D.J. Moore,WR,24.0,2021,200.59480000000053,237.5,-36.90519999999947
33,Adam Thielen,WR,31.0,2021,197.8878000000003,199.8,-1.9121999999997001
0,Cooper Kupp,WR,28.0,2021,191.17779999999954,439.5,-248.32220000000046
119,Julio Jones,WR,32.0,2021,188.17160000000018,80.4,107.77160000000018
13,Mike Williams,WR,27.0,2021,181.03040000000018,246.6,-65.56959999999981
56,Robert Woods,WR,29.0,2021,180.95760000000018,137.2,43.757600000000195
22,Keenan Allen,WR,29.0,2021,178.34820000000005,257.8,-79.45179999999996
238,JuJu Smith-Schuster,WR,25.0,2021,177.20860000000022,34.8,142.4086000000002
16,Diontae Johnson,WR,25.0,2021,172.54300000000012,274.4,-101.85699999999986
29,Darnell Mooney,WR,24.0,2021,167.04140000000032,219.7,-52.658599999999666
31,Marquise Brown,WR,24.0,2021,165.8582,226.3,-60.4418
40,Brandon Aiyuk,WR,23.0,2021,161.9762000000003,170.3,-8.323799999999721
57,Gabriel Davis,WR,22.0,2021,161.3526000000004,125.9,35.45260000000039
63,Kenny Golladay,WR,28.0,2021,158.20020000000062,89.1,69.10020000000063
62,Robby Anderson,WR,28.0,2021,158.20020000000062,89.1,69.10020000000063
69,Jarvis Landry,WR,29.0,2021,155.7266,133.0,22.72659999999999
105,Michael Gallup,WR,25.0,2021,154.9460000000004,91.5,63.446000000000396
34,Christian Kirk,WR,25.0,2021,153.85260000000014,207.6,-53.74739999999986
361,Tyrell Williams,WR,29.0,2021,153.74700000000018,3.4,150.34700000000018
129,Darius Slayton,WR,24.0,2021,153.16660000000024,68.6,84.56660000000025
321,Curtis Samuel,WR,25.0,2021,153.02140000000028,9.8,143.22140000000027
68,Mecole Hardman,WR,23.0,2021,152.5898000000001,140.9,11.689800000000105
2,Deebo Samuel,WR,25.0,2021,148.69159999999977,339.0,-190.30840000000023
116,T.Y. Hilton,WR,32.0,2021,147.8162000000001,74.1,73.7162000000001
58,Emmanuel Sanders,WR,34.0,2021,145.37520000000018,131.7,13.675200000000189
59,Robby Anderson,WR,28.0,2021,144.97920000000022,138.5,6.479200000000219
60,Kenny Golladay,WR,28.0,2021,144.97920000000022,138.5,6.479200000000219
55,Courtland Sutton,WR,26.0,2021,143.80640000000028,150.2,-6.393599999999708
131,Sterling Shepard,WR,28.0,2021,142.49400000000034,77.7,64.79400000000034
71,Antonio Brown,WR,33.0,2021,141.9838000000003,121.1,20.883800000000292
43,Marvin Jones,WR,31.0,2021,139.81540000000007,180.2,-40.38459999999992
93,DeVante Parker,WR,28.0,2021,138.9202000000005,103.5,35.420200000000506
102,Jamison Crowder,WR,28.0,2021,137.34839999999994,109.7,27.64839999999994
89,Nelson Agholor,WR,28.0,2021,135.46920000000006,103.4,32.06920000000005
72,Cole Beasley,WR,32.0,2021,134.01979999999995,159.3,-25.280200000000065
226,DJ Chark,WR,25.0,2021,133.7038,34.4,99.3038
35,Kendrick Bourne,WR,26.0,2021,130.5333999999999,180.5,-49.96660000000011
258,Anthony Miller,WR,27.0,2021,130.26979999999998,14.5,115.76979999999998
65,Odell Beckham Jr.,WR,29.0,2021,129.26840000000018,129.1,0.16840000000019018
54,Russell Gage,WR,25.0,2021,115.98979999999982,163.0,-47.01020000000018
95,Laviska Shenault Jr.,WR,23.0,2021,115.93979999999982,127.0,-11.06020000000018
106,Zach Pascal,WR,27.0,2021,115.67920000000007,94.5,21.179200000000066
241,Mohamed Sanu,WR,32.0,2021,114.57299999999992,32.7,81.87299999999992
17,Hunter Renfrow,WR,26.0,2021,112.95799999999976,259.1,-146.14200000000028
125,Danny Amendola,WR,36.0,2021,112.61360000000022,68.8,43.81360000000022
262,Dede Westbrook,WR,28.0,2021,110.95580000000001,16.8,94.15580000000001
128,Chris Conley,WR,29.0,2021,100.58019999999998,64.6,35.98019999999998
50,Jakobi Meyers,WR,25.0,2021,95.77439999999986,186.3,-90.52560000000015
