,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
2,Ja'Marr Chase,WR,21,2021,285.803577521991,304.6,-18.79642247800905
6,Tyreek Hill,WR,27,2021,258.55122482218303,296.5,-37.94877517781697
4,Davante Adams,WR,29,2021,253.70822019017578,344.3,-90.59177980982423
9,D.K. Metcalf,WR,24,2021,251.1670646885325,244.3,6.86706468853248
3,Justin Jefferson,WR,22,2021,249.81829312128752,330.4,-80.58170687871245
7,Stefon Diggs,WR,28,2021,238.20977912598323,285.5,-47.29022087401677
0,Cooper Kupp,WR,28,2021,237.49578002974727,439.5,-202.00421997025273
10,Tyler Lockett,WR,29,2021,231.73290673347515,241.4,-9.667093266524859
21,Jaylen Waddle,WR,23,2021,231.598144283088,245.8,-14.201855716912007
18,D.J. Moore,WR,24,2021,221.3167299264237,237.5,-16.183270073576296
20,Chris Godwin,WR,25,2021,218.41443217729784,242.4,-23.985567822702166
5,Mike Evans,WR,28,2021,217.06760794291063,262.5,-45.43239205708937
15,Keenan Allen,WR,29,2021,216.63387692365268,257.8,-41.16612307634733
38,Tyler Boyd,WR,27,2021,208.11969463675405,183.8,24.319694636754036
35,A.J. Brown,WR,24,2021,201.0291444943,180.9,20.129144494299993
48,DeAndre Hopkins,WR,29,2021,199.4354416934034,147.2,52.2354416934034
19,Chris Godwin,WR,25,2021,195.35349328079155,242.4,-47.04650671920845
14,CeeDee Lamb,WR,22,2021,194.97493991159877,232.8,-37.825060088401244
8,Mike Williams,WR,27,2021,193.4429756734014,246.6,-53.15702432659859
17,Tee Higgins,WR,22,2021,192.54100784238017,219.1,-26.558992157619826
1,Deebo Samuel,WR,25,2021,190.5793524606529,339.0,-148.4206475393471
28,Amari Cooper,WR,27,2021,189.0057925043359,202.5,-13.494207495664114
42,Chase Claypool,WR,23,2021,187.0553729286396,166.6,20.455372928639605
43,Chase Claypool,WR,23,2021,184.6943027493969,166.6,18.094302749396917
27,Marquise Brown,WR,24,2021,178.46434105539447,226.3,-47.83565894460554
25,Terry McLaurin,WR,26,2021,177.7849537911361,213.5,-35.715046208863896
11,Diontae Johnson,WR,25,2021,177.49890997732223,274.4,-96.90109002267775
24,Amon-Ra St. Brown,WR,22,2021,176.9478293026084,227.3,-50.352170697391614
46,Marvin Jones,WR,31,2021,173.92758276888844,180.2,-6.272417231111547
41,K.J. Osborn,WR,24,2021,171.37576910316898,158.5,12.875769103168977
23,Darnell Mooney,WR,24,2021,171.12631401506633,219.7,-48.57368598493366
91,Rondale Moore,WR,21,2021,169.503650138078,109.1,60.40365013807801
68,Robby Anderson,WR,28,2021,168.59847271588842,138.5,30.09847271588842
67,Robby Anderson,WR,28,2021,168.59412736251807,138.5,30.094127362518066
13,Hunter Renfrow,WR,26,2021,165.54764961618116,259.1,-93.55235038381886
31,Kendrick Bourne,WR,26,2021,164.17640581322235,180.5,-16.323594186777655
40,K.J. Osborn,WR,24,2021,164.00640946087333,158.5,5.5064094608733285
22,Brandin Cooks,WR,28,2021,163.99328407962935,231.8,-67.80671592037066
32,Kendrick Bourne,WR,26,2021,163.9475170801927,180.5,-16.55248291980729
60,Elijah Moore,WR,21,2021,161.9624250942336,138.2,23.762425094233606
33,DeVonta Smith,WR,23,2021,161.74964428154408,185.6,-23.850355718455916
111,Laviska Shenault Jr.,WR,23,2021,161.62003941397052,127.0,34.62003941397052
30,Christian Kirk,WR,25,2021,160.33441233307394,207.6,-47.26558766692605
92,Rondale Moore,WR,21,2021,159.3755651897684,109.1,50.2755651897684
34,DeVonta Smith,WR,23,2021,158.41206413181612,185.6,-27.18793586818387
44,Marvin Jones,WR,31,2021,155.9788836768446,180.2,-24.2211163231554
45,Marvin Jones,WR,31,2021,154.79415871502465,180.2,-25.405841284975338
12,Hunter Renfrow,WR,26,2021,153.64547897338116,259.1,-105.45452102661886
26,Marquise Brown,WR,24,2021,152.2962738179533,226.3,-74.0037261820467
39,Brandon Aiyuk,WR,23,2021,151.80240666004715,170.3,-18.497593339952857
16,Michael Pittman Jr.,WR,24,2021,150.37106311820912,238.6,-88.22893688179087
59,Elijah Moore,WR,21,2021,148.14019654883532,138.2,9.940196548835331
64,Robert Woods,WR,29,2021,147.86160357405606,137.2,10.661603574056073
74,Jarvis Landry,WR,29,2021,146.88482256786733,133.0,13.884822567867332
127,Allen Robinson,WR,28,2021,145.9105370375837,87.0,58.91053703758371
75,Jarvis Landry,WR,29,2021,144.925634100857,133.0,11.925634100856996
76,Jarvis Landry,WR,29,2021,144.7898595242018,133.0,11.789859524201802
124,Marquez Valdes-Scantling,WR,27,2021,144.75783055293414,87.0,57.75783055293414
81,Cole Beasley,WR,32,2021,144.03011889893764,159.3,-15.269881101062367
105,DeVante Parker,WR,28,2021,142.41639991904458,103.5,38.91639991904458
57,Russell Gage,WR,25,2021,141.53688200250258,163.0,-21.46311799749742
58,Russell Gage,WR,25,2021,141.53688200250258,163.0,-21.46311799749742
63,Robert Woods,WR,29,2021,139.9100120787905,137.2,2.7100120787904984
29,Adam Thielen,WR,31,2021,138.2273446071606,199.8,-61.57265539283941
94,Quez Watkins,WR,23,2021,137.9890413988005,116.0,21.98904139880051
126,Allen Robinson,WR,28,2021,137.96396225813692,87.0,50.96396225813692
123,Marquez Valdes-Scantling,WR,27,2021,136.81125577348735,87.0,49.811255773487346
73,Mecole Hardman,WR,23,2021,136.57183728418158,140.9,-4.328162715818422
152,Julio Jones,WR,32,2021,134.27580524147243,80.4,53.87580524147242
128,Allen Robinson,WR,28,2021,133.55422584665394,87.0,46.554225846653935
37,Van Jefferson,WR,25,2021,132.4573946623841,168.2,-35.742605337615885
125,Marquez Valdes-Scantling,WR,27,2021,132.40151936200436,87.0,45.401519362004365
69,Odell Beckham Jr.,WR,29,2021,131.64351241873624,129.1,2.543512418736242
65,Gabriel Davis,WR,22,2021,131.11790242281336,125.9,5.217902422813353
101,DeVante Parker,WR,28,2021,130.65034664689392,103.5,27.150346646893922
100,Jalen Guyton,WR,24,2021,129.93559468745684,97.2,32.73559468745684
95,Corey Davis,WR,26,2021,129.5536078949258,105.2,24.353607894925787
134,Michael Gallup,WR,25,2021,129.13833541471217,91.5,37.638335414712174
