,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
4,Davante Adams,WR,29,2021,288.23999999999995,344.3,-56.06000000000006
6,Tyreek Hill,WR,27,2021,280.64,296.5,-15.860000000000014
10,Tyler Lockett,WR,29,2021,261.14,241.4,19.73999999999998
48,DeAndre Hopkins,WR,29,2021,257.62,147.2,110.42000000000002
19,Chris Godwin,WR,25,2021,243.04000000000002,242.4,0.6400000000000148
3,Justin Jefferson,WR,22,2021,240.2,330.4,-90.19999999999999
29,Adam Thielen,WR,31,2021,231.98000000000002,199.8,32.18000000000001
14,CeeDee Lamb,WR,22,2021,229.62000000000003,232.8,-3.1799999999999784
38,Tyler Boyd,WR,27,2021,222.84,183.8,39.03999999999999
9,D.K. Metcalf,WR,24,2021,222.38000000000002,244.3,-21.919999999999987
22,Brandin Cooks,WR,28,2021,221.46000000000004,231.8,-10.339999999999975
77,Antonio Brown,WR,33,2021,220.9,121.1,99.80000000000001
5,Mike Evans,WR,28,2021,218.66,262.5,-43.84
8,Mike Williams,WR,27,2021,218.51999999999998,246.6,-28.080000000000013
43,Chase Claypool,WR,23,2021,213.63999999999996,166.6,47.039999999999964
18,D.J. Moore,WR,24,2021,213.01999999999998,237.5,-24.480000000000018
152,Julio Jones,WR,32,2021,212.42,80.4,132.01999999999998
240,Breshad Perriman,WR,28,2021,209.16,33.4,175.76
20,Chris Godwin,WR,25,2021,208.85999999999999,242.4,-33.54000000000002
0,Cooper Kupp,WR,28,2021,206.85999999999999,439.5,-232.64000000000001
30,Christian Kirk,WR,25,2021,206.26,207.6,-1.3400000000000034
17,Tee Higgins,WR,22,2021,206.12000000000003,219.1,-12.979999999999961
149,T.Y. Hilton,WR,32,2021,204.84,74.1,130.74
15,Keenan Allen,WR,29,2021,203.48,257.8,-54.32000000000002
7,Stefon Diggs,WR,28,2021,202.56,285.5,-82.94
35,A.J. Brown,WR,24,2021,201.20000000000002,180.9,20.30000000000001
42,Chase Claypool,WR,23,2021,197.94,166.6,31.340000000000003
238,Breshad Perriman,WR,28,2021,193.23999999999998,33.4,159.83999999999997
239,Breshad Perriman,WR,28,2021,192.12,33.4,158.72
61,Courtland Sutton,WR,26,2021,191.73999999999998,150.2,41.53999999999999
92,Rondale Moore,WR,21,2021,191.2,109.1,82.1
78,Antonio Brown,WR,33,2021,190.16000000000003,121.1,69.06000000000003
101,DeVante Parker,WR,28,2021,189.22,103.5,85.72
153,Julio Jones,WR,32,2021,185.9,80.4,105.5
28,Amari Cooper,WR,27,2021,177.28000000000003,202.5,-25.21999999999997
124,Marquez Valdes-Scantling,WR,27,2021,173.02,87.0,86.02000000000001
64,Robert Woods,WR,29,2021,171.58,137.2,34.380000000000024
62,Courtland Sutton,WR,26,2021,169.68,150.2,19.480000000000018
69,Odell Beckham Jr.,WR,29,2021,168.64000000000001,129.1,39.54000000000002
53,Jakobi Meyers,WR,25,2021,164.36,186.3,-21.939999999999998
52,Jakobi Meyers,WR,25,2021,164.35999999999999,186.3,-21.940000000000026
158,Jerry Jeudy,WR,22,2021,163.54000000000002,85.0,78.54000000000002
39,Brandon Aiyuk,WR,23,2021,162.44,170.3,-7.860000000000014
105,DeVante Parker,WR,28,2021,162.07999999999998,103.5,58.579999999999984
65,Gabriel Davis,WR,22,2021,161.11999999999998,125.9,35.21999999999997
128,Allen Robinson,WR,28,2021,161.08,87.0,74.08000000000001
45,Marvin Jones,WR,31,2021,158.56,180.2,-21.639999999999986
172,Sammy Watkins,WR,28,2021,155.72,70.4,85.32
2,Ja'Marr Chase,WR,21,2021,155.32,304.6,-149.28000000000003
150,T.Y. Hilton,WR,32,2021,150.95999999999998,74.1,76.85999999999999
91,Rondale Moore,WR,21,2021,150.56,109.1,41.46000000000001
74,Jarvis Landry,WR,29,2021,150.54000000000002,133.0,17.54000000000002
102,DeVante Parker,WR,28,2021,148.88000000000002,103.5,45.380000000000024
103,DeVante Parker,WR,28,2021,148.88000000000002,103.5,45.380000000000024
125,Marquez Valdes-Scantling,WR,27,2021,144.21999999999997,87.0,57.21999999999997
76,Jarvis Landry,WR,29,2021,142.76,133.0,9.759999999999991
75,Jarvis Landry,WR,29,2021,142.76,133.0,9.759999999999991
13,Hunter Renfrow,WR,26,2021,142.56,259.1,-116.54000000000002
59,Elijah Moore,WR,21,2021,141.86,138.2,3.660000000000025
111,Laviska Shenault Jr.,WR,23,2021,141.18,127.0,14.180000000000007
100,Jalen Guyton,WR,24,2021,140.9,97.2,43.7
25,Terry McLaurin,WR,26,2021,139.78000000000003,213.5,-73.71999999999997
1,Deebo Samuel,WR,25,2021,139.45999999999998,339.0,-199.54000000000002
12,Hunter Renfrow,WR,26,2021,138.66000000000003,259.1,-120.44
63,Robert Woods,WR,29,2021,138.12,137.2,0.9200000000000159
94,Quez Watkins,WR,23,2021,136.74,116.0,20.74000000000001
23,Darnell Mooney,WR,24,2021,135.92,219.7,-83.78
16,Michael Pittman Jr.,WR,24,2021,135.64,238.6,-102.96000000000001
33,DeVonta Smith,WR,23,2021,135.61999999999998,185.6,-49.98000000000002
34,DeVonta Smith,WR,23,2021,135.61999999999998,185.6,-49.98000000000002
194,Chester Rogers,WR,27,2021,134.44,65.0,69.44
60,Elijah Moore,WR,21,2021,133.34,138.2,-4.859999999999985
126,Allen Robinson,WR,28,2021,131.32,87.0,44.31999999999999
173,Sterling Shepard,WR,28,2021,131.17999999999998,77.7,53.479999999999976
26,Marquise Brown,WR,24,2021,129.82,226.3,-96.48000000000002
27,Marquise Brown,WR,24,2021,129.64,226.3,-96.66000000000003
136,DeSean Jackson,WR,35,2021,129.48,75.8,53.67999999999999
98,Nelson Agholor,WR,28,2021,129.28,103.4,25.879999999999995
213,John Ross,WR,26,2021,129.24,41.0,88.24000000000001
212,John Ross,WR,26,2021,129.24,41.0,88.24000000000001
123,Marquez Valdes-Scantling,WR,27,2021,129.04000000000002,87.0,42.04000000000002
209,Malik Turner,WR,25,2021,128.95999999999998,44.9,84.05999999999997
208,Malik Turner,WR,25,2021,128.95999999999998,44.9,84.05999999999997
57,Russell Gage,WR,25,2021,127.2,163.0,-35.8
58,Russell Gage,WR,25,2021,127.2,163.0,-35.8
134,Michael Gallup,WR,25,2021,127.12,91.5,35.620000000000005
32,Kendrick Bourne,WR,26,2021,127.03999999999999,180.5,-53.46000000000001
41,K.J. Osborn,WR,24,2021,126.25999999999999,158.5,-32.24000000000001
127,Allen Robinson,WR,28,2021,126.12,87.0,39.120000000000005
56,Cedrick Wilson Jr.,WR,26,2021,126.08,147.8,-21.720000000000013
49,A.J. Green,WR,33,2021,125.73999999999998,156.8,-31.06000000000003
237,Breshad Perriman,WR,28,2021,125.44000000000001,33.4,92.04000000000002
133,Michael Gallup,WR,25,2021,124.46,91.5,32.959999999999994
93,Quez Watkins,WR,23,2021,123.4,116.0,7.400000000000006
40,K.J. Osborn,WR,24,2021,123.25999999999999,158.5,-35.24000000000001
225,DJ Chark,WR,25,2021,121.66,34.4,87.25999999999999
80,Braxton Berrios,WR,26,2021,121.2,121.1,0.10000000000000853
79,Braxton Berrios,WR,26,2021,121.2,121.1,0.10000000000000853
178,Damiere Byrd,WR,28,2021,120.54,64.9,55.64
224,DJ Chark,WR,25,2021,119.99999999999997,34.4,85.59999999999997
135,Zach Pascal,WR,27,2021,118.35999999999999,94.5,23.859999999999985
11,Diontae Johnson,WR,25,2021,117.17999999999999,274.4,-157.21999999999997
192,Chris Moore,WR,28,2021,116.96,55.7,61.25999999999999
31,Kendrick Bourne,WR,26,2021,115.4,180.5,-65.1
214,Jakeem Grant,WR,29,2021,114.54,39.5,75.04
215,Jakeem Grant,WR,29,2021,114.54,39.5,75.04
44,Marvin Jones,WR,31,2021,114.35999999999999,180.2,-65.84
244,Albert Wilson,WR,29,2021,114.08000000000001,48.0,66.08000000000001
216,Jakeem Grant,WR,29,2021,113.2,39.5,73.7
88,Jamison Crowder,WR,28,2021,112.68000000000002,109.7,2.980000000000018
86,Jamison Crowder,WR,28,2021,112.68000000000002,109.7,2.980000000000018
104,DeVante Parker,WR,28,2021,110.96,103.5,7.459999999999994
87,Jamison Crowder,WR,28,2021,109.35999999999999,109.7,-0.3400000000000176
54,Tim Patrick,WR,28,2021,108.98000000000002,156.4,-47.41999999999999
55,Tim Patrick,WR,28,2021,108.98000000000002,156.4,-47.41999999999999
81,Cole Beasley,WR,32,2021,108.62,159.3,-50.68000000000001
195,Quintez Cephus,WR,23,2021,107.1,49.4,57.699999999999996
110,Rashod Bateman,WR,22,2021,106.17999999999999,103.5,2.6799999999999926
245,Albert Wilson,WR,29,2021,105.38000000000002,48.0,57.380000000000024
246,Albert Wilson,WR,29,2021,105.38000000000002,48.0,57.380000000000024
73,Mecole Hardman,WR,23,2021,105.05999999999999,140.9,-35.84000000000002
350,Dede Westbrook,WR,28,2021,104.3,16.8,87.5
130,Zay Jones,WR,26,2021,104.1,105.9,-1.8000000000000114
24,Amon-Ra St. Brown,WR,22,2021,104.04,227.3,-123.26
196,Quintez Cephus,WR,23,2021,102.9,49.4,53.50000000000001
46,Marvin Jones,WR,31,2021,102.17999999999999,180.2,-78.02
171,Sammy Watkins,WR,28,2021,102.06,70.4,31.659999999999997
191,Chris Moore,WR,28,2021,100.83999999999999,55.7,45.139999999999986
83,Donovan Peoples-Jones,WR,22,2021,100.76,109.7,-8.939999999999998
183,Marquise Goodwin,WR,31,2021,100.46000000000001,57.2,43.260000000000005
163,Danny Amendola,WR,36,2021,99.3,68.8,30.5
117,Freddie Swain,WR,23,2021,96.72,86.5,10.219999999999999
120,Freddie Swain,WR,23,2021,96.72,86.5,10.219999999999999
118,Freddie Swain,WR,23,2021,96.72,86.5,10.219999999999999
119,Freddie Swain,WR,23,2021,96.72,86.5,10.219999999999999
177,Calvin Ridley,WR,27,2021,95.84,71.1,24.74000000000001
129,Josh Palmer,WR,23,2021,94.03999999999999,92.9,1.1399999999999864
21,Jaylen Waddle,WR,23,2021,93.9,245.8,-151.9
263,Dyami Brown,WR,22,2021,93.28,28.1,65.18
261,Dyami Brown,WR,22,2021,93.13999999999999,28.1,65.03999999999999
259,Mohamed Sanu,WR,32,2021,92.67999999999999,32.7,59.97999999999999
258,Mohamed Sanu,WR,32,2021,92.67999999999999,32.7,59.97999999999999
185,Lil'Jordan Humphrey,WR,23,2021,91.76,49.9,41.86000000000001
106,Rashod Bateman,WR,22,2021,91.50000000000001,103.5,-11.999999999999986
84,Donovan Peoples-Jones,WR,22,2021,91.38000000000001,109.7,-18.319999999999993
85,Donovan Peoples-Jones,WR,22,2021,89.60000000000001,109.7,-20.099999999999994
309,Shi Smith,WR,23,2021,87.34,16.1,71.24000000000001
121,Freddie Swain,WR,23,2021,87.04,86.5,0.5400000000000063
109,Rashod Bateman,WR,22,2021,86.72,103.5,-16.78
