,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
2,Ja'Marr Chase,WR,21,2021,282.00227963057523,304.6,-22.597720369424792
6,Tyreek Hill,WR,27,2021,258.60199338417283,296.5,-37.89800661582717
4,Davante Adams,WR,29,2021,255.97890716430788,344.3,-88.32109283569213
9,D.K. Metcalf,WR,24,2021,251.97257193230166,244.3,7.672571932301651
3,Justin Jefferson,WR,22,2021,249.14828973806993,330.4,-81.25171026193004
7,Stefon Diggs,WR,28,2021,238.47434587743987,285.5,-47.02565412256013
0,Cooper Kupp,WR,28,2021,236.82608479289297,439.5,-202.67391520710703
21,Jaylen Waddle,WR,23,2021,231.63290579552358,245.8,-14.167094204476427
10,Tyler Lockett,WR,29,2021,229.58329510660496,241.4,-11.816704893395041
18,D.J. Moore,WR,24,2021,219.35058699650654,237.5,-18.149413003493464
20,Chris Godwin,WR,25,2021,217.73032542529768,242.4,-24.669674574702327
15,Keenan Allen,WR,29,2021,217.0819292977808,257.8,-40.71807070221922
5,Mike Evans,WR,28,2021,216.0302649071025,262.5,-46.46973509289751
38,Tyler Boyd,WR,27,2021,210.45858042322175,183.8,26.658580423221736
48,DeAndre Hopkins,WR,29,2021,203.389994681472,147.2,56.189994681472
35,A.J. Brown,WR,24,2021,200.91177461642565,180.9,20.01177461642564
14,CeeDee Lamb,WR,22,2021,194.44391060869043,232.8,-38.35608939130958
8,Mike Williams,WR,27,2021,192.58221175846188,246.6,-54.01778824153811
17,Tee Higgins,WR,22,2021,191.71232280112827,219.1,-27.387677198871728
19,Chris Godwin,WR,25,2021,191.62016740253603,242.4,-50.77983259746398
1,Deebo Samuel,WR,25,2021,189.19400732845202,339.0,-149.80599267154798
42,Chase Claypool,WR,23,2021,186.32624135799392,166.6,19.726241357993928
28,Amari Cooper,WR,27,2021,185.96749790702302,202.5,-16.532502092976983
43,Chase Claypool,WR,23,2021,184.23084156070195,166.6,17.630841560701953
11,Diontae Johnson,WR,25,2021,180.16855000808027,274.4,-94.2314499919197
27,Marquise Brown,WR,24,2021,178.4529734316841,226.3,-47.847026568315925
24,Amon-Ra St. Brown,WR,22,2021,177.44055235421388,227.3,-49.85944764578613
25,Terry McLaurin,WR,26,2021,175.4071750638559,213.5,-38.0928249361441
46,Marvin Jones,WR,31,2021,173.09673711765276,180.2,-7.103262882347224
41,K.J. Osborn,WR,24,2021,171.47332588311406,158.5,12.973325883114057
23,Darnell Mooney,WR,24,2021,170.559107296624,219.7,-49.14089270337598
68,Robby Anderson,WR,28,2021,169.6758756968684,138.5,31.17587569686839
91,Rondale Moore,WR,21,2021,169.64494800801117,109.1,60.544948008011175
67,Robby Anderson,WR,28,2021,168.648145631352,138.5,30.14814563135201
31,Kendrick Bourne,WR,26,2021,166.6496062481017,180.5,-13.85039375189831
13,Hunter Renfrow,WR,26,2021,166.10894351840102,259.1,-92.991056481599
40,K.J. Osborn,WR,24,2021,165.77809933081585,158.5,7.278099330815849
32,Kendrick Bourne,WR,26,2021,163.75964750348817,180.5,-16.740352496511832
30,Christian Kirk,WR,25,2021,162.47991716721617,207.6,-45.12008283278382
111,Laviska Shenault Jr.,WR,23,2021,162.36021529252707,127.0,35.36021529252707
60,Elijah Moore,WR,21,2021,162.09549449282508,138.2,23.895494492825094
33,DeVonta Smith,WR,23,2021,161.56181677943187,185.6,-24.03818322056813
92,Rondale Moore,WR,21,2021,159.0083660291848,109.1,49.908366029184805
22,Brandin Cooks,WR,28,2021,158.79142841448424,231.8,-73.00857158551577
34,DeVonta Smith,WR,23,2021,157.6462376014149,185.6,-27.9537623985851
12,Hunter Renfrow,WR,26,2021,154.7297301979679,259.1,-104.37026980203211
44,Marvin Jones,WR,31,2021,154.54320496545984,180.2,-25.656795034540153
45,Marvin Jones,WR,31,2021,153.59459926125896,180.2,-26.605400738741025
26,Marquise Brown,WR,24,2021,152.87774201112416,226.3,-73.42225798887586
39,Brandon Aiyuk,WR,23,2021,151.97405942727596,170.3,-18.32594057272405
16,Michael Pittman Jr.,WR,24,2021,150.40698618880015,238.6,-88.19301381119985
64,Robert Woods,WR,29,2021,148.3551556010259,137.2,11.15515560102591
74,Jarvis Landry,WR,29,2021,147.1728659522032,133.0,14.17286595220321
59,Elijah Moore,WR,21,2021,146.85090150248857,138.2,8.65090150248858
75,Jarvis Landry,WR,29,2021,144.7118608379567,133.0,11.711860837956692
105,DeVante Parker,WR,28,2021,144.4424159039463,103.5,40.94241590394631
81,Cole Beasley,WR,32,2021,143.83620047356067,159.3,-15.463799526439345
76,Jarvis Landry,WR,29,2021,143.61371845612643,133.0,10.613718456126435
127,Allen Robinson,WR,28,2021,143.57770125200136,87.0,56.57770125200136
124,Marquez Valdes-Scantling,WR,27,2021,142.81604082291506,87.0,55.816040822915056
57,Russell Gage,WR,25,2021,141.5498456464461,163.0,-21.4501543535539
58,Russell Gage,WR,25,2021,141.5498456464461,163.0,-21.4501543535539
63,Robert Woods,WR,29,2021,141.5227298413829,137.2,4.322729841382909
29,Adam Thielen,WR,31,2021,137.9751981636216,199.8,-61.82480183637841
94,Quez Watkins,WR,23,2021,137.90660441590285,116.0,21.906604415902848
126,Allen Robinson,WR,28,2021,135.97473501513105,87.0,48.974735015131046
73,Mecole Hardman,WR,23,2021,135.76667108810875,140.9,-5.133328911891255
152,Julio Jones,WR,32,2021,135.3065966769616,80.4,54.906596676961584
123,Marquez Valdes-Scantling,WR,27,2021,135.21307458604474,87.0,48.21307458604474
65,Gabriel Davis,WR,22,2021,135.04997832588265,125.9,9.149978325882643
37,Van Jefferson,WR,25,2021,134.90845469711235,168.2,-33.29154530288764
128,Allen Robinson,WR,28,2021,131.97692570620075,87.0,44.976925706200745
69,Odell Beckham Jr.,WR,29,2021,131.64507349718747,129.1,2.5450734971874738
125,Marquez Valdes-Scantling,WR,27,2021,131.21526527711444,87.0,44.21526527711444
134,Michael Gallup,WR,25,2021,130.86703919667775,91.5,39.36703919667775
153,Julio Jones,WR,32,2021,130.43943959445892,80.4,50.03943959445891
101,DeVante Parker,WR,28,2021,130.12860682930454,103.5,26.628606829304545
100,Jalen Guyton,WR,24,2021,130.04168262413805,97.2,32.841682624138045
95,Corey Davis,WR,26,2021,129.09230180689678,105.2,23.892301806896782
