,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
3,Davante Adams,WR,29.0,2021,219.3394228135661,344.3,-124.96057718643391
5,Tyreek Hill,WR,27.0,2021,213.67548895310367,296.5,-82.82451104689633
41,DeAndre Hopkins,WR,29.0,2021,194.89190435037415,147.2,47.69190435037416
6,Stefon Diggs,WR,28.0,2021,194.18928460547033,285.5,-91.31071539452967
2,Justin Jefferson,WR,22.0,2021,191.81983310656346,330.4,-138.5801668934365
130,Julio Jones,WR,32.0,2021,190.22583181370396,80.4,109.82583181370396
131,Julio Jones,WR,32.0,2021,183.12347740496023,80.4,102.72347740496022
26,Adam Thielen,WR,31.0,2021,180.9479836643526,199.8,-18.85201633564742
4,Mike Evans,WR,28.0,2021,177.7887768737063,262.5,-84.7112231262937
30,A.J. Brown,WR,24.0,2021,170.6255442569855,180.9,-10.2744557430145
219,JuJu Smith-Schuster,WR,25.0,2021,169.08044642400367,34.8,134.28044642400369
9,Tyler Lockett,WR,29.0,2021,167.92437914551795,241.4,-73.47562085448206
8,D.K. Metcalf,WR,24.0,2021,167.21076718890026,244.3,-77.08923281109975
35,Chase Claypool,WR,23.0,2021,163.53854579064662,166.6,-3.0614542093533714
25,Amari Cooper,WR,27.0,2021,161.54637439565454,202.5,-40.95362560434546
55,Robert Woods,WR,29.0,2021,161.1703022562732,137.2,23.970302256273214
19,Chris Godwin,WR,25.0,2021,160.89379031230382,242.4,-81.50620968769618
153,Calvin Ridley,WR,27.0,2021,160.5860619179706,71.1,89.4860619179706
54,Robert Woods,WR,29.0,2021,157.74089439366665,137.2,20.54089439366666
18,Chris Godwin,WR,25.0,2021,157.72971075130604,242.4,-84.67028924869396
14,Keenan Allen,WR,29.0,2021,157.51890554394237,257.8,-100.28109445605764
36,Chase Claypool,WR,23.0,2021,157.3766325027137,166.6,-9.22336749728629
0,Cooper Kupp,WR,28.0,2021,155.61674455942216,439.5,-283.88325544057784
111,Allen Robinson,WR,28.0,2021,151.17059032405237,87.0,64.17059032405237
110,Allen Robinson,WR,28.0,2021,150.70294381156282,87.0,63.70294381156282
123,Kenny Golladay,WR,28.0,2021,145.61548477495842,89.1,56.51548477495842
112,Allen Robinson,WR,28.0,2021,145.23187780639972,87.0,58.23187780639972
121,Kenny Golladay,WR,28.0,2021,144.9826296367142,89.1,55.8826296367142
33,Tyler Boyd,WR,27.0,2021,142.68798419710185,183.8,-41.112015802898156
122,Kenny Golladay,WR,28.0,2021,142.48644884642067,89.1,53.38644884642068
13,CeeDee Lamb,WR,22.0,2021,141.4696209312782,232.8,-91.33037906872181
20,Brandin Cooks,WR,28.0,2021,141.44708946518972,231.8,-90.35291053481029
22,Terry McLaurin,WR,26.0,2021,139.91288138201708,213.5,-73.58711861798292
68,Antonio Brown,WR,33.0,2021,135.9637738267447,121.1,14.863773826744705
69,Antonio Brown,WR,33.0,2021,135.11668955886867,121.1,14.016689558868677
59,Robby Anderson,WR,28.0,2021,134.69939550013902,138.5,-3.800604499860981
58,Robby Anderson,WR,28.0,2021,132.7172743621402,138.5,-5.782725637859812
16,Tee Higgins,WR,22.0,2021,132.25668066000495,219.1,-86.84331933999505
67,Jarvis Landry,WR,29.0,2021,131.62470744629488,133.0,-1.3752925537051226
65,Jarvis Landry,WR,29.0,2021,131.52762532307867,133.0,-1.4723746769213335
66,Jarvis Landry,WR,29.0,2021,130.94465241013364,133.0,-2.055347589866358
17,D.J. Moore,WR,24.0,2021,129.60055919436638,237.5,-107.89944080563362
60,Odell Beckham Jr.,WR,29.0,2021,123.73980578317045,129.1,-5.360194216829541
39,Marvin Jones,WR,31.0,2021,122.92946451909391,180.2,-57.27053548090608
128,T.Y. Hilton,WR,32.0,2021,122.20217112557619,74.1,48.10217112557619
38,Marvin Jones,WR,31.0,2021,120.56763993639271,180.2,-59.63236006360728
37,Marvin Jones,WR,31.0,2021,119.22570281532417,180.2,-60.97429718467582
127,T.Y. Hilton,WR,32.0,2021,118.72020274532785,74.1,44.62020274532786
10,Diontae Johnson,WR,25.0,2021,115.85501836845295,274.4,-158.54498163154705
72,Cole Beasley,WR,32.0,2021,115.67049642011429,159.3,-43.62950357988572
57,Emmanuel Sanders,WR,34.0,2021,114.82997539841462,131.7,-16.87002460158537
24,Marquise Brown,WR,24.0,2021,114.39079278214227,226.3,-111.90920721785774
90,DeVante Parker,WR,28.0,2021,111.83794315775346,103.5,8.337943157753458
94,DeVante Parker,WR,28.0,2021,110.69754567210767,103.5,7.197545672107665
79,Jamison Crowder,WR,28.0,2021,108.91624169559152,109.7,-0.7837583044084795
91,DeVante Parker,WR,28.0,2021,108.48372954600578,103.5,4.983729546005776
92,DeVante Parker,WR,28.0,2021,108.01436482152907,103.5,4.514364821529071
93,DeVante Parker,WR,28.0,2021,107.61901160640967,103.5,4.119011606409671
34,Brandon Aiyuk,WR,23.0,2021,107.44923889772595,170.3,-62.85076110227406
84,Corey Davis,WR,26.0,2021,106.36012949131423,105.2,1.1601294913142226
23,Marquise Brown,WR,24.0,2021,106.07792585566484,226.3,-120.22207414433517
116,Michael Gallup,WR,25.0,2021,105.96893918350825,91.5,14.468939183508255
77,Jamison Crowder,WR,28.0,2021,105.79242571921931,109.7,-3.9075742807806932
199,DJ Chark,WR,25.0,2021,103.89100769717912,34.4,69.49100769717913
310,Curtis Samuel,WR,25.0,2021,103.73142565837516,9.8,93.93142565837516
115,Michael Gallup,WR,25.0,2021,102.59846341466734,91.5,11.098463414667336
292,Will Fuller,WR,27.0,2021,102.21363771987598,8.6,93.61363771987598
78,Jamison Crowder,WR,28.0,2021,101.72888713593399,109.7,-7.971112864066015
87,Nelson Agholor,WR,28.0,2021,101.70430359694568,103.4,-1.6956964030543276
311,Curtis Samuel,WR,25.0,2021,101.23609398737028,9.8,91.43609398737028
294,Will Fuller,WR,27.0,2021,101.10907598017282,8.6,92.50907598017282
198,DJ Chark,WR,25.0,2021,100.66299176501207,34.4,66.26299176501206
27,Christian Kirk,WR,25.0,2021,100.00820930003283,207.6,-107.59179069996716
293,Will Fuller,WR,27.0,2021,99.49829556949136,8.6,90.89829556949137
134,Jerry Jeudy,WR,22.0,2021,97.64275406088468,85.0,12.642754060884684
7,Mike Williams,WR,27.0,2021,96.27643208108478,246.6,-150.32356791891522
95,Laviska Shenault Jr.,WR,23.0,2021,95.25672066513114,127.0,-31.74327933486886
149,Sterling Shepard,WR,28.0,2021,92.02889459515853,77.7,14.32889459515853
52,Courtland Sutton,WR,26.0,2021,87.53341059433893,150.2,-62.66658940566106
56,Gabriel Davis,WR,22.0,2021,87.37720099034895,125.9,-38.52279900965105
1,Deebo Samuel,WR,25.0,2021,86.81419481293936,339.0,-252.18580518706062
146,Darius Slayton,WR,24.0,2021,85.57084675001538,68.6,16.970846750015383
53,Courtland Sutton,WR,26.0,2021,84.95770147147525,150.2,-65.24229852852474
145,Darius Slayton,WR,24.0,2021,83.35182821222399,68.6,14.751828212223998
21,Darnell Mooney,WR,24.0,2021,82.94130692215339,219.7,-136.7586930778466
403,Tyrell Williams,WR,29.0,2021,81.60786971653853,3.4,78.20786971653853
404,Tyrell Williams,WR,29.0,2021,81.60786971653853,3.4,78.20786971653853
402,Tyrell Williams,WR,29.0,2021,81.60786971653853,3.4,78.20786971653853
408,Tyrell Williams,WR,29.0,2021,81.60786971653853,3.4,78.20786971653853
406,Tyrell Williams,WR,29.0,2021,81.60786971653853,3.4,78.20786971653853
409,Tyrell Williams,WR,29.0,2021,81.05677805226672,3.4,77.65677805226672
