,Player,Position,Age,Year,Model_Projection_Points,Actual_Points,Model_v_Actual_Delta
77,Antonio Brown,WR,33,2021,304.9110000000001,121.1,183.81100000000012
240,Breshad Perriman,WR,28,2021,295.04800000000006,33.4,261.6480000000001
4,Davante Adams,WR,29,2021,243.96200000000005,344.3,-100.33799999999997
48,DeAndre Hopkins,WR,29,2021,229.045,147.2,81.845
192,Chris Moore,WR,28,2021,225.922,55.7,170.22199999999998
5,Mike Evans,WR,28,2021,224.11499999999992,262.5,-38.385000000000076
6,Tyreek Hill,WR,27,2021,216.59799999999993,296.5,-79.90200000000007
152,Julio Jones,WR,32,2021,215.10799999999995,80.4,134.70799999999994
38,Tyler Boyd,WR,27,2021,212.96899999999997,183.8,29.168999999999954
71,Kalif Raymond,WR,27,2021,212.84099999999992,132.4,80.44099999999992
0,Cooper Kupp,WR,28,2021,210.51399999999998,439.5,-228.98600000000002
178,Damiere Byrd,WR,28,2021,197.47699999999995,64.9,132.57699999999994
191,Chris Moore,WR,28,2021,196.925,55.7,141.22500000000002
78,Antonio Brown,WR,33,2021,193.44200000000004,121.1,72.34200000000004
9,D.K. Metcalf,WR,24,2021,190.78900000000004,244.3,-53.51099999999997
72,Kalif Raymond,WR,27,2021,189.01300000000003,132.4,56.61300000000003
42,Chase Claypool,WR,23,2021,187.03600000000003,166.6,20.436000000000035
99,Randall Cobb,WR,31,2021,186.36399999999995,93.6,92.76399999999995
35,A.J. Brown,WR,24,2021,182.2409999999999,180.9,1.3409999999998945
203,Cam Sims,WR,25,2021,182.11700000000008,48.8,133.31700000000006
22,Brandin Cooks,WR,28,2021,182.0639999999999,231.8,-49.736000000000104
150,T.Y. Hilton,WR,32,2021,181.01199999999986,74.1,106.91199999999986
7,Stefon Diggs,WR,28,2021,181.00699999999998,285.5,-104.49300000000002
10,Tyler Lockett,WR,29,2021,179.50299999999993,241.4,-61.89700000000008
111,Laviska Shenault Jr.,WR,23,2021,179.192,127.0,52.19200000000001
56,Cedrick Wilson Jr.,WR,26,2021,178.21,147.8,30.409999999999997
85,Donovan Peoples-Jones,WR,22,2021,177.38599999999994,109.7,67.68599999999994
13,Hunter Renfrow,WR,26,2021,176.554,259.1,-82.54600000000002
121,Freddie Swain,WR,23,2021,175.89100000000002,86.5,89.39100000000002
12,Hunter Renfrow,WR,26,2021,173.82300000000004,259.1,-85.27699999999999
149,T.Y. Hilton,WR,32,2021,173.4019999999999,74.1,99.30199999999991
32,Kendrick Bourne,WR,26,2021,172.34099999999992,180.5,-8.159000000000077
20,Chris Godwin,WR,25,2021,172.2269999999999,242.4,-70.17300000000012
19,Chris Godwin,WR,25,2021,171.10000000000008,242.4,-71.29999999999993
244,Albert Wilson,WR,29,2021,170.06499999999997,48.0,122.06499999999997
46,Marvin Jones,WR,31,2021,170.01100000000002,180.2,-10.188999999999965
82,Deonte Harris,WR,24,2021,169.67700000000005,113.1,56.577000000000055
153,Julio Jones,WR,32,2021,169.49899999999988,80.4,89.09899999999988
61,Courtland Sutton,WR,26,2021,167.97299999999998,150.2,17.772999999999996
2,Ja'Marr Chase,WR,21,2021,167.89600000000007,304.6,-136.70399999999995
15,Keenan Allen,WR,29,2021,167.76100000000008,257.8,-90.03899999999993
8,Mike Williams,WR,27,2021,167.46700000000004,246.6,-79.13299999999995
93,Quez Watkins,WR,23,2021,167.15299999999996,116.0,51.15299999999996
119,Freddie Swain,WR,23,2021,167.067,86.5,80.56700000000001
30,Christian Kirk,WR,25,2021,164.66800000000003,207.6,-42.93199999999996
120,Freddie Swain,WR,23,2021,164.5759999999999,86.5,78.07599999999991
117,Freddie Swain,WR,23,2021,164.5759999999999,86.5,78.07599999999991
63,Robert Woods,WR,29,2021,164.5430000000001,137.2,27.343000000000103
118,Freddie Swain,WR,23,2021,164.06,86.5,77.56
246,Albert Wilson,WR,29,2021,163.258,48.0,115.25800000000001
239,Breshad Perriman,WR,28,2021,163.132,33.4,129.732
217,Isaiah Ford,WR,25,2021,161.703,40.1,121.60300000000001
311,Shi Smith,WR,23,2021,158.876,16.1,142.776
238,Breshad Perriman,WR,28,2021,157.53099999999998,33.4,124.13099999999997
159,Mack Hollins,WR,28,2021,156.37900000000008,60.3,96.07900000000008
18,D.J. Moore,WR,24,2021,156.2760000000001,237.5,-81.2239999999999
237,Breshad Perriman,WR,28,2021,154.32000000000002,33.4,120.92000000000002
29,Adam Thielen,WR,31,2021,154.04939999999993,199.8,-45.75060000000008
124,Marquez Valdes-Scantling,WR,27,2021,154.02999999999986,87.0,67.02999999999986
1,Deebo Samuel,WR,25,2021,153.98799999999997,339.0,-185.01200000000003
184,Marquise Goodwin,WR,31,2021,153.85700000000008,57.2,96.65700000000008
310,Shi Smith,WR,23,2021,152.69000000000008,16.1,136.5900000000001
264,N'Keal Harry,WR,24,2021,152.136,28.4,123.73599999999999
163,Danny Amendola,WR,36,2021,151.16099999999994,68.8,82.36099999999995
17,Tee Higgins,WR,22,2021,150.52600000000007,219.1,-68.57399999999993
245,Albert Wilson,WR,29,2021,150.352,48.0,102.352
94,Quez Watkins,WR,23,2021,149.43999999999988,116.0,33.439999999999884
36,Van Jefferson,WR,25,2021,149.23299999999998,168.2,-18.967000000000013
59,Elijah Moore,WR,21,2021,148.25500000000008,138.2,10.055000000000092
37,Van Jefferson,WR,25,2021,146.58799999999994,168.2,-21.61200000000005
210,Brandon Zylstra,WR,28,2021,146.514,49.0,97.51400000000001
31,Kendrick Bourne,WR,26,2021,143.77399999999997,180.5,-36.72600000000003
83,Donovan Peoples-Jones,WR,22,2021,143.59500000000008,109.7,33.89500000000008
97,Nick Westbrook-Ikhine,WR,24,2021,143.59499999999997,107.6,35.994999999999976
3,Justin Jefferson,WR,22,2021,141.388,330.4,-189.01199999999997
11,Diontae Johnson,WR,25,2021,141.02699999999996,274.4,-133.37300000000002
79,Braxton Berrios,WR,26,2021,140.4329999999999,121.1,19.332999999999913
195,Quintez Cephus,WR,23,2021,140.271,49.4,90.87099999999998
14,CeeDee Lamb,WR,22,2021,140.21600000000007,232.8,-92.58399999999995
49,A.J. Green,WR,33,2021,139.6599999999999,156.8,-17.1400000000001
123,Marquez Valdes-Scantling,WR,27,2021,139.639,87.0,52.63900000000001
60,Elijah Moore,WR,21,2021,139.20700000000008,138.2,1.0070000000000903
40,K.J. Osborn,WR,24,2021,139.17900000000006,158.5,-19.32099999999994
209,Malik Turner,WR,25,2021,137.84400000000002,44.9,92.94400000000002
208,Malik Turner,WR,25,2021,137.84400000000002,44.9,92.94400000000002
84,Donovan Peoples-Jones,WR,22,2021,136.46,109.7,26.760000000000005
27,Marquise Brown,WR,24,2021,135.59599999999998,226.3,-90.70400000000004
89,Bryan Edwards,WR,23,2021,134.572,109.1,25.47200000000001
173,Sterling Shepard,WR,28,2021,134.208,77.7,56.507999999999996
197,Quintez Cephus,WR,23,2021,134.109,49.4,84.709
312,Shi Smith,WR,23,2021,133.89300000000003,16.1,117.79300000000003
218,Isaiah Ford,WR,25,2021,132.08199999999994,40.1,91.98199999999994
90,Bryan Edwards,WR,23,2021,130.77100000000002,109.1,21.67100000000002
73,Mecole Hardman,WR,23,2021,130.183,140.9,-10.717000000000013
196,Quintez Cephus,WR,23,2021,129.91500000000005,49.4,80.51500000000004
23,Darnell Mooney,WR,24,2021,129.746,219.7,-89.95399999999998
171,Sammy Watkins,WR,28,2021,128.87,70.4,58.47
91,Rondale Moore,WR,21,2021,128.834,109.1,19.73400000000001
216,Jakeem Grant,WR,29,2021,128.82799999999995,39.5,89.32799999999995
309,Shi Smith,WR,23,2021,128.65300000000008,16.1,112.55300000000008
214,Jakeem Grant,WR,29,2021,128.62499999999997,39.5,89.12499999999997
215,Jakeem Grant,WR,29,2021,128.62499999999997,39.5,89.12499999999997
95,Corey Davis,WR,26,2021,128.48900000000006,105.2,23.28900000000006
47,Marquez Callaway,WR,23,2021,128.38100000000003,151.8,-23.418999999999983
65,Gabriel Davis,WR,22,2021,128.1439999999999,125.9,2.243999999999886
130,Zay Jones,WR,26,2021,127.72099999999999,105.9,21.820999999999984
179,Ashton Dulin,WR,24,2021,127.661,51.5,76.161
125,Marquez Valdes-Scantling,WR,27,2021,127.588,87.0,40.587999999999994
202,Cam Sims,WR,25,2021,126.75299999999999,48.8,77.95299999999999
51,Allen Lazard,WR,26,2021,126.012,142.5,-16.488
25,Terry McLaurin,WR,26,2021,124.64399999999999,213.5,-88.85600000000001
64,Robert Woods,WR,29,2021,123.98900000000005,137.2,-13.210999999999942
100,Jalen Guyton,WR,24,2021,123.44899999999998,97.2,26.24899999999998
39,Brandon Aiyuk,WR,23,2021,123.031,170.3,-47.269000000000005
96,Nick Westbrook-Ikhine,WR,24,2021,122.95799999999996,107.6,15.357999999999961
26,Marquise Brown,WR,24,2021,122.61099999999993,226.3,-103.68900000000008
247,Parris Campbell,WR,24,2021,121.57699999999998,32.2,89.37699999999998
127,Allen Robinson,WR,28,2021,121.28099999999995,87.0,34.28099999999995
66,Emmanuel Sanders,WR,34,2021,120.8334,131.7,-10.866599999999991
87,Jamison Crowder,WR,28,2021,120.70300000000009,109.7,11.003000000000085
162,Mack Hollins,WR,28,2021,120.05099999999997,60.3,59.750999999999976
144,Keelan Cole,WR,28,2021,119.70999999999992,78.9,40.80999999999992
201,Cam Sims,WR,25,2021,119.40599999999999,48.8,70.606
45,Marvin Jones,WR,31,2021,118.54200000000003,180.2,-61.65799999999996
54,Tim Patrick,WR,28,2021,118.49199999999985,156.4,-37.90800000000016
55,Tim Patrick,WR,28,2021,118.49199999999985,156.4,-37.90800000000016
50,Allen Lazard,WR,26,2021,118.03399999999999,142.5,-24.466000000000008
16,Michael Pittman Jr.,WR,24,2021,117.94299999999996,238.6,-120.65700000000004
69,Odell Beckham Jr.,WR,29,2021,117.06499999999994,129.1,-12.035000000000053
52,Jakobi Meyers,WR,25,2021,116.90499999999996,186.3,-69.39500000000005
132,Jauan Jennings,WR,24,2021,116.50699999999999,82.2,34.30699999999999
160,Mack Hollins,WR,28,2021,116.169,60.3,55.869
131,Olamide Zaccheaus,WR,24,2021,111.04,89.8,21.24000000000001
92,Rondale Moore,WR,21,2021,110.21999999999993,109.1,1.1199999999999335
33,DeVonta Smith,WR,23,2021,110.13799999999993,185.6,-75.46200000000006
74,Jarvis Landry,WR,29,2021,108.22222222222221,133.0,-24.777777777777786
80,Braxton Berrios,WR,26,2021,108.13199999999999,121.1,-12.968000000000004
143,Josh Reynolds,WR,26,2021,108.13199999999998,80.6,27.531999999999982
142,Josh Reynolds,WR,26,2021,107.75499999999997,80.6,27.154999999999973
110,Rashod Bateman,WR,22,2021,107.01400000000001,103.5,3.51400000000001
194,Chester Rogers,WR,27,2021,106.26600000000002,65.0,41.26600000000002
43,Chase Claypool,WR,23,2021,106.22699999999998,166.6,-60.37300000000002
183,Marquise Goodwin,WR,31,2021,105.90600000000002,57.2,48.70600000000002
44,Marvin Jones,WR,31,2021,105.48089999999995,180.2,-74.71910000000004
41,K.J. Osborn,WR,24,2021,105.45599999999999,158.5,-53.04400000000001
105,DeVante Parker,WR,28,2021,104.92900000000002,103.5,1.4290000000000163
53,Jakobi Meyers,WR,25,2021,104.28299999999997,186.3,-82.01700000000004
174,James Washington,WR,25,2021,103.59699999999994,65.8,37.79699999999994
98,Nelson Agholor,WR,28,2021,103.329,103.4,-0.07100000000001216
165,Demarcus Robinson,WR,27,2021,102.92899999999997,69.4,33.52899999999997
176,James Washington,WR,25,2021,102.61399999999992,65.8,36.81399999999992
141,Kenny Golladay,WR,28,2021,102.45300000000005,89.1,13.353000000000051
161,Mack Hollins,WR,28,2021,100.89799999999997,60.3,40.59799999999997
166,Demarcus Robinson,WR,27,2021,100.43400000000011,69.4,31.034000000000106
68,Robby Anderson,WR,28,2021,99.92199999999994,138.5,-38.57800000000006
156,Kadarius Toney,WR,22,2021,99.10100000000006,82.4,16.70100000000005
158,Jerry Jeudy,WR,22,2021,98.81799999999994,85.0,13.817999999999941
172,Sammy Watkins,WR,28,2021,98.71,70.4,28.309999999999988
34,DeVonta Smith,WR,23,2021,98.31099999999995,185.6,-87.28900000000004
57,Russell Gage,WR,25,2021,97.77700000000004,163.0,-65.22299999999996
58,Russell Gage,WR,25,2021,97.77700000000004,163.0,-65.22299999999996
193,Chester Rogers,WR,27,2021,97.63700000000003,65.0,32.63700000000003
135,Zach Pascal,WR,27,2021,96.91599999999998,94.5,2.4159999999999826
167,Demarcus Robinson,WR,27,2021,95.68299999999992,69.4,26.282999999999916
261,Dyami Brown,WR,22,2021,95.057,28.1,66.957
263,Dyami Brown,WR,22,2021,94.51600000000002,28.1,66.41600000000003
76,Jarvis Landry,WR,29,2021,93.88676923076919,133.0,-39.11323076923081
62,Courtland Sutton,WR,26,2021,93.85099999999997,150.2,-56.34900000000002
220,Greg Ward,WR,26,2021,91.50400000000003,34.6,56.90400000000003
223,Tavon Austin,WR,31,2021,90.63600000000002,51.4,39.236000000000026
67,Robby Anderson,WR,28,2021,90.46199999999997,138.5,-48.038000000000025
129,Josh Palmer,WR,23,2021,89.66800000000003,92.9,-3.231999999999971
21,Jaylen Waddle,WR,23,2021,88.74799999999996,245.8,-157.05200000000005
230,Kendall Hinton,WR,24,2021,88.31900000000005,38.5,49.819000000000045
175,James Washington,WR,25,2021,87.933,65.8,22.13300000000001
257,KhaDarel Hodge,WR,26,2021,87.73199999999997,30.7,57.03199999999997
256,KhaDarel Hodge,WR,26,2021,87.73199999999997,30.7,57.03199999999997
109,Rashod Bateman,WR,22,2021,87.68599999999994,103.5,-15.814000000000064
137,Tre'Quan Smith,WR,25,2021,87.23103333333336,87.7,-0.46896666666664544
28,Amari Cooper,WR,27,2021,86.47800000000005,202.5,-116.02199999999995
133,Michael Gallup,WR,25,2021,86.08000000000001,91.5,-5.4199999999999875
75,Jarvis Landry,WR,29,2021,85.0912035742035,133.0,-47.908796425796496
205,Isaiah McKenzie,WR,26,2021,85.01300000000009,52.5,32.51300000000009
352,C.J. Board,WR,28,2021,84.529,9.7,74.829
24,Amon-Ra St. Brown,WR,22,2021,83.47900000000001,227.3,-143.821
250,Parris Campbell,WR,24,2021,83.418,32.2,51.218
248,Parris Campbell,WR,24,2021,83.418,32.2,51.218
249,Parris Campbell,WR,24,2021,83.418,32.2,51.218
168,Chris Conley,WR,29,2021,83.21953690753688,64.6,18.619536907536883
106,Rashod Bateman,WR,22,2021,83.088,103.5,-20.412000000000006
86,Jamison Crowder,WR,28,2021,83.04900000000004,109.7,-26.650999999999968
187,Tyler Johnson,WR,23,2021,82.89600000000004,72.0,10.896000000000043
266,Marcus Johnson,WR,27,2021,82.76400000000001,24.8,57.96400000000001
222,Tavon Austin,WR,31,2021,81.98900000000005,51.4,30.58900000000005
101,DeVante Parker,WR,28,2021,81.95199999999996,103.5,-21.548000000000044
134,Michael Gallup,WR,25,2021,80.70599999999995,91.5,-10.794000000000054
81,Cole Beasley,WR,32,2021,80.405,159.3,-78.89500000000001
204,Isaiah McKenzie,WR,26,2021,80.19200000000009,52.5,27.692000000000093
206,Isaiah McKenzie,WR,26,2021,80.19200000000009,52.5,27.692000000000093
157,Kadarius Toney,WR,22,2021,79.08399999999995,82.4,-3.3160000000000593
180,Antoine Wesley,WR,24,2021,78.98899999999998,57.8,21.18899999999998
108,Rashod Bateman,WR,22,2021,78.87499999999996,103.5,-24.625000000000043
104,DeVante Parker,WR,28,2021,78.83199999999995,103.5,-24.66800000000005
70,Byron Pringle,WR,28,2021,77.77500000000003,126.8,-49.02499999999996
207,Isaiah McKenzie,WR,26,2021,77.62600000000006,52.5,25.12600000000006
181,Antoine Wesley,WR,24,2021,76.60599999999998,57.8,18.805999999999983
231,Kendall Hinton,WR,24,2021,76.44300000000004,38.5,37.94300000000004
221,Tavon Austin,WR,31,2021,75.59700000000005,51.4,24.197000000000052
285,Ben Skowronek,WR,24,2021,75.46499999999997,24.3,51.16499999999998
279,Dante Pettis,WR,26,2021,75.09100000000002,25.3,49.791000000000025
126,Allen Robinson,WR,28,2021,75.0133333333333,87.0,-11.986666666666693
107,Rashod Bateman,WR,22,2021,73.69999999999999,103.5,-29.80000000000001
188,Tyler Johnson,WR,23,2021,73.32600000000005,72.0,1.3260000000000502
262,Dyami Brown,WR,22,2021,72.77500000000002,28.1,44.67500000000002
351,C.J. Board,WR,28,2021,71.79599999999996,9.7,62.09599999999996
128,Allen Robinson,WR,28,2021,71.17851428571426,87.0,-15.821485714285743
88,Jamison Crowder,WR,28,2021,70.48700000000005,109.7,-39.21299999999995
139,Kenny Golladay,WR,28,2021,69.70200000000001,89.1,-19.397999999999982
102,DeVante Parker,WR,28,2021,69.46199999999999,103.5,-34.03800000000001
138,Jamal Agnew,WR,26,2021,69.02099999999993,76.0,-6.97900000000007
229,Kendall Hinton,WR,24,2021,68.88000000000004,38.5,30.380000000000038
103,DeVante Parker,WR,28,2021,68.80699999999997,103.5,-34.693000000000026
145,Nico Collins,WR,22,2021,67.20999999999998,83.6,-16.390000000000015
265,N'Keal Harry,WR,24,2021,66.99200000000002,28.4,38.59200000000002
154,Laquon Treadwell,WR,26,2021,66.65700000000008,82.4,-15.742999999999924
169,Darius Slayton,WR,24,2021,66.531,68.6,-2.0689999999999884
278,Dante Pettis,WR,26,2021,66.03599999999999,25.3,40.73599999999999
182,Adam Humphries,WR,28,2021,65.76700000000007,79.3,-13.53299999999993
116,DeAndre Carter,WR,28,2021,65.31799999999997,86.5,-21.18200000000003
236,Anthony Schwartz,WR,21,2021,65.025,33.4,31.625000000000007
286,Ben Skowronek,WR,24,2021,64.939,24.3,40.638999999999996
185,Lil'Jordan Humphrey,WR,23,2021,64.17799999999997,49.9,14.27799999999997
298,Phillip Dorsett,WR,28,2021,64.07299999999998,18.0,46.07299999999998
288,Ben Skowronek,WR,24,2021,63.33999999999999,24.3,39.03999999999999
122,Henry Ruggs III,WR,22,2021,61.29000000000002,84.5,-23.20999999999998
155,Laquon Treadwell,WR,26,2021,59.28800000000005,82.4,-23.111999999999952
242,Tajae Sharpe,WR,27,2021,58.90400000000002,48.0,10.904000000000018
146,Nico Collins,WR,22,2021,57.486000000000004,83.6,-26.11399999999999
289,Ben Skowronek,WR,24,2021,56.637999999999984,24.3,32.33799999999998
287,Ben Skowronek,WR,24,2021,56.637999999999984,24.3,32.33799999999998
186,Lil'Jordan Humphrey,WR,23,2021,56.52099999999998,49.9,6.620999999999981
277,Equanimeous St. Brown,WR,25,2021,56.50399999999997,20.2,36.303999999999974
113,DeAndre Carter,WR,28,2021,56.422,86.5,-30.078000000000003
114,DeAndre Carter,WR,28,2021,55.40499999999997,86.5,-31.095000000000027
164,Jalen Reagor,WR,22,2021,55.352999999999994,78.1,-22.747
147,Nico Collins,WR,22,2021,55.169000000000025,83.6,-28.43099999999997
296,Phillip Dorsett,WR,28,2021,54.51899999999998,18.0,36.51899999999998
112,DeAndre Carter,WR,28,2021,54.32300000000001,86.5,-32.17699999999999
115,DeAndre Carter,WR,28,2021,54.32300000000001,86.5,-32.17699999999999
233,Anthony Schwartz,WR,21,2021,54.10899999999995,33.4,20.708999999999953
241,Tajae Sharpe,WR,27,2021,53.06500000000002,48.0,5.065000000000019
