,Player,Position,Age,ovr_score,passing_yds_score,rush_yds_score,Overall,High,Low
0,Josh Allen,QB,26,1.0579757309813418,0.9072980642611989,0.6027106668805718,31.1,15.0,48.0
1,Patrick Mahomes,QB,27,0.9739549866249335,0.929141917746277,0.179252275514626,23.9,10.0,37.0
2,Kirk Cousins,QB,34,0.9491753417055653,0.9348210617819969,0.05741711969427356,106.0,73.0,150.0
3,Justin Herbert,QB,24,0.9443635138209845,0.8959322077877869,0.19372522413279028,59.8,32.0,84.0
4,Jalen Hurts,QB,24,0.9416758033332995,0.8263027341996553,0.46149227653457675,34.3,14.0,63.0
7,Aaron Rodgers,QB,39,0.932816451162527,0.9176962348202248,0.060480865369208825,104.6,70.0,150.0
8,Trevor Lawrence,QB,23,0.9118176157831527,0.8536245237037766,0.2327723683175042,73.4,35.0,106.0
9,Jared Goff,QB,28,0.9111541868536981,0.8994710742166512,0.04673245054818752,126.9,89.0,190.0
10,Lamar Jackson,QB,25,0.8642747240074572,0.7076650843318906,0.6264385587022665,49.8,15.0,80.0
11,Ryan Tannehill,QB,34,0.8444618509281151,0.8210610539080893,0.09360318808010354,,,
12,Derek Carr,QB,31,0.8374173863861467,0.8273583673630499,0.04023607609238715,144.4,101.0,180.0
13,Russell Wilson,QB,34,0.8358655170738927,0.817324614505826,0.07416361027226642,125.4,90.0,166.0
14,Daniel Jones,QB,25,0.7992242581565643,0.7549090078733878,0.17726100113270618,116.5,77.0,150.0
15,Dak Prescott,QB,29,0.7652865353939848,0.7082478018053169,0.22815493435467177,80.3,44.0,114.0
16,Geno Smith,QB,32,0.7450862083309491,0.7077153875921879,0.14948328295504493,128.9,67.0,180.0
17,Baker Mayfield,QB,27,0.744763538593591,0.7065761235286047,0.15274966025994552,,,
19,Joe Burrow,QB,26,0.7319710803773969,0.6991207802101577,0.13140120066895675,49.6,26.0,76.0
20,Matthew Stafford,QB,34,0.7303587859828974,0.7171610755992998,0.05279084153439056,149.5,113.0,180.0
21,Kyler Murray,QB,25,0.7197839699953893,0.6143621124436327,0.4216874302070265,141.7,97.0,180.0
22,Justin Fields,QB,23,0.6915660007050575,0.5913240671164943,0.40096773435425254,62.5,28.0,91.0
23,Mac Jones,QB,24,0.6629469251191025,0.6553540324275401,0.03037157076624932,,,
24,Davis Mills,QB,24,0.6363824690242382,0.6274412482349888,0.03576488315699776,,,
25,Jacoby Brissett,QB,30,0.6161686129756239,0.5652389301297096,0.20371873138365695,,,
