,Player,Position,Team,ADP_Ranking,Round
15,Justin Jefferson,WR,MIN,1,1.0
8,Christian McCaffrey,RB,SF,2,1.0
18,Ja'Marr Chase,WR,CIN,3,1.0
7,Austin Ekeler,RB,LAC,4,1.0
33,Travis Kelce,TE,KC,5,1.0
16,A.J. Brown,WR,PHI,13,2.0
10,Derrick Henry,RB,TEN,18,2.0
9,Josh Jacobs,RB,LV,20,2.0
0,Patrick Mahomes,QB,KC,23,2.0
35,Mark Andrews,TE,BAL,25,3.0
22,Tee Higgins,WR,CIN,27,3.0
1,Josh Allen,QB,BUF,30,3.0
12,Travis Etienne,RB,JAX,32,3.0
27,Deebo Samuel,WR,SF,36,3.0
11,Aaron Jones,RB,GB,37,4.0
17,Amari Cooper,WR,CLE,38,4.0
34,T.J. Hockenson,TE,MIN,40,4.0
23,D.J. Moore,WR,CHI,44,4.0
19,Terry McLaurin,WR,WAS,48,4.0
13,David Montgomery,RB,DET,61,6.0
21,Mike Evans,WR,TB,64,6.0
20,Brandon Aiyuk,WR,SF,66,6.0
26,Mike Williams,WR,LAC,68,6.0
37,Dallas Goedert,TE,PHI,73,7.0
28,Christian Watson,WR,GB,76,7.0
32,Treylon Burks,WR,TEN,84,7.0
29,Courtland Sutton,WR,DEN,85,8.0
36,Pat Freiermuth,TE,PIT,90,8.0
25,JuJu Smith-Schuster,WR,NE,92,8.0
3,Tua Tagovailoa,QB,MIA,100,9.0
14,Tyler Allgeier,RB,ATL,114,10.0
31,Nico Collins,WR,HOU,124,11.0
2,Jared Goff,QB,DET,136,12.0
24,Zay Jones,WR,JAX,139,12.0
5,Brock Purdy,QB,SF,177,15.0
39,Mike Gesicki,TE,NE,184,16.0
6,Jordan Love,QB,GB,201,17.0
30,Marquez Valdes-Scantling,WR,KC,202,17.0
4,Jimmy Garoppolo,QB,LV,204,17.0
38,Hunter Henry,TE,NE,205,18.0
