,Name,Position,Tier,#,ADP,Overall,Std_Dev,High,Low,Round_10,Round_12
21,CeeDee Lamb,WR,1,2.0,1.02,2.2,0.8,1.0,4.0,1.0,1.0
23,Tyreek Hill,WR,1,3.0,1.03,2.9,0.6,1.0,5.0,1.0,1.0
11,Breece Hall,RB,1,4.0,1.04,4.2,1.0,2.0,8.0,1.0,1.0
28,Amon-Ra St. Brown,WR,1,5.0,1.05,5.2,1.2,2.0,8.0,1.0,1.0
27,Ja'Marr Chase,WR,1,6.0,1.06,5.8,1.3,2.0,10.0,1.0,1.0
22,Justin Jefferson,WR,1,7.0,1.07,6.9,1.6,3.0,10.0,1.0,1.0
38,A.J. Brown,WR,2,9.0,1.09,9.4,1.5,5.0,13.0,1.0,1.0
25,Puka Nacua,WR,1,13.0,1.13,12.8,2.2,7.0,17.0,2.0,2.0
13,Jonathan Taylor,RB,1,14.0,1.14,13.7,2.0,9.0,20.0,2.0,2.0
0,Josh Allen,QB,1,15.0,2.02,16.2,2.3,10.0,24.0,2.0,2.0
12,Isiah Pacheco,RB,1,17.0,2.04,18.0,2.2,12.0,23.0,2.0,2.0
14,Rachaad White,RB,1,21.0,2.08,21.6,2.7,17.0,33.0,3.0,2.0
30,Brandon Aiyuk,WR,2,23.0,2.1,24.0,3.5,16.0,33.0,3.0,2.0
62,Sam LaPorta,TE,1,26.0,2.11,25.0,3.9,14.0,33.0,3.0,3.0
43,Deebo Samuel,WR,3,25.0,2.11,25.0,4.0,15.0,36.0,3.0,3.0
31,Chris Olave,WR,2,27.0,2.13,27.0,4.2,16.0,35.0,3.0,3.0
37,Jaylen Waddle,WR,2,29.0,3.01,29.2,3.6,19.0,38.0,3.0,3.0
24,Nico Collins,WR,1,31.0,3.04,31.9,4.2,20.0,39.0,4.0,3.0
6,Jalen Hurts,QB,2,33.0,3.05,33.2,6.3,16.0,46.0,4.0,3.0
35,DeVonta Smith,WR,2,34.0,3.06,33.7,4.3,22.0,43.0,4.0,3.0
29,D.J. Moore,WR,2,37.0,3.11,38.7,4.3,28.0,50.0,4.0,4.0
49,Amari Cooper,WR,3,39.0,3.12,40.3,3.5,31.0,48.0,5.0,4.0
39,Amari Cooper,WR,2,39.0,3.12,40.3,3.5,31.0,48.0,5.0,4.0
46,D.K. Metcalf,WR,3,41.0,3.14,42.0,4.8,29.0,54.0,5.0,4.0
2,Lamar Jackson,QB,1,43.0,4.01,42.7,7.3,23.0,55.0,5.0,4.0
26,Michael Pittman Jr.,WR,1,44.0,4.03,45.3,3.9,35.0,54.0,5.0,4.0
50,Christian Kirk,WR,3,45.0,4.05,46.7,5.8,31.0,54.0,5.0,4.0
32,Zay Flowers,WR,2,47.0,4.06,48.0,4.8,35.0,56.0,5.0,4.0
48,Tank Dell,WR,3,49.0,4.08,49.6,4.2,38.0,57.0,5.0,5.0
61,Mark Andrews,TE,1,57.0,5.03,58.9,9.3,34.0,77.0,6.0,5.0
40,Jayden Reed,WR,2,58.0,5.03,59.1,5.2,47.0,71.0,6.0,5.0
