,Name,Position,Tier,#,ADP,Overall,Std_Dev,High,Low,Round_10,Round_12
21,CeeDee Lamb,WR,1,2,1.02,2.2,0.8,1,4,1,1
23,Tyreek Hill,WR,1,3,1.03,2.9,0.6,1,5,1,1
11,Breece Hall,RB,1,4,1.04,4.2,1,2,8,1,1
27,Ja'Marr Chase,WR,1,6,1.06,5.8,1.3,2,10,1,1
28,Amon-Ra St. Brown,WR,1,5,1.05,5.2,1.2,2,8,1,1
22,Justin Jefferson,WR,1,7,1.07,6.9,1.6,3,10,1,1
25,Puka Nacua,WR,1,13,1.13,12.8,2.2,7,17,2,2
13,Jonathan Taylor,RB,1,14,1.14,13.7,2,9,20,2,2
0,Josh Allen,QB,1,15,2.02,16.2,2.3,10,24,2,2
12,Isiah Pacheco,RB,1,17,2.04,18,2.2,12,23,2,2
14,Rachaad White,RB,1,21,2.08,21.6,2.7,17,33,3,2
62,Sam LaPorta,TE,1,26,2.11,25,3.9,14,33,3,3
24,Nico Collins,WR,1,31,3.04,31.9,4.2,20,39,4,3
2,Lamar Jackson,QB,1,43,4.01,42.7,7.3,23,55,5,4
26,Michael Pittman Jr.,WR,1,44,4.03,45.3,3.9,35,54,5,4
61,Mark Andrews,TE,1,57,5.03,58.9,9.3,34,77,6,5
60,George Kittle,TE,1,64,5.09,65.1,7.1,46,79,7,6
1,Jared Goff,QB,1,77,6.12,82.2,8.2,60,95,9,7
38,A.J. Brown,WR,2,9,1.09,9.4,1.5,5,13,1,1
30,Brandon Aiyuk,WR,2,23,2.1,24,3.5,16,33,3,2
6,Jalen Hurts,QB,2,33,3.05,33.2,6.3,16,46,4,3
31,Chris Olave,WR,2,27,2.13,27,4.2,16,35,3,3
37,Jaylen Waddle,WR,2,29,3.01,29.2,3.6,19,38,3,3
35,DeVonta Smith,WR,2,34,3.06,33.7,4.3,22,43,4,3
29,D.J. Moore,WR,2,37,3.11,38.7,4.3,28,50,4,4
39,Amari Cooper,WR,2,39,3.12,40.3,3.5,31,48,5,4
32,Zay Flowers,WR,2,47,4.06,48,4.8,35,56,5,4
33,George Pickens,WR,2,60,5.04,59.7,6.2,43,72,6,5
40,Jayden Reed,WR,2,58,5.03,59.1,5.2,47,71,6,5
63,Trey McBride,TE,2,69,6.02,72,8.5,49,86,8,6
15,Zamir White,RB,2,68,6.01,71.4,6.7,53,88,8,6
5,Brock Purdy,QB,2,71,6.03,73.3,7.5,53,85,8,7
4,Jordan Love,QB,2,80,6.14,83.9,10.2,57,101,9,7
16,Jaylen Warren,RB,2,75,6.08,78.4,6.4,61,89,8,7
7,Kirk Cousins,QB,2,122,10.11,136.8,12.3,104,168,14,12
66,Luke Musgrave,TE,2,137,12.08,162.2,12.4,129,187,17,14
3,Pat Mahomes,QB,2,,,,,,,,
34,Josh Downs,WR,2,,,,,,,,
36,Jordan Addison,WR,2,,,,,,,,
64,Noah Fant,TE,2,,,,,,,,
65,Dalton Schultz,TE,2,,,,,,,,
43,Deebo Samuel,WR,3,25,2.11,25,4,15,36,3,
46,D.K. Metcalf,WR,3,41,3.14,42,4.8,29,54,5,
49,Amari Cooper,WR,3,39,3.12,40.3,3.5,31,48,5,
50,Christian Kirk,WR,3,45,4.05,46.7,5.8,31,54,5,
48,Tank Dell,WR,3,49,4.08,49.6,4.2,38,57,5,
10,Dak Prescott,QB,3,59,5.03,59.2,5.8,44,69,6,
41,Rashee Rice,WR,3,63,5.09,64.6,6,51,79,7,
53,Rashee Rice,WR,3,63,5.09,64.6,6,51,79,7,
42,Calvin Ridley,WR,3,70,6.03,73.2,5.2,59,87,8,
58,Christian Watson,WR,3,86,7.06,90.1,8.7,67,109,10,
20,Chase Brown,RB,3,85,7.06,90.1,5.3,78,99,10,
59,Jameson Williams,WR,3,102,8.11,109.1,7.5,89,126,11,
56,Diontae Johnson,WR,3,108,9.09,120.7,11.1,91,148,13,
45,Rashid Shaheed,WR,3,120,10.08,134,12.1,102,150,14,
71,Cole Kmet,TE,3,124,10.13,138.9,12.2,113,161,14,
52,Josh Palmer,WR,3,119,10.07,133.4,7.3,116,148,14,
8,CJ Stroud,QB,3,,,,,,,,
9,Tua Tagliovia,QB,3,,,,,,,,
17,Keaton Mitchell,RB,3,,,,,,,,
18,Tyler Allegier,RB,3,,,,,,,,
19,Roschon Johnson,RB,3,,,,,,,,
44,Tyler Boyd,WR,3,,,,,,,,
47,Darius Slayton,WR,3,,,,,,,,
51,Michael Wilson,WR,3,,,,,,,,
54,Noah Brown,WR,3,,,,,,,,
55,Tee Higgins,WR,3,,,,,,,,
57,Gabriel Davis,WR,3,,,,,,,,
67,Isaiah Likely,TE,3,,,,,,,,
68,Jonnu Smith,TE,3,,,,,,,,
69,Tucker Kraft,TE,3,,,,,,,,
70,Michael Mayer,TE,3,,,,,,,,
