,Player,Projections
0,Lamar Jackson*+,46.30528172125723
1,Brock Purdy*,45.384568582385356
2,Josh Allen,43.36045385414451
3,Patrick Mahomes*,40.324866267482776
4,Dak Prescott*,40.05631614648338
5,Jordan Love,39.48660701103536
6,Tua Tagovailoa*,39.46485340057775
7,Jalen Hurts*,39.32376772288548
8,Kirk Cousins,38.303781384137665
9,C.J. Stroud*,37.7279996874646
10,Jared Goff,37.360754695894485
11,Kyler Murray,37.29247998885873
12,Trevor Lawrence,36.363232771242394
13,Justin Herbert,36.275098319806766
14,Matthew Stafford*,36.26036400021411
15,Geno Smith*,35.37409008615853
16,Baker Mayfield*,35.165390343057894
17,Derek Carr,35.10887349200723
18,Justin Fields,35.05976929408358
19,Russell Wilson,34.13350339683152
20,Joshua Dobbs,32.9426642995976
21,Jake Browning,32.70137164071899
22,Joe Burrow,31.90683543558019
23,Gardner Minshew II*,30.72808525840484
24,Desmond Ridder,30.712025099231
25,Aidan O'Connell,28.752178649471062
26,Mac Jones,28.010361784008193
27,Kenny Pickett,27.962040663368487
28,Will Levis,26.36082761629936
29,Sam Howell,25.00581433670188
30,Zach Wilson,22.414979812536806
31,Bryce Young,20.787717666388975
