,Player,Projections
0,Zach Charbonnet,26.427357393118125
1,Jaylen Warren,26.427357393118125
2,Keaton Mitchell,26.427357393118125
3,Isiah Pacheco,26.208369180148146
4,Rachaad White,26.208369180148146
5,Breece Hall,24.706630597109736
6,Tyler Allgeier,24.706630597109736
7,Zamir White,24.706630597109736
8,Javonte Williams,21.947290914287244
9,Chuba Hubbard,21.947290914287244
10,Jonathan Taylor,21.947290914287244
11,Tony Pollard,21.947290914287244
12,Devin Singletary,20.226564118278862
13,Travis Etienne,20.226564118278862
14,Rico Dowdle,19.48431479380053
15,Tyjae Spears,19.374144420538922
16,Elijah Mitchell,19.12246224204447
17,Cam Akers,18.797058934411876
18,Joshua Kelley,17.85298093629503
19,Josh Jacobs,17.4045675615206
20,AJ Dillon,17.316161199385743
21,Royce Freeman,16.986801127066965
22,Dameon Pierce,16.880867063982954
23,D'Onta Foreman,16.210467985962236
24,David Montgomery,15.446031558804709
25,Saquon Barkley,15.446031558804709
26,Alexander Mattison,15.446031558804709
27,Khalil Herbert,15.249931140942476
28,La'Mical Perine,15.249931140942476
29,Bijan Robinson,15.007131034319764
30,Rhamondre Stevenson,14.97285999738039
31,Zack Moss,14.97285999738039
32,Jerome Ford,14.533959472895445
33,J.K. Dobbins,12.76200838395415
34,Miles Sanders,12.012636440456912
35,Darrell Henderson,10.9175941057367
